relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,Remote,Freelance,"C, Hil","C#, R, Jira, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-testingenieur-m-w-d-105449,2026-04-20T11:33:30.422753+00:00
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, Berlin, remote",Remote,Freelance,Ci/Cd,"Project Manager, Safe, Senior, Microservices, R, Consultant, Agile, Devops",German,"Consultant, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektleiter-it-fuer-komplexe-it-transformationsprojekte-m-w-d-105254,2026-04-20T11:34:36.526573+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D6,Remote,Freelance,,"Safe, Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/umwelt-brandschutz-safety-compliance-engineer-m-w-d-105447,2026-04-20T11:35:38.451081+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest",Remote,Freelance,System Testing,"Confluence, Jira, Senior",English,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-105180,2026-04-20T11:35:38.451777+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D6,Remote,Freelance,Dsp,"Freelancer, Senior, R",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-av-audio-visual-delivery-specialist-m-w-d-105049,2026-04-20T11:35:38.452021+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Remote",Remote,Freelance,,Expert,German,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/elektronik-ingenieur-laborautomation-m-w-d-105133,2026-04-20T11:38:45.286085+00:00
0,Tester | Germany,solcom,Tes­ter / De­vice Tes­ting (m/w/d),SOLCOM Client,D8,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-device-testing-m-w-d-105389,2026-04-20T11:33:30.422865+00:00
0,Tester | Germany,solcom,Bau­lei­ter HKLS (m/w/d),SOLCOM Client,"D1, Beelitz, Nahe Berlin",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauleiter-hkls-m-w-d-1014692,2026-04-20T11:33:30.422958+00:00
0,Tester | Germany,solcom,Bau­lei­ter Elek­tro (m/w/d),SOLCOM Client,"D1, Beelitz, Nahe Berlin",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauleiter-elektro-m-w-d-1014693,2026-04-20T11:33:30.423045+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,Test Automation,"Kotlin, R, Appium",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/qa-engineer-tester-testautomatisierer-m-w-d-105103,2026-04-20T11:33:30.423133+00:00
0,Tester | Germany,solcom,Tes­t­in­ge­nieur (m/w/d),SOLCOM Client,Regensburg,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-1014623,2026-04-20T11:33:30.423217+00:00
0,Tester | Germany,solcom,HR Con­trol­ling (m/w/d),SOLCOM Client,Borken,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hr-controlling-m-w-d-1014616,2026-04-20T11:33:30.423312+00:00
0,Test Engineer | Germany,solcom,PID Con­t­rol En­gi­neer (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/pid-control-engineer-m-w-d-105468,2026-04-20T11:35:38.450972+00:00
0,Test Engineer | Germany,solcom,Busi­ness Ana­lyst (m/w/d),SOLCOM Client,D6,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/business-analyst-m-w-d-105399,2026-04-20T11:35:38.451165+00:00
0,Test Engineer | Germany,solcom,Grid Code Test En­gi­neer (m/w/d),SOLCOM Client,"D2, Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/grid-code-test-engineer-m-w-d-105313,2026-04-20T11:35:38.451246+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D4,On-site,Freelance,,"Associate, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/network-engineer-im-bereich-access-und-cpe-m-w-d-1014700,2026-04-20T11:35:38.451364+00:00
0,Test Engineer | Germany,solcom,Test-En­gi­neer Fly­ing Probe / ICT (m/w/d),SOLCOM Client,CH,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-flying-probe-ict-m-w-d-105258,2026-04-20T11:35:38.451454+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D9, & Remote",Remote,Freelance,,"Aspice, R, Project Manager",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/project-quality-engineer-hardware-software-m-w-d-105224,2026-04-20T11:35:38.451617+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Stuttgart",Remote,Freelance,,"Safe, R, Iso 26262",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/functional-safety-engineer-automotive-m-w-d-105215,2026-04-20T11:35:38.451697+00:00
0,Test Engineer | Germany,solcom,Test Ana­lyst & Au­to­ma­ti­on En­gi­neer (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-analyst-automation-engineer-m-w-d-1014661,2026-04-20T11:35:38.451860+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektmanager-fuer-produktentwicklung-mit-schwerpunkt-windkraftanlagen-m-w-d-104938,2026-04-20T11:35:38.452100+00:00
0,Testingenieur | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, GR Freiburg im Breisgau",On-site,Freelance,Python,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/verifikationsingenieur-m-w-d-105283,2026-04-20T11:37:24.022553+00:00
0,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D0, überwiegend Remote",Remote,Freelance,"Python, Test Automation","Associate, Devops, R, Azure, Fpga, Vhdl",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fpga-experte-m-w-d-105200,2026-04-20T11:38:45.285895+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, / Remote",Remote,Freelance,"Ci/Cd, Python","Safe, Gitlab Ci, R, Docker, Node.Js, Gitlab, Devops",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/schnittstellenentwickler-backend-devops-m-w-d-104883,2026-04-20T11:41:26.393750+00:00
