relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,PHP Laravel Expert,Freelancermap Client,Koblenz Deutschland,On-site,Freelance,,"Expert, Php",English,Expert,,18.11.2025,https://www.freelancermap.de/projekt/php-laravel-expert,2026-04-20T11:46:29.065717+00:00
14,Tester | Germany,freelancermap,Senior Java Backend Entwickler (Spring Boot / REST / PostgreSQL) – Remote),Freelancermap Client,Stuttgart Deutschland,Remote,Freelance,Java,"Postgresql, Spring Boot, Senior",English,Senior,,16.04.2026,https://www.freelancermap.de/projekt/senior-java-backend-entwickler-spring-boot-rest-postgresql-remote,2026-04-20T11:46:29.066198+00:00
14,Tester | Germany,freelancermap,IT-PLM Berater (m/w/d) - ab Mai - Remote / Gr. Ravensburg,Freelancermap Client,Remote Deutschland,Remote,Freelance,,Consultant,English,Consultant,,11:34,https://www.freelancermap.de/projekt/it-plm-berater-m-w-d-ab-mai-remote-gr-ravensburg,2026-04-20T11:46:29.066723+00:00
14,Tester | Germany,freelancermap,Senior Cloud / Datacenter Engineer (m/w/d) Arbeitnehmerüberlassung  Norddeutschland,Freelancermap Client,Hamburg Deutschland,On-site,Freelance,,Senior,English,Senior,,11:29,https://www.freelancermap.de/projekt/senior-cloud-datacenter-engineer-m-w-d-arbeitnehmerueberlassung-norddeutschland,2026-04-20T11:46:29.066819+00:00
14,Tester | Germany,freelancermap,Senior Kubernetes / Platform Engineer (m/w/d),Freelancermap Client,Remote + Frankfurt Deutschland,Remote,Freelance,,"Kubernetes, Senior",English,Senior,,11:21,https://www.freelancermap.de/projekt/senior-kubernetes-platform-engineer-m-w-d,2026-04-20T11:46:29.067015+00:00
14,Tester | Germany,freelancermap,Senior Entwickler Office-Programmierung (Barrierefreiheit),Freelancermap Client,Nürnberg Deutschland,On-site,Freelance,,Senior,English,Senior,,11:21,https://www.freelancermap.de/projekt/senior-entwickler-office-programmierung-barrierefreiheit,2026-04-20T11:46:29.067116+00:00
14,Tester | Germany,freelancermap,Berater für architekturgetriebene  Prozessmodellierung (m/w/d),Freelancermap Client,Nordrhein?Westfalen Deutschland,On-site,Freelance,,"Consultant, R",English,Consultant,,11:18,https://www.freelancermap.de/projekt/berater-fuer-architekturgetriebene-prozessmodellierung-m-w-d,2026-04-20T11:46:29.067304+00:00
14,Python Developer | Switzerland,freelancermap,38877 - Senior Scala/Java Software Architekt bzw. Engineer (all genders),Freelancermap Client,Düsseldorf Deutschland,On-site,Freelance,Java,"Scala, Architect, Senior",English,"Architect, Senior",,11:54,https://www.freelancermap.de/projekt/38877-senior-scala-java-software-architekt-bzw-engineer-all-genders,2026-04-20T11:54:25.210321+00:00
0,Tester | Germany,freelancermap,Java Backend Engineer (Spring Boot),Freelancermap Client,Koblenz Deutschland,On-site,Freelance,Java,Spring Boot,English,,,31.10.2025,https://www.freelancermap.de/projekt/java-backend-engineer-spring-boot,2026-04-20T11:46:29.065857+00:00
0,Tester | Germany,freelancermap,Frontend Engineer mit Fokus auf Design Systeme (React / Typescript),Freelancermap Client,Koblenz Deutschland,On-site,Freelance,Typescript,React,German,,,19.11.2025,https://www.freelancermap.de/projekt/frontend-engineer-mit-fokus-auf-design-systeme-react-typescript,2026-04-20T11:46:29.065979+00:00
0,Tester | Germany,freelancermap,"Testautomatisierung Desktop-Client (FlaUI) - 60,00 EUR/Std.",Freelancermap Client,München Deutschland,On-site,Freelance,Test Automation,,English,,,17.04.2026,https://www.freelancermap.de/projekt/testautomatisierung-desktop-client-flaui,2026-04-20T11:46:29.066094+00:00
