relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Test Engineer | Poland,linkedin,Senior Manual Test Engineer,Intellias,"Cracow, Małopolskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-manual-test-engineer-at-intellias-4400208624,2026-04-23T11:15:16.310421+00:00
29,Firmware Engineer | Germany,linkedin,Embedded Software Engineer,NXP Semiconductors,"Hamburg, Hamburg, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/embedded-software-engineer-at-nxp-semiconductors-4393236614,2026-04-23T11:16:54.401844+00:00
14,Tester | Germany,linkedin,Senior Software Test Engineer / QA,Optimus Search,"Berlin, Germany",Remote,Contract,"Can, Ci/Cd, Java, Playwright, Test Automation","Devops, Cucumber, Spring Boot, Senior, Sql, Scrum, Agile",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-test-engineer-qa-at-optimus-search-4399545950,2026-04-23T11:14:16.587307+00:00
14,Tester | Germany,linkedin,Senior Test Engineer  - SAP Payments,Serrala,"Hamburg, Germany",Remote,Contract,"Can, Ci/Cd, Playwright, Test Automation","Lead, Manual Testing, Senior, Jira, Zephyr, Agile",English,"Lead, Senior",,Recent,https://de.linkedin.com/jobs/view/senior-test-engineer-sap-payments-at-serrala-4381459715,2026-04-23T11:14:16.587998+00:00
14,Tester | Austria,linkedin,Test Engineer,BTA Group,"Vienna, Austria",Remote,Full-time,C,"R, Architect",English,Architect,,Recent,https://at.linkedin.com/jobs/view/test-engineer-at-bta-group-4402882103,2026-04-23T11:14:19.032102+00:00
14,Tester | Austria,linkedin,QA Software Test Engineer Code Review - Remote,YO IT Consulting,Austria,Remote,Contract,"C, C++, Can, Java, Javascript, Python",Contractor,English,Contractor,,Recent,https://at.linkedin.com/jobs/view/qa-software-test-engineer-code-review-remote-at-yo-it-consulting-4395429794,2026-04-23T11:14:19.032261+00:00
14,Tester | Austria,linkedin,Test Engineer (all genders),Lam Research,Greater Salzburg,Remote,Full-time,"C, C++, Python",Lead,English,Lead,,Recent,https://at.linkedin.com/jobs/view/test-engineer-all-genders-at-lam-research-4390983718,2026-04-23T11:14:19.032933+00:00
14,Tester | Austria,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,Austria,On-site,Contract,"Can, Ci/Cd, Github Actions, Pytest, Python, Test Automation","Github, React, Expert, Docker, Senior",English,"Expert, Senior",,Recent,https://at.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4399249356,2026-04-23T11:14:19.033090+00:00
14,Tester | Switzerland,linkedin,Test Engineer (Contract),adesso Schweiz AG,"Bern, Berne, Switzerland",Remote,Contract,"Can, Java, Selenium, Test Automation","Angular, R, Senior",English,Senior,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-contract-at-adesso-schweiz-ag-4390011803,2026-04-23T11:14:21.429108+00:00
14,Tester | Remote,linkedin,QA/Test Automation Engineer (all genders) - Remote - EU,Doozer Real Estate Systems GmbH,Germany,Remote,Internship,"Can, Github Actions, Playwright, Test Automation, Typescript","Github, Lead, Aws, Safe, Team Lead, Cucumber, Cypress, Docker, Golang, Manual Testing",English,Lead,,Recent,https://de.linkedin.com/jobs/view/qa-test-automation-engineer-all-genders-remote-eu-at-doozer-real-estate-systems-gmbh-4396159611,2026-04-23T11:14:23.881061+00:00
14,Tester | Remote,linkedin,Senior Pega CDH Test Engineer,Coforge,Frankfurt Rhine-Main Metropolitan Area,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-pega-cdh-test-engineer-at-coforge-4389806639,2026-04-23T11:14:23.881715+00:00
14,Tester | Remote,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Stuttgart, Baden-Württemberg, Germany",Remote,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4399257148,2026-04-23T11:14:23.881871+00:00
14,Tester | Czech Republic,linkedin,Senior Industrialization Test Engineer,Eaton,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Contract,"Can, Firmware, Python, Test Automation","Lead, Assembly, R, Senior",English,"Lead, Senior",,Recent,https://do.linkedin.com/jobs/view/senior-industrialization-test-engineer-at-eaton-4400414394,2026-04-23T11:14:28.918290+00:00
14,Tester | Czech Republic,linkedin,Lead Software Development Engineer in Test / R+D - Remote Work,BairesDev,"Santo Domingo, Dominican Republic",Remote,Full-time,,"R, Lead",English,Lead,,Recent,https://do.linkedin.com/jobs/view/lead-software-development-engineer-in-test-r%2Bd-remote-work-at-bairesdev-4403635099,2026-04-23T11:14:28.918472+00:00
14,QA Engineer | Switzerland,linkedin,QA qualification engineer,agap2 Switzerland,"Basel, Basel, Switzerland",On-site,Contract,,"Agile, Consultant",English,Consultant,,Recent,https://ch.linkedin.com/jobs/view/qa-qualification-engineer-at-agap2-switzerland-4401907162,2026-04-23T11:14:44.163519+00:00
14,QA Engineer | Switzerland,linkedin,Senior Functional QA Engineer (Supply Chain Domain),Jobgether,Switzerland,Remote,Contract,"Integration Testing, Playwright, Selenium, Test Automation","Lead, Bdd, Manual Testing, Senior, Scrum, Agile",English,"Lead, QA Lead, Senior",,Recent,https://ch.linkedin.com/jobs/view/senior-functional-qa-engineer-supply-chain-domain-at-jobgether-4404284303,2026-04-23T11:14:44.163676+00:00
14,QA Engineer | Switzerland,linkedin,Senior QA Software Engineer,Swissquote,"Gland, Vaud, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-qa-software-engineer-at-swissquote-4405273698,2026-04-23T11:14:44.164286+00:00
14,QA Engineer | Remote,linkedin,Senior Automation QA Engineer,MLabs,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-automation-qa-engineer-at-mlabs-4394608529,2026-04-23T11:14:46.595484+00:00
14,QA Engineer | Slovakia,linkedin,QA Engineer,Ruby Labs,Slovakia,Remote,Contract,"Go, Playwright, Pytest, Test Automation","Postman, Contractor, Kanban, Grafana, Sql, Manual Testing, Ruby, Postgresql",English,Contractor,,Recent,https://sk.linkedin.com/jobs/view/qa-engineer-at-ruby-labs-4405231899,2026-04-23T11:14:49.047618+00:00
14,QA Engineer | Slovakia,linkedin,Senior QA Engineer (Native Apps),Alex Staff,Slovakia,On-site,Full-time,,"Staff, Senior",English,"Senior, Staff",,Recent,https://sk.linkedin.com/jobs/view/senior-qa-engineer-native-apps-at-alex-staff-4401043963,2026-04-23T11:14:49.048105+00:00
14,QA Engineer | Slovakia,linkedin,Senior QA Engineer,Swiss Re,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-qa-engineer-at-swiss-re-4393493031,2026-04-23T11:14:49.048624+00:00
14,QA Engineer | Slovakia,linkedin,Senior QA Engineer,Ness Digital Engineering,"Košice, Kosice, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-qa-engineer-at-ness-digital-engineering-4403806758,2026-04-23T11:14:49.048785+00:00
14,QA Engineer | Poland,linkedin,QA Engineer (Python),neXa,"Warsaw, Mazowieckie, Poland",Remote,Contract,"C, Ci/Cd, Llm, Pytest, Python, Test Automation","Rest Api, Aws, Fastapi, Sql, Senior",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/qa-engineer-python-at-nexa-4404586179,2026-04-23T11:14:54.110085+00:00
14,QA Engineer | United Kingdom,linkedin,Quality Assurance Engineer,Mindera,"London, England, United Kingdom",On-site,Contract,"Ci/Cd, Test Automation","Manual Testing, Senior",English,"Senior, Test Manager",,Recent,https://uk.linkedin.com/jobs/view/quality-assurance-engineer-at-mindera-4404800483,2026-04-23T11:14:59.015051+00:00
14,QA Engineer | United Kingdom,linkedin,Senior Quality Assurance Engineer,Indra Group UK & Ireland,"Market Deeping, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-indra-group-uk-ireland-4395293172,2026-04-23T11:14:59.015212+00:00
14,Test Engineer | Slovakia,linkedin,Senior Software Test Engineer,"NESS KE, s.r.o.","Kosice, Slovakia",On-site,Full-time,,"R, Senior",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-test-engineer-at-ness-ke-s-r-o-4399545880,2026-04-23T11:15:11.252930+00:00
14,Test Engineer | Poland,linkedin,Manual QA Engineer,Tpay,"Poznań, Wielkopolskie, Poland",Remote,Full-time,"C, Ci/Cd","Postman, Expert, Linux, R, Jira",English,Expert,,Recent,https://pl.linkedin.com/jobs/view/manual-qa-engineer-at-tpay-4404923716,2026-04-23T11:15:16.311058+00:00
14,Testingenieur | Germany,linkedin,Senior Testingenieur:in,STAR Specialists,"Schongau, Bavaria, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-testingenieur-in-at-star-specialists-4396426981,2026-04-23T11:15:24.093194+00:00
