relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Test Manager – Polarion / Defense (m/w/d),Hays Client,Landkreis Rottweil,On-site,Contract,,R,German,Test Manager,,17.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-manager--polarion-defense-landkreis-rottweil-870206/1,2026-04-23T11:20:47.211581+00:00
14,Tester | Germany,hays,Experte SAP Testing (m/w/d),Hays Client,Hybrid,Hybrid,Contract,Go,"Expert, Jira",German,Expert,,16.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-sap-testing-hybrid-870000/1,2026-04-23T11:20:47.211813+00:00
14,Tester | Germany,hays,PEGA LSA Expert (m/f/d),Hays Client,Vienna,On-site,Contract,Unit Testing,Expert,English,Expert,,10.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-pega-lsa-expert-vienna-869276/1,2026-04-23T11:20:47.212979+00:00
14,Tester | Germany,hays,Testmanager  (m/w/d),Hays Client,Augsburg,On-site,Contract,,R,German,Test Manager,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager--augsburg-864472/1,2026-04-23T11:20:47.215040+00:00
14,QA Engineer | Germany,hays,Senior Software Development Engineer Test  (m/f/d),Hays Client,Grünheide,On-site,Contract,Test Automation,"Agile, Senior",English,Senior,,22.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-development-engineer-test--gruenheide-871376/1,2026-04-23T11:21:09.555054+00:00
14,QA Engineer | Germany,hays,Lead Quality Engineer / Test Automation  (m/w/d),Hays Client,München,On-site,Contract,Test Automation,"Lead, R",German,Lead,,22.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-quality-engineer-test-automation--muenchen-858642/1,2026-04-23T11:21:09.555319+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Kubernetes, Spring Boot, Microservices, Senior, Mongodb, Postgresql",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-04-23T11:21:09.556537+00:00
14,Test Engineer | Germany,hays,HV Commissioning Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,,"Lead, R, Senior",German,"Lead, Senior",,30.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hv-commissioning-engineer-hamburg-868402/1,2026-04-23T11:21:33.699697+00:00
14,Test Engineer | Germany,hays,Lead DevSecOps Engineer (m/w/d),Hays Client,Nordrhein-Westfalen,On-site,Contract,,Lead,German,Lead,,19.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-devsecops-engineer-nordrhein-westfalen-866935/1,2026-04-23T11:21:33.700144+00:00
14,Test Engineer | Germany,hays,Senior Test Automation Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Test Automation,Senior,German,Senior,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer-hamburg-845831/1,2026-04-23T11:21:33.701064+00:00
