relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Test Engineer | Germany,solcom,Lead Ex­pert Sys­tems En­gi­nee­ring Eu­ro­figh­ter (m/w/d),SOLCOM Client,"D8, Großraum München",On-site,Freelance,,Lead,English,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-expert-systems-engineering-eurofighter-m-w-d-105555,2026-04-23T11:27:56.085432+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest",Remote,Freelance,System Testing,"Senior, Confluence, Jira",English,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-105180,2026-04-23T11:27:56.086479+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Remote",Remote,Freelance,,Expert,German,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/elektronik-ingenieur-laborautomation-m-w-d-105133,2026-04-23T11:30:06.053532+00:00
0,Tester | Germany,solcom,Soft­ware-Tes­t­in­ge­nieur (m/w/d),SOLCOM Client,D8,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-testingenieur-m-w-d-105449,2026-04-23T11:25:49.457245+00:00
0,Tester | Germany,solcom,Tes­ter / De­vice Tes­ting (m/w/d),SOLCOM Client,D8,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-device-testing-m-w-d-105389,2026-04-23T11:25:49.457362+00:00
0,Tester | Germany,solcom,QA En­gi­neer / Tes­ter / Test­au­to­ma­ti­sie­rer (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/qa-engineer-tester-testautomatisierer-m-w-d-105103,2026-04-23T11:25:49.457452+00:00
0,Tester | Germany,solcom,Tes­t­in­ge­nieur (m/w/d),SOLCOM Client,Regensburg,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-1014623,2026-04-23T11:25:49.457536+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Borken,On-site,Freelance,,"Associate, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hr-controlling-m-w-d-1014616,2026-04-23T11:25:49.457620+00:00
0,QA Engineer | Germany,solcom,Pro­jekt­lei­ter IT für kom­ple­xe IT-Trans­for­ma­ti­ons­pro­jek­te (m/w/d),SOLCOM Client,"D1, Berlin, remote",Remote,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektleiter-it-fuer-komplexe-it-transformationsprojekte-m-w-d-105556,2026-04-23T11:26:51.725349+00:00
0,Test Engineer | Germany,solcom,De­v­Ops Go­ver­nan­ce En­able­ment Spe­zia­list (m/w/d),SOLCOM Client,D7,On-site,Freelance,Go,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/devops-governance-enablement-spezialist-m-w-d-105537,2026-04-23T11:27:56.085564+00:00
0,Test Engineer | Germany,solcom,Qua­li­täts­in­gen­ei­eur /QS-In­ge­nieur für Groß­bau­stel­le im Be­reich En­er­gie­tech­nik (m/w/d),SOLCOM Client,"D5, Gr Mainz 4 Tage Mo-Do",On-site,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/qualitaetsingeneieur-qs-ingenieur-fuer-grossbaustelle-im-bereich-energietechnik-m-w-d-105492,2026-04-23T11:27:56.085652+00:00
0,Test Engineer | Germany,solcom,Soft­ware En­gi­neer Si­mu­la­ti­on (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-simulation-m-w-d-105489,2026-04-23T11:27:56.085736+00:00
0,Test Engineer | Germany,solcom,PID Con­t­rol En­gi­neer (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/pid-control-engineer-m-w-d-105468,2026-04-23T11:27:56.085816+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D0, Thüringen (40%)/ remote (60%)",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-entwickler-sap-qm-fiori-apps-m-w-d-105455,2026-04-23T11:27:56.085899+00:00
0,Test Engineer | Germany,solcom,Busi­ness Ana­lyst (m/w/d),SOLCOM Client,D6,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/business-analyst-m-w-d-105399,2026-04-23T11:27:56.085995+00:00
0,Test Engineer | Germany,solcom,Grid Code Test En­gi­neer (m/w/d),SOLCOM Client,"D2, Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/grid-code-test-engineer-m-w-d-105313,2026-04-23T11:27:56.086076+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D4,On-site,Freelance,,"Associate, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/network-engineer-im-bereich-access-und-cpe-m-w-d-1014700,2026-04-23T11:27:56.086156+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,CH,On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-flying-probe-ict-m-w-d-105258,2026-04-23T11:27:56.086240+00:00
0,Test Engineer | Germany,solcom,Pro­ject Qua­li­ty En­gi­neer (Hard­ware / Soft­ware) - 50% Aus­las­tung (m/w/d),SOLCOM Client,"D9, & Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/project-quality-engineer-hardware-software-m-w-d-105224,2026-04-23T11:27:56.086318+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Stuttgart",Remote,Freelance,,"Safe, Iso 26262, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/functional-safety-engineer-automotive-m-w-d-105215,2026-04-23T11:27:56.086399+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Ci/Cd, Playwright, Pytest, Selenium, Test Automation","Cypress, Associate, Postman, Gitlab, Gitlab Ci, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-analyst-automation-engineer-m-w-d-1014661,2026-04-23T11:27:56.086557+00:00
0,Test Engineer | Germany,solcom,Se­ni­or AV (Audio Vi­su­al) De­li­ve­ry Spe­cia­list (m/w/d),SOLCOM Client,D6,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-av-audio-visual-delivery-specialist-m-w-d-105049,2026-04-23T11:27:56.086716+00:00
