relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,Senior Java Backend Entwickler (Spring Boot / REST / PostgreSQL) – Remote),Freelancermap Client,Stuttgart Deutschland,Remote,Freelance,Java,"Postgresql, Senior, Spring Boot",English,Senior,,16.04.2026,https://www.freelancermap.de/projekt/senior-java-backend-entwickler-spring-boot-rest-postgresql-remote,2026-04-23T11:36:55.823606+00:00
14,Tester | Germany,freelancermap,SAP Consultant/Business Analyst -  Logistics & Procurement - Supplier Portal Project,Freelancermap Client,Berlin Deutschland,On-site,Freelance,,Consultant,English,Consultant,,22.04.2026,https://www.freelancermap.de/projekt/technical-business-analyst-for-sap-based-supplier-portal,2026-04-23T11:36:55.823727+00:00
14,Tester | Germany,freelancermap,Teamcenter Solution Architekt:in,Freelancermap Client,Munich Deutschland,On-site,Freelance,,Architect,English,Architect,,11:35,https://www.freelancermap.de/projekt/teamcenter-solution-architekt-in-2993265,2026-04-23T11:36:55.823830+00:00
14,Tester | Germany,freelancermap,Senior IT Architect (m/w/d) in ANÜ,Freelancermap Client,Köln Bonn München Berlin oder Strausberg wählbar Deutschland,On-site,Freelance,,"Senior, Architect",English,"Architect, Senior",,11:28,https://www.freelancermap.de/projekt/senior-it-architect-m-w-d-in-anue,2026-04-23T11:36:55.824038+00:00
14,Tester | Germany,freelancermap,Senior System Engineer (m/w/d) in ANÜ,Freelancermap Client,Meckenheim Deutschland,On-site,Freelance,,Senior,English,Senior,,11:26,https://www.freelancermap.de/projekt/senior-system-engineer-m-w-d-in-anue,2026-04-23T11:36:55.824146+00:00
14,Tester | Germany,freelancermap,Zertifizierter BSI IT-Grundschutz Berater (m/w/d) mit Secunet Knowhow gesucht,Freelancermap Client,Mainz Deutschland,On-site,Freelance,,Consultant,German,Consultant,,11:22,https://www.freelancermap.de/projekt/zertifizierter-bsi-it-grundschutz-berater-m-w-d-mit-secunet-knowhow-gesucht,2026-04-23T11:36:55.824344+00:00
14,Tester | Germany,freelancermap,Servicenow SOM Consultant,Freelancermap Client,Köln Deutschland,On-site,Freelance,,Consultant,English,Consultant,,11:19,https://www.freelancermap.de/projekt/servicenow-som-consultant,2026-04-23T11:36:55.824670+00:00
14,Test Automation | Austria,freelancermap,47159 -  KS - SAP HCM Berater größtenteils remote und mal in den Raum Stuttgart gesucht,Freelancermap Client,Stuttgart Deutschland,Remote,Freelance,,Consultant,German,Consultant,,11:43,https://www.freelancermap.de/projekt/47159-ks-sap-hcm-berater-groesstenteils-remote-und-mal-in-den-raum-stuttgart-gesucht,2026-04-23T11:44:18.927391+00:00
0,Tester | Germany,freelancermap,IT Network Engineer (m/w/d),Freelancermap Client,Dresden Berlin und Remote Deutschland,Remote,Freelance,,,German,,,21.04.2026,https://www.freelancermap.de/projekt/it-network-engineer-m-w-d-2992191,2026-04-23T11:36:55.822852+00:00
0,Tester | Germany,freelancermap,VueJS / React Frontend Developer [gn],Freelancermap Client,Koblenz  Deutschland,On-site,Freelance,,React,English,,,21.04.2026,https://www.freelancermap.de/projekt/vuejs-react-frontend-developer-gn,2026-04-23T11:36:55.823012+00:00
0,Tester | Germany,freelancermap,"Testautomatisierung Desktop-Client (FlaUI) - 60,00 EUR/Std.",Freelancermap Client,München Deutschland,On-site,Freelance,Test Automation,,English,,,17.04.2026,https://www.freelancermap.de/projekt/testautomatisierung-desktop-client-flaui,2026-04-23T11:36:55.823141+00:00
0,Tester | Germany,freelancermap,Fachplaner HLS/ TGA (m/w/d) - Hamburg,Freelancermap Client,Hamburg Deutschland,On-site,Freelance,,,English,,,15.04.2026,https://www.freelancermap.de/projekt/fachplaner-hls-tga-m-w-d-2990144,2026-04-23T11:36:55.823255+00:00
