relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,Remote,Freelance,"C, Hil","Jira, C#, Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-testingenieur-m-w-d-105449,2026-04-27T11:58:56.869773+00:00
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, Berlin, remote",Remote,Freelance,Ci/Cd,"Agile, Senior, Consultant, Project Manager, Microservices, Safe, Devops, R",German,"Consultant, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektleiter-it-fuer-komplexe-it-transformationsprojekte-m-w-d-105556,2026-04-27T11:59:59.790436+00:00
14,Test Engineer | Germany,solcom,Lead Ex­pert Sys­tems En­gi­nee­ring Eu­ro­figh­ter (m/w/d),SOLCOM Client,"D8, Großraum München",On-site,Freelance,,Lead,English,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-expert-systems-engineering-eurofighter-m-w-d-105555,2026-04-27T12:01:04.429820+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D6,Remote,Freelance,,"R, Freelancer, Scrum, Safe",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/business-analyst-m-w-d-105399,2026-04-27T12:01:04.430439+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest",Remote,Freelance,System Testing,"Senior, Confluence, Jira",English,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-105180,2026-04-27T12:01:04.430928+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,Test Automation,"Appium, R, Kotlin",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/qa-engineer-tester-testautomatisierer-m-w-d-105576,2026-04-27T11:58:56.869337+00:00
0,Tester | Germany,solcom,Soft­ware-Tes­t­in­ge­nieur / Qua­li­fi­ka­ti­ons­in­ge­nieur (m/w/d),SOLCOM Client,D8,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-qualifikationsingenieur-m-w-d-105570,2026-04-27T11:58:56.869565+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,Remote,Freelance,Can,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-device-testing-m-w-d-105389,2026-04-27T11:58:56.869991+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Regensburg,Remote,Freelance,"Can, Python, Test Automation","Jira, Associate, Zephyr, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-1014623,2026-04-27T11:58:56.870246+00:00
0,Tester | Germany,solcom,HR Con­trol­ling (m/w/d),SOLCOM Client,Borken,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hr-controlling-m-w-d-1014616,2026-04-27T11:58:56.870433+00:00
0,Test Engineer | Germany,solcom,De­v­Ops Go­ver­nan­ce En­able­ment Spe­zia­list (m/w/d),SOLCOM Client,D7,On-site,Freelance,Go,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/devops-governance-enablement-spezialist-m-w-d-105537,2026-04-27T12:01:04.429919+00:00
