relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Test Manager (m/f/d),GULP Client,Germany,On-site,Freelance,,Jira,German,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01271571,2026-04-27T12:22:18.825446+00:00
14,Tester | Germany,gulp,Senior AutomotiveTesting Engineer(m/f/d),GULP Client,"Location: International, Bucharest",On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4bb91f182dad11f189e08e417b6a1e17,2026-04-27T12:22:18.827319+00:00
14,Tester | Germany,gulp,Software tester specializing in automation (ISTQB),GULP Client,Germany,Remote,Freelance,"Ci/Cd, Selenium, Test Automation","Php, Cypress, Freelancer, R, Git, Gitlab, Gitlab Ci",German,Freelancer,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255150,2026-04-27T12:22:18.827623+00:00
14,Tester | Germany,gulp,Software Tester (m/f/d) Verification &amp; Validation,GULP Client,Germany,Remote,Freelance,Test Automation,"R, Freelancer",German,Freelancer,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247114,2026-04-27T12:22:18.827860+00:00
14,QA Engineer | Germany,gulp,"Senior DataEngineer(f,m,d) ICP rollout",GULP Client,Location: Frankfurt am Main,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01273232,2026-04-27T12:23:10.480766+00:00
14,QA Engineer | Germany,gulp,Senior PEGA Developer (m/f/d) – 3 project tracks to choose from – 90% remote / Nuremberg,GULP Client,Location: Nuremberg,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01273053,2026-04-27T12:23:10.481505+00:00
14,Test Automation | Germany,gulp,Senior AI Developer (f/m/d) (m/f/d),GULP Client,"Location: Walldorf, Baden",Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01270258,2026-04-27T12:25:44.092714+00:00
14,Test Automation | Germany,gulp,Senior Developer .NET/C# Large Project in the Public Sector (m/f/d),GULP Client,Location: Mainz am Rhein,Remote,Freelance,C,"Senior, C#",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01268132,2026-04-27T12:25:44.093623+00:00
14,Test Automation | Germany,gulp,"Consultant with a focus on QA, TA and Tooling (m/f/d) | with Java, Selenium & React | 90% remote | Full-time",GULP Client,Location: Cologne,Remote,Freelance,"Java, Selenium","React, Consultant",English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01268253,2026-04-27T12:25:44.093916+00:00
14,Python Developer | Germany,gulp,Kotlin Senior for thedevelopmentof a new orchestration system in the public sector,GULP Client,Location: Duisburg,Remote,Freelance,,"Kotlin, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/69ef1011a5aad8d10790f89b,2026-04-27T12:26:33.882012+00:00
