relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Test Engineer | Germany,solcom,Senior Automotive Testing Engineer (m/w/d),SOLCOM Client,"International, Bucharest",On-site,Freelance,,Senior,English,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-105686,2026-04-30T11:55:36.202538+00:00
14,Test Engineer | Germany,solcom,Lead Expert Systems Engineering Eurofighter (m/w/d),SOLCOM Client,"D8, Großraum München",On-site,Freelance,,"Expert, Lead",English,"Expert, Lead",,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-expert-systems-engineering-eurofighter-m-w-d-105555,2026-04-30T11:55:36.203170+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D6,Remote,Freelance,,"R, Scrum, Freelancer, Safe",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/business-analyst-m-w-d-105399,2026-04-30T11:55:36.203778+00:00
0,Tester | Germany,solcom,QA En­gi­neer / Tes­ter / Test­au­to­ma­ti­sie­rer (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/qa-engineer-tester-testautomatisierer-m-w-d-105576,2026-04-30T11:53:34.320584+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-qualifikationsingenieur-m-w-d-105570,2026-04-30T11:53:34.320717+00:00
0,Tester | Germany,solcom,Soft­ware-Tes­t­in­ge­nieur (m/w/d),SOLCOM Client,D8,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-testingenieur-m-w-d-105449,2026-04-30T11:53:34.320837+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,Remote,Freelance,Can,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-device-testing-m-w-d-105389,2026-04-30T11:53:34.320970+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Regensburg,Remote,Freelance,"Can, Python, Test Automation","Jira, Associate, R, Zephyr",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-1014623,2026-04-30T11:53:34.321079+00:00
0,QA Engineer | Germany,solcom,Pro­jekt­lei­ter IT für kom­ple­xe IT-Trans­for­ma­ti­ons­pro­jek­te (m/w/d),SOLCOM Client,"D1, Berlin, remote",Remote,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektleiter-it-fuer-komplexe-it-transformationsprojekte-m-w-d-105556,2026-04-30T11:54:34.458417+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest, Romania",Remote,Freelance,"Can, I2C, Uart",Express,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-measurements-up-to-12-ghz-3-person-en-m-w-d-105657,2026-04-30T11:55:36.202666+00:00
0,Test Engineer | Germany,solcom,Teilprojektleiter Hoch-und Mittelspannung / Package Manager eBOP (m/w/d),SOLCOM Client,"D2, Remote",Remote,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/teilprojektleiter-hoch-und-mittelspannung-package-manager-ebop-m-w-d-105617,2026-04-30T11:55:36.202784+00:00
