relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, Berlin, remote",Remote,Freelance,Ci/Cd,"Senior, R, Project Manager, Devops, Consultant, Agile, Safe, Microservices",German,"Consultant, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektleiter-it-fuer-komplexe-it-transformationsprojekte-m-w-d-105556,2026-05-04T12:05:45.984535+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, reomte",Remote,Freelance,"Ci/Cd, Python","R, Sql, Oracle, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-data-engineer-apex-m-w-d-105719,2026-05-04T12:06:47.567743+00:00
14,Test Engineer | Germany,solcom,Lead Ex­pert Sys­tems En­gi­nee­ring Eu­ro­figh­ter (m/w/d),SOLCOM Client,"D8, Großraum München",On-site,Freelance,,Lead,English,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-expert-systems-engineering-eurofighter-m-w-d-105555,2026-05-04T12:06:47.568494+00:00
0,Tester | Germany,solcom,HIL Tes­ter im Be­reich E/E (m/w/d),SOLCOM Client,"D3, Großraum Wolfsburg",On-site,Freelance,Hil,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hil-tester-im-bereich-e-e-m-w-d-105721,2026-05-04T12:04:44.321379+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,Test Automation,"Kotlin, Appium, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/qa-engineer-tester-testautomatisierer-m-w-d-105576,2026-05-04T12:04:44.321574+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-qualifikationsingenieur-m-w-d-105570,2026-05-04T12:04:44.321797+00:00
0,Tester | Germany,solcom,Soft­ware-Tes­t­in­ge­nieur (m/w/d),SOLCOM Client,D8,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-testingenieur-m-w-d-105449,2026-05-04T12:04:44.321955+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,Remote,Freelance,Can,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-device-testing-m-w-d-105389,2026-05-04T12:04:44.322074+00:00
0,Tester | Germany,solcom,Tes­t­in­ge­nieur (m/w/d),SOLCOM Client,Regensburg,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-1014623,2026-05-04T12:04:44.322179+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Braunschweig / Remote,Remote,Freelance,Javascript,"Associate, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/spezialist-fuer-adobe-acroba-m-w-d-1014770,2026-05-04T12:06:47.567884+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Au­to­mo­ti­ve Tes­ting En­gi­neer (m/w/d),SOLCOM Client,"International, Bucharest",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-105686,2026-05-04T12:06:47.567999+00:00
