relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,Senior MS Office / GPO Consultant (m/w/d) – Public Sector / langfristiges Projekt,Freelancermap Client,Stuttgart Deutschland,On-site,Freelance,,"Consultant, Senior",English,"Consultant, Senior",,02.04.2026,https://www.freelancermap.de/projekt/senior-ms-office-gpo-consultant-m-w-d-public-sector-langfristiges-projekt,2026-05-04T12:15:23.391294+00:00
14,Tester | Germany,freelancermap,Interims Team Lead – Energielösungen (m/w/d),Freelancermap Client,Berlin Deutschland,On-site,Freelance,,"Lead, Team Lead",English,Lead,,29.04.2026,https://www.freelancermap.de/projekt/interims-team-lead-energieloesungen-m-w-d,2026-05-04T12:15:23.391422+00:00
14,Tester | Germany,freelancermap,SAP Consultant/Business Analyst -  Logistics & Procurement - Supplier Portal Project,Freelancermap Client,Berlin Deutschland,On-site,Freelance,,Consultant,English,Consultant,,22.04.2026,https://www.freelancermap.de/projekt/technical-business-analyst-for-sap-based-supplier-portal,2026-05-04T12:15:23.391542+00:00
14,Tester | Germany,freelancermap,mehrheitlich remote - SAP System consolidation Consultant / BRIM (m/w/d),Freelancermap Client,Bonn Deutschland,Remote,Freelance,,Consultant,English,Consultant,,12:09,https://www.freelancermap.de/projekt/mehrheitlich-remote-sap-system-consolidation-consultant-brim-m-w-d,2026-05-04T12:15:23.392294+00:00
14,Tester | Germany,freelancermap,(Senior) IT Support Engineer (m/w/d) – 2nd Level / VPN & Security,Freelancermap Client,Bonn oder München Deutschland,On-site,Freelance,,Senior,English,Senior,,12:06,https://www.freelancermap.de/projekt/senior-it-support-engineer-m-w-d-2nd-level-vpn-und-security,2026-05-04T12:15:23.392488+00:00
14,Python Developer | Switzerland,freelancermap,Microsoft Dynamics 365 Berater (m/w/d) Sales/Customer Service/Integration,Amoria Bond GmbH,Deutschland Deutschland,On-site,Freelance,,Consultant,German,Consultant,,12:23,https://www.freelancermap.de/projekt/microsoft-dynamics-365-berater-m-w-d-sales-customer-service-integration,2026-05-04T12:24:22.092778+00:00
0,Tester | Germany,freelancermap,Adserver Setup & Migration (m/w/d),Freelancermap Client,Berlin Deutschland,On-site,Freelance,,,English,,,29.04.2026,https://www.freelancermap.de/projekt/adserver-setup-und-migration-m-w-d,2026-05-04T12:15:23.391646+00:00
0,Tester | Germany,freelancermap,SAP BW - IP plus BPC Beratung,Freelancermap Client,Frankfurt  Deutschland,On-site,Freelance,,,English,,,27.04.2026,https://www.freelancermap.de/projekt/sap-bw-ip-plus-bpc-beratung,2026-05-04T12:15:23.391748+00:00
0,Tester | Germany,freelancermap,ITSM Fachmann  – Unterstützung IT-Prozesse,Freelancermap Client,Wiesbaden Deutschland,On-site,Freelance,,,English,,,02.05.2026,https://www.freelancermap.de/projekt/itsm-fachmann-unterstuetzung-it-prozesse,2026-05-04T12:15:23.391850+00:00
0,Tester | Germany,freelancermap,ITSM / ITIL Spezialist – KPI & Prozesssteuerung | ServiceNow | Long-Term Public Project,Freelancermap Client,Wiesbaden Deutschland,On-site,Freelance,,,English,,,02.05.2026,https://www.freelancermap.de/projekt/itsm-itil-spezialist-kpi-und-prozesssteuerung-servicenow-long-term-public-project,2026-05-04T12:15:23.391958+00:00
0,Tester | Germany,freelancermap,Innenarchitekt für Brautmodenladen-Grundriss gesucht,Freelancermap Client,Germany,On-site,Freelance,,R,English,,,02.05.2026,https://www.freelancermap.de/projekt/innenarchitekt-fuer-brautmodenladen-grundriss-gesucht,2026-05-04T12:15:23.392070+00:00
0,Tester | Germany,freelancermap,FPGA Entwickler (m/w/d),Freelancermap Client,München Deutschland,On-site,Freelance,,Fpga,English,,,30.04.2026,https://www.freelancermap.de/projekt/fpga-entwickler-m-w-d-2995780,2026-05-04T12:15:23.392196+00:00
