relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Senior Automotive Testing Engineer (m/f/d),GULP Client,Germany,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d96aa156447811f189e08e417b6a1e17,2026-05-04T12:32:34.288827+00:00
14,Tester | Germany,gulp,"Senior DevOps Engineer (m/f/d) Sectoral IDP, remote",GULP Client,Location: Bonn,Remote,Freelance,,"Devops, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01274320,2026-05-04T12:32:34.290460+00:00
14,Tester | Germany,gulp,Test Manager (m/f/d),GULP Client,Location: Frankfurt am Main,On-site,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01271571,2026-05-04T12:32:34.292432+00:00
14,QA Engineer | Germany,gulp,"Senior Project Manager (m/f/d), embedded, mechatronic",GULP Client,Location: Hinwil,Remote,Freelance,,"Project Manager, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69f88c43a26fd17027d0f7f6,2026-05-04T12:33:22.946760+00:00
14,QA Engineer | Germany,gulp,DataEngineer& Power BI Expert (m/f/d),GULP Client,Location: Helmstedt,Remote,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01275696,2026-05-04T12:33:22.948434+00:00
14,QA Engineer | Germany,gulp,Senior ProjectEngineerBESS (m/f/d),GULP Client,"Location: D8, Remote",Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/8b6ff8da44cc11f189e08e417b6a1e17,2026-05-04T12:33:22.949312+00:00
14,Test Automation | Germany,gulp,Senior PEGA Developer (m/f/d) – 3 project tracks to choose from – 90% remote / Nuremberg,GULP Client,Location: Nuremberg,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01273053,2026-05-04T12:35:53.266141+00:00
14,Test Automation | Germany,gulp,Senior AI Developer (f/m/d) (m/f/d),GULP Client,"Location: Walldorf, Baden",Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01270258,2026-05-04T12:35:53.268896+00:00
14,Python Developer | Germany,gulp,SharePoint Expert (m/f/d),GULP Client,"Location: D2, Remote",Remote,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d4dded1c44bb11f189e08e417b6a1e17,2026-05-04T12:36:42.713683+00:00
14,Python Developer | Germany,gulp,Senior .NETdeveloper(m/f/d),GULP Client,Location: Remote,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/cf83512c44bb11f189e08e417b6a1e17,2026-05-04T12:36:42.715449+00:00
