relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Tester | Austria,linkedin,Internship: Software Test Engineer - JavaCard Applications,NXP Semiconductors,"Gratkorn, Styria, Austria",Remote,Contract,"Can, Java, Jenkins, Test Automation","Senior, Internship",English,Senior,,Recent,https://at.linkedin.com/jobs/view/internship-software-test-engineer-javacard-applications-at-nxp-semiconductors-4390378393,2026-05-07T11:51:59.830866+00:00
44,Tester | Poland,linkedin,Senior Manual Test Engineer,Intellias,"Cracow, Małopolskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-manual-test-engineer-at-intellias-4400208624,2026-05-07T11:52:11.883155+00:00
29,Firmware Engineer | Germany,linkedin,Embedded Software Engineer,NXP Semiconductors,"Hamburg, Hamburg, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/embedded-software-engineer-at-nxp-semiconductors-4393236614,2026-05-07T11:54:31.043383+00:00
29,Firmware Engineer | Germany,linkedin,Embedded Software Developer (f/m/x),Impulse Audio Lab,"Munich, Bavaria, Germany",Remote,Contract,"C, C++, Can, Ci/Cd, Python, Spi, Typescript, Uart","Linux, Git, React, Qnx, Docker, Angular, Agile",English,,,Recent,https://de.linkedin.com/jobs/view/embedded-software-developer-f-m-x-at-impulse-audio-lab-4399520579,2026-05-07T11:54:31.043805+00:00
29,Firmware Engineer | Austria,linkedin,Software Engineer (w/m/d),Porsche Holding,"Salzburg, Austria",On-site,Full-time,,,English,,,Recent,https://at.linkedin.com/jobs/view/software-engineer-w-m-d-at-porsche-holding-4377874958,2026-05-07T11:54:33.405512+00:00
14,Tester | Austria,linkedin,Test Engineer (all genders),Lam Research,Greater Salzburg,Remote,Full-time,"C, C++, Python",Lead,English,Lead,,Recent,https://at.linkedin.com/jobs/view/test-engineer-all-genders-at-lam-research-4390983718,2026-05-07T11:51:59.830033+00:00
14,Tester | Austria,linkedin,Test Automation Engineer (d/w/m),EBCONT,"Vienna, Vienna, Austria",Remote,Full-time,"C, Java, Python, Selenium, Test Automation","C#, Senior, Devops, Consultant, Junior, Scrum, Associate, Kanban, R",German,"Consultant, Senior",,Recent,https://at.linkedin.com/jobs/view/test-automation-engineer-d-w-m-at-ebcont-4410477698,2026-05-07T11:51:59.830327+00:00
14,Tester | Austria,linkedin,Senior Tester (f/m/x) - Group Prime Service Tribe,Raiffeisen Bank International AG,"Vienna, Austria",Remote,Internship,"Bash, Can, Java, Playwright, Shell, Test Automation, Typescript","Lead, Senior, Sql, Postman",English,"Lead, Senior",,Recent,https://at.linkedin.com/jobs/view/senior-tester-f-m-x-group-prime-service-tribe-at-raiffeisen-bank-international-ag-4408045349,2026-05-07T11:51:59.830459+00:00
14,Tester | Remote,linkedin,Senior Pega CDH Test Engineer,Coforge,Frankfurt Rhine-Main Metropolitan Area,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-pega-cdh-test-engineer-at-coforge-4389806639,2026-05-07T11:52:04.656444+00:00
14,Tester | Czech Republic,linkedin,Inspection Lead,Integer Holdings Corporation,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Lead,English,Lead,,Recent,https://do.linkedin.com/jobs/view/inspection-lead-at-integer-holdings-corporation-4409102032,2026-05-07T11:52:09.450803+00:00
14,Tester | United Kingdom,linkedin,QA Tester,Haystack,United Kingdom,Remote,Full-time,Go,Expert,English,Expert,,Recent,https://uk.linkedin.com/jobs/view/qa-tester-at-haystack-4408887883,2026-05-07T11:52:16.913918+00:00
14,Tester | United Kingdom,linkedin,Manual Software Tester,Chemist4U,"Skelmersdale, England, United Kingdom",Remote,Contract,Can,"Expert, Regression Testing, Scrum, Staff, Agile",English,"Expert, Staff",,Recent,https://uk.linkedin.com/jobs/view/manual-software-tester-at-chemist4u-4409193881,2026-05-07T11:52:16.914447+00:00
14,QA Engineer | Austria,linkedin,Senior Quality Assurance Engineer,Bybit EU,"Vienna, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-bybit-eu-4408647231,2026-05-07T11:52:21.734496+00:00
