relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,QA Engineer | Poland,linkedin,Quality Assurance Automation Engineer,Intellias,Poland,On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/quality-assurance-automation-engineer-at-intellias-4413456323,2026-05-14T11:56:13.869730+00:00
29,Python Developer | Austria,linkedin,AI-Native Software Engineer (all genders),AITHYRA Research Institute for Biomedical Artificial Intelligence,"Vienna, Vienna, Austria",Remote,Contract,"Ai Agents, Can, Ci/Cd, Claude, Cursor, Github Copilot, Python","Git, Github, Graphql, Kubernetes, React, Head Of, Grafana, Docker, Spark",English,,,Recent,https://at.linkedin.com/jobs/view/ai-native-software-engineer-all-genders-at-aithyra-research-institute-for-biomedical-artificial-intelligence-4412378879,2026-05-14T11:57:31.214358+00:00
29,Firmware Engineer | Austria,linkedin,Junior Embedded Crypto Software Developer (f/m/d),NXP Semiconductors,"Gratkorn, Styria, Austria",Remote,Internship,"Arm, C","Assembly, R, Graduate, Junior",English,,,Recent,https://at.linkedin.com/jobs/view/junior-embedded-crypto-software-developer-f-m-d-at-nxp-semiconductors-4411416118,2026-05-14T11:58:14.917717+00:00
29,Firmware Engineer | Austria,linkedin,Software Engineer (w/m/d),Porsche Holding,"Salzburg, Austria",Remote,Internship,Java,"Associate, Sql, Agile, R, Angular, Hibernate",German,,,Recent,https://at.linkedin.com/jobs/view/software-engineer-w-m-d-at-porsche-holding-4377874958,2026-05-14T11:58:14.918260+00:00
14,Tester | Austria,linkedin,Senior Tester (f/m/x) - Group Prime Service Tribe,Raiffeisen Bank International AG,"Vienna, Austria",Remote,Internship,"Bash, Can, Java, Playwright, Shell, Test Automation, Typescript","Lead, Sql, Senior, Postman",English,"Lead, Senior",,Recent,https://at.linkedin.com/jobs/view/senior-tester-f-m-x-group-prime-service-tribe-at-raiffeisen-bank-international-ag-4408045349,2026-05-14T11:55:40.569400+00:00
14,Tester | Remote,linkedin,Senior Pega CDH Test Engineer,Coforge,Frankfurt Rhine-Main Metropolitan Area,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-pega-cdh-test-engineer-at-coforge-4389806639,2026-05-14T11:55:45.239715+00:00
14,Tester | Czech Republic,linkedin,Test Engineer,Eaton,"Bajos de Haina, San Cristóbal, Dominican Republic",Remote,Contract,"C, C++","Lead, Assembly, Oracle, Principal, R",English,"Lead, Principal",,Recent,https://do.linkedin.com/jobs/view/test-engineer-at-eaton-4353191207,2026-05-14T11:55:50.003539+00:00
14,Tester | Czech Republic,linkedin,Inspection Lead,Integer Holdings Corporation,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Contract,C,"Lead, Assembly, Associate, Oracle, Senior, Graduate",English,"Lead, Senior",,Recent,https://do.linkedin.com/jobs/view/inspection-lead-at-integer-holdings-corporation-4409102032,2026-05-14T11:55:50.004084+00:00
14,Tester | USA,linkedin,QA Tester,Maagsoft Inc.,"Albany, NY",On-site,Contract,Selenium,"Lead, Jira",English,Lead,,Recent,https://www.linkedin.com/jobs/view/qa-tester-at-maagsoft-inc-4412905187,2026-05-14T11:55:54.949239+00:00
14,Tester | USA,linkedin,QA Tester,KellyMitchell Group,"Gresham, OR",On-site,Contract,"Can, System Testing",Expert,English,Expert,,Recent,https://www.linkedin.com/jobs/view/qa-tester-at-kellymitchell-group-4380367886,2026-05-14T11:55:54.949748+00:00
14,QA Engineer | Austria,linkedin,Senior QA Manual Engineer,Jobgether,Austria,On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-qa-manual-engineer-at-jobgether-4413513618,2026-05-14T11:56:02.111668+00:00
