relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,Remote,Freelance,,"R, Associate, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/requirement-engineer-pruefspezifikationen-m-w-d-1014854,2026-05-14T12:09:15.903277+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest",Remote,Freelance,System Testing,"Jira, Senior, Confluence",English,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-105686,2026-05-14T12:09:15.903803+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Remote",Remote,Freelance,,"R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/teilprojektleiter-hoch-und-mittelspannung-package-manager-ebop-m-w-d-105617,2026-05-14T12:09:15.903996+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, Großraum München",On-site,Freelance,"C, C++","R, Lead, C#, Expert, Freelancer, Matlab",German,"Expert, Freelancer, Lead",,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-expert-systems-engineering-eurofighter-m-w-d-105555,2026-05-14T12:09:15.904187+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"R, Lead, Consultant",German,"Consultant, Lead",,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-consultant-marketing-automation-marketing-technology-transformation-b2c-m-w-d-105944,2026-05-14T12:11:25.187812+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,Can,"R, Devops, Freelancer, Git, Azure",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/plc-entwicklung-m-w-d-105765,2026-05-14T12:11:25.188066+00:00
0,Tester | Germany,solcom,In­be­trieb­nah­me In­ge­nieur (m/w/d),SOLCOM Client,"D1, Rostock",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/inbetriebnahme-ingenieur-m-w-d-105943,2026-05-14T12:06:59.195877+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D5, Großraum Köln",On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/teilprojektleiter-rechnungseingangspruefung-m-w-d-105888,2026-05-14T12:06:59.196009+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D6,Remote,Freelance,,"R, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/rockwell-programmierer-m-w-d-1014852,2026-05-14T12:06:59.196118+00:00
0,Tester | Germany,solcom,Ex­per­te im Be­reich Chan­ge Ma­nage­ment für das Tes­ting (m/w/d),SOLCOM Client,"D2, Bremen",On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/experte-im-bereich-change-management-fuer-das-testing-m-w-d-105844,2026-05-14T12:06:59.196220+00:00
0,Tester | Germany,solcom,Test­ma­na­ger (m/w/d),SOLCOM Client,"D2, Bremen",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-m-w-d-105842,2026-05-14T12:06:59.196329+00:00
0,Tester | Germany,solcom,Fach­pla­ner Kanal und Ent­wäs­se­rungs­pla­nung (m/w/d),SOLCOM Client,"Remote, Braunschweig",Remote,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fachplaner-kanal-und-entwaesserungsplanung-m-w-d-1014835,2026-05-14T12:06:59.196433+00:00
0,Tester | Germany,solcom,"Bau­in­ge­nieur / Fach­in­ge­nieur Raf­fi­ne­rie Aus­maue­rung, Pa­ving- und Fas­sa­den­sa­nie­rung (m/w/d)",SOLCOM Client,D7,On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauingenieur-fachingenieur-m-w-d-1014807,2026-05-14T12:06:59.196533+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D3, Großraum Wolfsburg",Remote,Freelance,"Can, Hil, Python, Sil, Test Automation","R, Canoe, Matlab, Jira",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hil-tester-im-bereich-e-e-m-w-d-105721,2026-05-14T12:06:59.196678+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,Test Automation,"R, Kotlin, Appium",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/qa-engineer-tester-testautomatisierer-m-w-d-105576,2026-05-14T12:06:59.196790+00:00
