relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,QA Engineer | Poland,linkedin,Quality Assurance Automation Engineer,Intellias,Poland,On-site,Full-time,"Javascript, Pytest, Python, Test Automation","Azure, Gitlab, Pandas",English,,,Recent,https://pl.linkedin.com/jobs/view/quality-assurance-automation-engineer-at-intellias-4413456323,2026-05-18T13:52:05.972203+00:00
29,Python Developer | Austria,linkedin,AI-Native Software Engineer (all genders),AITHYRA Research Institute for Biomedical Artificial Intelligence,"Vienna, Vienna, Austria",Remote,Contract,"Ai Agents, Can, Ci/Cd, Claude, Cursor, Github Copilot, Python","Spark, Grafana, Graphql, Docker, Head Of, Github, Git, React, Kubernetes",English,,,Recent,https://at.linkedin.com/jobs/view/ai-native-software-engineer-all-genders-at-aithyra-research-institute-for-biomedical-artificial-intelligence-4412378879,2026-05-18T13:53:21.456285+00:00
29,Firmware Engineer | Austria,linkedin,Junior Embedded Crypto Software Developer (f/m/d),NXP Semiconductors,"Gratkorn, Styria, Austria",Remote,Internship,"Arm, C","Graduate, R, Junior, Assembly",English,,,Recent,https://at.linkedin.com/jobs/view/junior-embedded-crypto-software-developer-f-m-d-at-nxp-semiconductors-4411416118,2026-05-18T13:54:05.329791+00:00
14,Tester | Austria,linkedin,Test Engineer (all genders),Lam Research,Greater Salzburg,Remote,Full-time,"C, C++, Python",Lead,English,Lead,,Recent,https://at.linkedin.com/jobs/view/test-engineer-all-genders-at-lam-research-4390983718,2026-05-18T13:51:32.093761+00:00
14,Tester | Austria,linkedin,Senior Tester (f/m/x) - Group Prime Service Tribe,Raiffeisen Bank International AG,"Vienna, Austria",Remote,Internship,"Bash, Can, Java, Playwright, Shell, Test Automation, Typescript","Senior, Postman, Lead, Sql",English,"Lead, Senior",,Recent,https://at.linkedin.com/jobs/view/senior-tester-f-m-x-group-prime-service-tribe-at-raiffeisen-bank-international-ag-4408045349,2026-05-18T13:51:32.094064+00:00
14,Tester | Switzerland,linkedin,Test Engineer (AI),Sixsentix,"Zurich, Switzerland",On-site,Contract,"Can, Ci/Cd, Llm, Prompt Engineering, Pytest, Rag","Regression Testing, Safe, Mlops, Consultant, Expert, Postman, Git",English,"Consultant, Expert",,Recent,https://ch.linkedin.com/jobs/view/test-engineer-ai-at-sixsentix-4392275860,2026-05-18T13:51:34.488178+00:00
14,Tester | Switzerland,linkedin,Software Development Engineer in Test,Antaes Consulting,"Geneva, Switzerland",Remote,Internship,"Can, Ci/Cd, Continuous Testing, Java, Jenkins, Python, Shell, Test Automation","Jira, Agile, Lead, Waterfall, Git",English,Lead,,Recent,https://ch.linkedin.com/jobs/view/software-development-engineer-in-test-at-antaes-consulting-4405541516,2026-05-18T13:51:34.488985+00:00
14,Tester | Remote,linkedin,Senior Pega CDH Test Engineer,Coforge,Frankfurt Rhine-Main Metropolitan Area,Remote,Contract,"System Testing, Test Automation","Senior, Scrum, Agile, Lead",English,"Lead, Senior",,Recent,https://de.linkedin.com/jobs/view/senior-pega-cdh-test-engineer-at-coforge-4389806639,2026-05-18T13:51:36.897029+00:00
14,Tester | Remote,linkedin,Testing,SThree,"Hamburg, Hamburg, Germany",Remote,Full-time,Test Automation,"Senior, Confluence, Scrum, R, Manual Testing, Jira, Consultant, Kanban",German,"Consultant, Senior, Test Manager",,Recent,https://de.linkedin.com/jobs/view/testing-at-sthree-4414209177,2026-05-18T13:51:36.897353+00:00
14,Tester | Remote,linkedin,ISTQB® Certified QA Tester (Mobile Apps) Event Discovery Platform (m/f/d),Louco,Germany,Remote,Full-time,"Ci/Cd, Selenium","Tech Lead, Php, Appium, Postman, Regression Testing, Manual Testing, Jira, Agile, Lead, Cypress",English,Lead,,Recent,https://de.linkedin.com/jobs/view/istqb%C2%AE-certified-qa-tester-mobile-apps-event-discovery-platform-m-f-d-at-louco-4410374691,2026-05-18T13:51:36.897513+00:00
14,Tester | Slovakia,linkedin,Manual QA Tester,Descartes Systems Group,"Žilina, Zilina, Slovakia",Remote,Contract,Can,"Agile, Lead, Sql",English,Lead,,Recent,https://sk.linkedin.com/jobs/view/manual-qa-tester-at-descartes-systems-group-4382115365,2026-05-18T13:51:39.270049+00:00
