relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,International,Remote,Freelance,,Expert,English,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/commissioning-of-biogas-plants-m-w-d-105822,2026-05-18T14:06:35.708537+00:00
14,Test Engineer | Germany,solcom,Lead Ex­pert Sys­tems En­gi­nee­ring Eu­ro­figh­ter (m/w/d),SOLCOM Client,"D8, Großraum München",On-site,Freelance,,Lead,English,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-expert-systems-engineering-eurofighter-m-w-d-105555,2026-05-18T14:06:35.709132+00:00
14,Test Automation | Germany,solcom,Lead Con­sul­tant Mar­ke­ting Au­to­ma­ti­on & Mar­ke­ting Tech­no­lo­gy Trans­for­ma­ti­on (B2C) (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,Lead,English,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-consultant-marketing-automation-marketing-technology-transformation-b2c-m-w-d-105944,2026-05-18T14:08:50.789580+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,Can,"Freelancer, R, Devops, Azure, Git",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/plc-entwicklung-m-w-d-105765,2026-05-18T14:08:50.789703+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, Rostock",On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/inbetriebnahme-ingenieur-m-w-d-105943,2026-05-18T14:04:24.587689+00:00
0,Tester | Germany,solcom,Teil­pro­jekt­lei­ter Rech­nungs­ein­gangs­prü­fung (m/w/d),SOLCOM Client,"D5, Großraum Köln",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/teilprojektleiter-rechnungseingangspruefung-m-w-d-105888,2026-05-18T14:04:24.587828+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D6,Remote,Freelance,,"R, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/rockwell-programmierer-m-w-d-1014852,2026-05-18T14:04:24.587941+00:00
0,Tester | Germany,solcom,Ex­per­te im Be­reich Chan­ge Ma­nage­ment für das Tes­ting (m/w/d),SOLCOM Client,"D2, Bremen",On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/experte-im-bereich-change-management-fuer-das-testing-m-w-d-105844,2026-05-18T14:04:24.588048+00:00
0,Tester | Germany,solcom,Test­ma­na­ger (m/w/d),SOLCOM Client,"D2, Bremen",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-m-w-d-105842,2026-05-18T14:04:24.588153+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Braunschweig",Remote,Freelance,,Associate,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fachplaner-kanal-und-entwaesserungsplanung-m-w-d-1014835,2026-05-18T14:04:24.588282+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,On-site,Freelance,,"R, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauingenieur-fachingenieur-m-w-d-1014807,2026-05-18T14:04:24.588386+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D3, Großraum Wolfsburg",Remote,Freelance,"Can, Hil, Python, Sil, Test Automation","Jira, R, Matlab, Canoe",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hil-tester-im-bereich-e-e-m-w-d-105721,2026-05-18T14:04:24.588486+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,Test Automation,"R, Appium, Kotlin",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/qa-engineer-tester-testautomatisierer-m-w-d-105576,2026-05-18T14:04:24.588592+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-qualifikationsingenieur-m-w-d-105570,2026-05-18T14:04:24.588689+00:00
