relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Austria,freelancermap,SAP Experte / SAP Consultant Klinikum – Remote / Ostdeutschland,Freelancermap Client,Ostdeutschland Deutschland,Remote,Freelance,,"Expert, Consultant",English,"Consultant, Expert",,14:10,https://www.freelancermap.de/projekt/sap-experte-sap-consultant-klinikum-remote-ostdeutschland,2026-05-18T14:17:24.441225+00:00
14,Tester | Austria,freelancermap,In ANÜ: (Senior) Berater MarTech & Data Architektur mit Tealium-Expertise (m/w/d) - 70% remote,Freelancermap Client,Köln Deutschland,Remote,Freelance,,"Consultant, Senior",German,"Consultant, Senior",,14:08,https://www.freelancermap.de/projekt/in-anue-senior-berater-martech-und-data-architektur-mit-tealium-expertise-m-w-d-70-prozent-remote,2026-05-18T14:17:24.441336+00:00
14,Tester | Austria,freelancermap,SAP OTC / Project Coordination Consultant,Freelancermap Client,Remote  Deutschland,Remote,Freelance,,Consultant,English,Consultant,,14:06,https://www.freelancermap.de/projekt/sap-otc-project-coordination-consultant,2026-05-18T14:17:24.441537+00:00
14,Tester | Austria,freelancermap,IT Consultant (w/m/d) Red Hat OpenShift,Freelancermap Client,Mannheim Deutschland,On-site,Freelance,,"Consultant, Openshift",English,Consultant,,13:57,https://www.freelancermap.de/projekt/it-consultant-w-m-d-red-hat-openshift,2026-05-18T14:17:24.442266+00:00
14,Tester | Austria,freelancermap,Senior Projektmanager (m/w/d) Risiko- & Qualitätsmanagement IT,Freelancermap Client,Bonn Meckenheim Deutschland,On-site,Freelance,,Senior,English,Senior,,13:55,https://www.freelancermap.de/projekt/senior-projektmanager-m-w-d-risiko-und-qualitaetsmanagement-it,2026-05-18T14:17:24.442369+00:00
14,Tester | Austria,freelancermap,Systemarchitekt (m/w/d),Freelancermap Client,Nürnberg Deutschland,On-site,Freelance,,System Architect,English,System Architect,,13:55,https://www.freelancermap.de/projekt/systemarchitekt-m-w-d-3001356,2026-05-18T14:17:24.442466+00:00
14,Tester | Austria,freelancermap,Externe Unterstützung gesucht: Senior SAP CVI / Business Partner (BP) – S/4HANA Brownfield (50 PT),Freelancermap Client,Köln Deutschland,On-site,Freelance,,Senior,English,Senior,,13:51,https://www.freelancermap.de/projekt/externe-unterstuetzung-gesucht-senior-sap-cvi-business-partner-bp-s-4hana-brownfield-50-pt,2026-05-18T14:17:24.442662+00:00
0,Tester | Austria,freelancermap,Sales-Mitarbeiter für Vertrieb & Kundengenerierung im Defence-Bereich,Freelancermap Client,Passau Deutschland,On-site,Freelance,,"R, Associate",English,,,11.05.2026,https://www.freelancermap.de/projekt/sales-mitarbeiter-fuer-vertrieb-und-kundengenerierung-im-defence-bereich,2026-05-18T14:17:24.440742+00:00
0,Tester | Austria,freelancermap,B2B Appointment Setter / Telefonakquise gesucht – Microsoft 365 Sicherheitscheck für KMU in DACH,Freelancermap Client,bundesweit Deutschland,On-site,Freelance,,R,English,,,16.05.2026,https://www.freelancermap.de/projekt/b2b-appointment-setter-telefonakquise-gesucht-microsoft-365-sicherheitscheck-fuer-kmu-in-dach,2026-05-18T14:17:24.440901+00:00
0,Tester | Austria,freelancermap,HSE-Koordinator / SiGeKo (m/w/d) Tiefbau,Freelancermap Client,Nittenau Deutschland,On-site,Freelance,,,English,,,14:12,https://www.freelancermap.de/projekt/hse-koordinator-sigeko-m-w-d-tiefbau,2026-05-18T14:17:24.441013+00:00
0,Tester | Austria,freelancermap,SAP CRM / SAP S/4 Customer Engagement Entwickler (m/w/d),Freelancermap Client,deutschland Deutschland,On-site,Freelance,,,English,,,14:10,https://www.freelancermap.de/projekt/sap-crm-sap-s-4-customer-engagement-entwickler-m-w-d,2026-05-18T14:17:24.441120+00:00
