relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,Lead-Analytiker Anforderungsanalyse (m/w/d),Freelancermap Client,Nürnberg Deutschland,On-site,Freelance,,Lead,English,Lead,,13:08,https://www.freelancermap.de/projekt/lead-analytiker-anforderungsanalyse-m-w-d-3002952,2026-05-21T13:10:33.112468+00:00
14,Tester | Germany,freelancermap,IT Firewall Architekt (m/w/d) – MPLS & Netzwerksicherheit (m/w/d),Freelancermap Client,Berlin Dresden Leipzig Deutschland,On-site,Freelance,,Architect,English,Architect,,19.05.2026,https://www.freelancermap.de/projekt/it-firewall-architekt-m-w-d-mpls-und-netzwerksicherheit-m-w-d,2026-05-21T13:10:33.112736+00:00
14,Tester | Germany,freelancermap,"ServiceNow Senior Developer, Interface+SOMT",Freelancermap Client,REMOTE Deutschland,Remote,Freelance,,Senior,English,Senior,,13:06,https://www.freelancermap.de/projekt/servicenow-senior-developer-interface-somt,2026-05-21T13:10:33.113222+00:00
14,Tester | Germany,freelancermap,VMware Consultant (m/w/d),Freelancermap Client,Verl Deutschland,On-site,Freelance,,Consultant,English,Consultant,,13:03,https://www.freelancermap.de/projekt/vmware-consultant-m-w-d-3002947,2026-05-21T13:10:33.113576+00:00
14,Tester | Germany,freelancermap,Senior VMware Architekt:in per remote,Freelancermap Client,Verl Deutschland,Remote,Freelance,,"Architect, Senior",English,"Architect, Senior",,13:03,https://www.freelancermap.de/projekt/senior-vmware-architekt-in-per-remote,2026-05-21T13:10:33.113693+00:00
14,Tester | Germany,freelancermap,Senior Architekten – Anwendungsarchitektur,Freelancermap Client,Nürnberg Deutschland,On-site,Freelance,,Senior,English,Senior,,13:01,https://www.freelancermap.de/projekt/senior-architekten-anwendungsarchitektur-3002941,2026-05-21T13:10:33.114202+00:00
14,Tester | Austria,freelancermap,ServiceNow Solutions Consultant Source2Pay,Freelancermap Client,Stuttgart Deutschland,On-site,Freelance,,Consultant,English,Consultant,,13:10,https://www.freelancermap.de/projekt/servicenow-solutions-consultant-source2pay-3002957,2026-05-21T13:10:49.374519+00:00
14,QA Engineer | Remote,freelancermap,ServiceNow ITSM Solution Consultant,Freelancermap Client,STUTTGART Deutschland,On-site,Freelance,,Consultant,English,Consultant,,13:12,https://www.freelancermap.de/projekt/servicenow-itsm-solution-consultant-3002958,2026-05-21T13:12:27.049443+00:00
14,Python Developer | Germany,freelancermap,Lead-Analytiker Anforderungsanalyse / Konzept,Freelancermap Client,Nürnberg Deutschland,On-site,Freelance,,Lead,English,Lead,,13:15,https://www.freelancermap.de/projekt/lead-analytiker-anforderungsanalyse-konzept-3002967,2026-05-21T13:17:19.370460+00:00
14,Python Test | Switzerland,freelancermap,KIS-Consultant CGM MEDICO (m/w/d) – KLIDO-Bögen & Post-Migration-Support,YER Deutschland,Hamburg Deutschland,Remote,Freelance,Go,"R, Consultant",German,Consultant,,13:19,https://www.freelancermap.de/projekt/kis-consultant-cgm-medico-m-w-d-klido-boegen-und-post-migration-support,2026-05-21T13:20:17.485468+00:00
0,Tester | Germany,freelancermap,Sofico Miles Developer - Konfigurator,Freelancermap Client,Neuss Deutschland,On-site,Freelance,,,English,,,20.05.2026,https://www.freelancermap.de/projekt/sofico-miles-developer-konfigurator-3002479,2026-05-21T13:10:33.111740+00:00
0,Tester | Germany,freelancermap,Sales-Mitarbeiter für Vertrieb & Kundengenerierung im Defence-Bereich,Freelancermap Client,Passau Deutschland,On-site,Freelance,,"R, Associate",English,,,11.05.2026,https://www.freelancermap.de/projekt/sales-mitarbeiter-fuer-vertrieb-und-kundengenerierung-im-defence-bereich,2026-05-21T13:10:33.111913+00:00
0,Tester | Germany,freelancermap,Projektleiter Rückbau Kohlekraftwerk (m/w/d),Freelancermap Client,Dortmund Deutschland,On-site,Freelance,,"R, Project Manager",English,,,19.05.2026,https://www.freelancermap.de/projekt/projektleiter-rueckbau-kohlekraftwerk-m-w-d,2026-05-21T13:10:33.112048+00:00
0,Tester | Germany,freelancermap,HSE Manager / Fachkraft für Arbeitssicherheit (m/w/d),Freelancermap Client,Leipzig Deutschland,On-site,Freelance,,R,English,,,19.05.2026,https://www.freelancermap.de/projekt/hse-manager-fachkraft-fuer-arbeitssicherheit-m-w-d-3001833,2026-05-21T13:10:33.112182+00:00
0,Tester | Germany,freelancermap,Bauleiter Hochbau (m/w/d),Freelancermap Client,Hannover Deutschland,On-site,Freelance,,,English,,,19.05.2026,https://www.freelancermap.de/projekt/bauleiter-hochbau-m-w-d-3001831,2026-05-21T13:10:33.112315+00:00
