relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Test Manager (m/f/d),GULP Client,"Location: D2, Bremen",On-site,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/0cd46e3c4b0411f189e08e417b6a1e17,2026-05-21T13:24:48.944624+00:00
14,Tester | Germany,gulp,Senior AutomotiveTesting Engineer(m/f/d),GULP Client,"Location: International, Bucharest",On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d96aa156447811f189e08e417b6a1e17,2026-05-21T13:24:48.945841+00:00
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-05-21T13:24:48.946949+00:00
14,QA Engineer | Germany,gulp,"Lead Architect (m/f/d) Big Data (Warehouse, Data Lake, Data Lakehouse)",GULP Client,Location: remote,Remote,Freelance,,"Architect, Lead",English,"Architect, Lead",,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a0f0038a26fd17027da2c56,2026-05-21T13:25:38.648313+00:00
14,QA Engineer | Germany,gulp,(Senior) Go-to-Market Manager for Data Center Solutions (m/f/d),GULP Client,"Location: D3, USA",On-site,Freelance,Go,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/9c27d6a2550711f189e08e417b6a1e17,2026-05-21T13:25:38.651063+00:00
14,QA Engineer | Germany,gulp,Go-to-Market & Strategy Consultant (m/f/d) (Data Center / Energy Solutions),GULP Client,"Location: Kassel, Hessen",On-site,Freelance,Go,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01283624,2026-05-21T13:25:38.651744+00:00
14,QA Engineer | Germany,gulp,Service Concept and SLA Architect (m/f/d) – Energy Supply for AI Data Centers,GULP Client,"Location: Kassel, Hessen",On-site,Freelance,,Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01283607,2026-05-21T13:25:38.652060+00:00
14,Test Automation | Germany,gulp,(Senior) QA / BackendTest AutomationEngineer – Mobile Apps (m/f/d) 90% Remote,GULP Client,Location: Cologne,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01282107,2026-05-21T13:28:09.010597+00:00
14,Test Automation | Germany,gulp,DevOps Transformation Expert (m/f/d),GULP Client,"Location: Remote, D2",Remote,Freelance,,"Expert, Devops",English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/eb9cdcda4ef111f189e08e417b6a1e17,2026-05-21T13:28:09.011505+00:00
14,Test Automation | Germany,gulp,Senior AWS Developer (TypeScript) (m/f/d),GULP Client,Location: Wiesbaden,On-site,Freelance,Typescript,"Senior, Aws",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01280375,2026-05-21T13:28:09.011825+00:00
14,Test Automation | Germany,gulp,Lead Software Engineer – Data Migration (m/f/d) (80–100%) (16017),GULP Client,Location: siehe Beschreibung,Remote,Freelance,,Lead,English,Lead,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/7dd08d104abd11f189e08e417b6a1e17,2026-05-21T13:28:09.012633+00:00
14,Test Automation | Germany,gulp,Senior PEGA Developer (m/f/d) – 3 project tracks to choose from – 90% remote / Nuremberg,GULP Client,Location: Nuremberg,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01273053,2026-05-21T13:28:09.014607+00:00
14,Python Developer | Germany,gulp,REMOTE: HAIILO Plugin Expert in Java/Springboot Environment (m/f/d) for 3 Day Workshop,GULP Client,Location: Frankfurt am Main,Remote,Freelance,Java,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01283969,2026-05-21T13:29:00.486294+00:00
14,Python Developer | Germany,gulp,VMware/Omnissa and VDI Expert (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01283936,2026-05-21T13:29:00.486672+00:00
14,Python Developer | Germany,gulp,Consultant (m/f/d),GULP Client,"Location: Remote, Braunschweig",Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/2ffc4c60550c11f189e08e417b6a1e17,2026-05-21T13:29:00.487997+00:00
