relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Senior Softwaretester C# (m/w/d),FERCHAU,Linz Öster­reich,Hybrid,Full-time,"C, Ci/Cd","Senior, Expert, R, Nunit, C#",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/501784/senior-softwaretester-c,2026-05-21T14:05:43.025121+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-05-21T14:05:43.026487+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-05-21T14:05:43.027228+00:00
14,Tester | Germany,ferchau,Testmanager (m/w/d) Embedded Systems,FERCHAU,Bens­heim Deut­sch­land,Vor Ort,Full-time,"C, Embedded Systems, Python","Expert, R, Jira, Sql, C#",German,"Expert, Test Manager",,Recent,https://touch.ferchau.com/de/de/job/505885/testmanager-embedded-systems,2026-05-21T14:05:43.029697+00:00
14,Tester | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Frei­burg im Breisgau Deut­sch­land,Vor Ort,Full-time,"C, Java, Python","Expert, Git, Scrum, R, Kanban, C#",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/133507/softwaretester-software-test-engineer,2026-05-21T14:05:43.030242+00:00
14,Tester | Germany,ferchau,Systemtester (m/w/d),FERCHAU,Mann­heim Deut­sch­land,Vor Ort,Full-time,,"Sql, R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443281/systemtester,2026-05-21T14:05:43.030838+00:00
14,Tester | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,,"Scrum, R, Expert, Kanban",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/445270/softwaretester-software-test-engineer,2026-05-21T14:05:43.031579+00:00
14,QA Engineer | Germany,ferchau,Project Quality Assurance Engineer (m/w/d) Aerospace,FERCHAU,Stade Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/491323/project-quality-assurance-engineer-aerospace,2026-05-21T14:05:51.859471+00:00
14,QA Engineer | Germany,ferchau,Softwaretester Qualitätssicherung (m/w/d),FERCHAU,Beckum Deut­sch­land,Hybrid,Full-time,"C, Ci/Cd, Java, Jenkins, Python","Expert, Scrum, R, Jira, Junit, Gitlab Ci, Zephyr, Kanban, Sql, C#",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/499252/softwaretester-qualitaetssicherung,2026-05-21T14:05:51.861822+00:00
14,Test Engineer | Germany,ferchau,Software Test Engineer (m/w/d),FERCHAU,Wien Öster­reich,Hybrid,Full-time,"C, C++, Java","Expert, R, C#",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/505204/software-test-engineer,2026-05-21T14:06:01.253931+00:00
14,Test Engineer | Germany,ferchau,Testingenieur Elektrotechnik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/242196/testingenieur-elektrotechnik,2026-05-21T14:06:01.259318+00:00
