relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,,"Lead, Devops, R, Azure",German,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-lead-tester-energiedatenmanagement-m-w-d-106076,2026-05-25T13:43:32.300240+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,Remote,Freelance,,"Freelancer, Associate, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/requirement-engineer-pruefspezifikationen-m-w-d-1014854,2026-05-25T13:45:38.560583+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,International,Remote,Freelance,,Expert,English,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/commissioning-of-biogas-plants-m-w-d-105822,2026-05-25T13:45:38.560674+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest",Remote,Freelance,System Testing,"Confluence, Senior, Jira",English,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-105686,2026-05-25T13:45:38.560921+00:00
14,Test Engineer | Germany,solcom,Lead Ex­pert Sys­tems En­gi­nee­ring Eu­ro­figh­ter (m/w/d),SOLCOM Client,"D8, Großraum München",On-site,Freelance,,Lead,English,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-expert-systems-engineering-eurofighter-m-w-d-105555,2026-05-25T13:45:38.561099+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Lead, R, Consultant",German,"Consultant, Lead",,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-consultant-marketing-automation-marketing-technology-transformation-b2c-m-w-d-105944,2026-05-25T13:47:44.910185+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,On-site,Freelance,Sil,"Associate, R, Matlab",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/verfahrensingenieur-petrochemie-m-w-d-1015434,2026-05-25T13:43:32.300449+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, Rostock",On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/inbetriebnahme-ingenieur-m-w-d-105943,2026-05-25T13:43:32.300600+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D6,Remote,Freelance,,"Associate, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/rockwell-programmierer-m-w-d-1014852,2026-05-25T13:43:32.300738+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Braunschweig",Remote,Freelance,,Associate,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fachplaner-kanal-und-entwaesserungsplanung-m-w-d-1014835,2026-05-25T13:43:32.300894+00:00
0,Tester | Germany,solcom,"Bau­in­ge­nieur / Fach­in­ge­nieur Raf­fi­ne­rie Aus­maue­rung, Pa­ving- und Fas­sa­den­sa­nie­rung (m/w/d)",SOLCOM Client,D7,On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauingenieur-fachingenieur-m-w-d-1014807,2026-05-25T13:43:32.301053+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D3, Großraum Wolfsburg",Remote,Freelance,"Can, Hil, Python, Sil, Test Automation","Matlab, Canoe, Jira, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hil-tester-im-bereich-e-e-m-w-d-105721,2026-05-25T13:43:32.301200+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-qualifikationsingenieur-m-w-d-105570,2026-05-25T13:43:32.301328+00:00
