relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,Security Architect – Rollen- und Berechtigungsmanagement (m/w/d),Freelancermap Client,Berlin Dresden Leipzig Deutschland,On-site,Freelance,,Architect,German,Architect,,22.05.2026,https://www.freelancermap.de/projekt/security-architect-rollen-und-berechtigungsmanagement-m-w-d,2026-05-25T13:53:52.970239+00:00
14,Tester | Germany,freelancermap,IT Firewall Architekt (m/w/d) – MPLS & Netzwerksicherheit (m/w/d),Freelancermap Client,Berlin Dresden Leipzig Deutschland,On-site,Freelance,,Architect,English,Architect,,19.05.2026,https://www.freelancermap.de/projekt/it-firewall-architekt-m-w-d-mpls-und-netzwerksicherheit-m-w-d,2026-05-25T13:53:52.970803+00:00
14,Tester | Germany,freelancermap,Koordination Freileitungstechnik Expert (m/w/d),Freelancermap Client,Stuttgart und Würzburg Deutschland,On-site,Freelance,,Expert,German,Expert,,13:05,https://www.freelancermap.de/projekt/koordination-freileitungstechnik-expert-m-w-d,2026-05-25T13:53:52.970980+00:00
14,Tester | Germany,freelancermap,Migration AutoCAD Expert (m/w/d),Freelancermap Client,Hamburg Deutschland,On-site,Freelance,,Expert,English,Expert,,13:05,https://www.freelancermap.de/projekt/migration-autocad-expert-m-w-d,2026-05-25T13:53:52.971459+00:00
14,Tester | Germany,freelancermap,Microsoft 365 Provider Management Expert (m/w/d),Freelancermap Client,Nordrhein-Westfalen Deutschland,On-site,Freelance,,Expert,English,Expert,,13:05,https://www.freelancermap.de/projekt/microsoft-365-provider-management-expert-m-w-d,2026-05-25T13:53:52.971539+00:00
14,Tester | Germany,freelancermap,Senior Workforce Planning / Project Controls Experte (m/w/d),Freelancermap Client,Berlin Deutschland,On-site,Freelance,,"Senior, Expert",English,"Expert, Senior",,13:04,https://www.freelancermap.de/projekt/senior-workforce-planning-project-controls-experte-m-w-d,2026-05-25T13:53:52.971630+00:00
0,Tester | Germany,freelancermap,Netzwerk- & Security Engineer (Datacenter Migration) (m/w/d),Freelancermap Client,Berlin Dresden Potsdam Deutschland,On-site,Freelance,,,English,,,22.05.2026,https://www.freelancermap.de/projekt/netzwerk-und-security-engineer-datacenter-migration-m-w-d,2026-05-25T13:53:52.970109+00:00
0,Tester | Germany,freelancermap,IT-Multi-Projektmanagement (m/w/d) – Infrastrukturbetrieb / RZ / Polizei & Justiz,Freelancermap Client,Stuttgart Deutschland,On-site,Freelance,,,English,,,13.05.2026,https://www.freelancermap.de/projekt/it-multi-projektmanagement-m-w-d-infrastrukturbetrieb-rz-polizei-und-justiz,2026-05-25T13:53:52.970333+00:00
0,Tester | Germany,freelancermap,Webdesigner (Framer) [gn],Freelancermap Client,Koblenz  Deutschland,On-site,Freelance,,,English,,,19.05.2026,https://www.freelancermap.de/projekt/webdesigner-framer-gn,2026-05-25T13:53:52.970425+00:00
0,Tester | Germany,freelancermap,Firewall & Network Engineer (m/w/d),Freelancermap Client,Berlin Dresden Leipzig Deutschland,On-site,Freelance,,,English,,,22.05.2026,https://www.freelancermap.de/projekt/firewall-und-network-engineer-m-w-d,2026-05-25T13:53:52.970519+00:00
0,Tester | Germany,freelancermap,System Engineer (Monitoring / Backup) (m/w/d),Freelancermap Client,Berlin Cottbus Leipzig Deutschland,On-site,Freelance,,,English,,,22.05.2026,https://www.freelancermap.de/projekt/system-engineer-monitoring-backup-m-w-d,2026-05-25T13:53:52.970624+00:00
0,Tester | Germany,freelancermap,Sales-Mitarbeiter für Vertrieb & Kundengenerierung im Defence-Bereich,Freelancermap Client,Passau Deutschland,On-site,Freelance,,"R, Associate",English,,,11.05.2026,https://www.freelancermap.de/projekt/sales-mitarbeiter-fuer-vertrieb-und-kundengenerierung-im-defence-bereich,2026-05-25T13:53:52.970712+00:00
0,Tester | Germany,freelancermap,Sofico Miles Developer - Konfigurator,Freelancermap Client,Neuss Deutschland,On-site,Freelance,,,English,,,20.05.2026,https://www.freelancermap.de/projekt/sofico-miles-developer-konfigurator-3002479,2026-05-25T13:53:52.970898+00:00
0,Tester | Germany,freelancermap,Projekt- und Beratungsleister im HR (m/w/d),Freelancermap Client,Elze Deutschland,On-site,Freelance,,,German,,,13:05,https://www.freelancermap.de/projekt/projekt-und-beratungsleister-im-hr-m-w-d-3003694,2026-05-25T13:53:52.971060+00:00
0,Tester | Germany,freelancermap,Modulexperte SAP S/4 Utilities NETZ (m/w/d),Freelancermap Client,Nordrhein-Westfalen Deutschland,On-site,Freelance,,,English,,,13:05,https://www.freelancermap.de/projekt/modulexperte-sap-s-4-utilities-netz-m-w-d,2026-05-25T13:53:52.971141+00:00
0,Tester | Germany,freelancermap,Projektmanager Zugangsbauwerke (m/w/d),Freelancermap Client,Bayern Deutschland,On-site,Freelance,,,English,,,13:05,https://www.freelancermap.de/projekt/projektmanager-zugangsbauwerke-m-w-d,2026-05-25T13:53:52.971222+00:00
0,Tester | Germany,freelancermap,SAP Streamlead  TM / IS-Oil  (m/w/d),Freelancermap Client,Hamburg Deutschland,On-site,Freelance,,,English,,,13:05,https://www.freelancermap.de/projekt/sap-streamlead-tm-is-oil-m-w-d,2026-05-25T13:53:52.971301+00:00
0,Tester | Germany,freelancermap,Projekt- und Beratungsleister im Bereich Payroll (m/w/d),Freelancermap Client,Calw Deutschland,On-site,Freelance,,,German,,,13:05,https://www.freelancermap.de/projekt/projekt-und-beratungsleister-im-bereich-payroll-m-w-d-3003690,2026-05-25T13:53:52.971380+00:00
0,Tester | Germany,freelancermap,Projekt- und Beratungsleister Controlling Jedox  (m/w/d),Freelancermap Client,Südbayern Deutschland,On-site,Freelance,,,German,,,13:04,https://www.freelancermap.de/projekt/projekt-und-beratungsleister-controlling-jedox-m-w-d,2026-05-25T13:53:52.971714+00:00
0,Tester | Germany,freelancermap,PostgreSQL Datenbankadministrationsberater - Fokus Analyse & Optimierung (m/w/d),Hays AG,Nordrhein-Westfalen Deutschland,Remote,Freelance,,"Sql, R, Postgresql, Sql Server",German,,,13:04,https://www.freelancermap.de/projekt/postgresql-datenbankadministrationsberater-fokus-analyse-und-optimierung-m-w-d,2026-05-25T13:53:52.971795+00:00
