relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,,"Azure, R, Devops, Lead",German,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-lead-tester-energiedatenmanagement-m-w-d-106076,2026-05-28T14:07:20.194274+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,On-site,Freelance,,"Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/thermal-design-engineer-cfd-thermo-mechanical-simulation-uav-systems-m-w-d-106149,2026-05-28T14:09:22.572364+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, München",Remote,Freelance,,"Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-uav-systeme-entwicklungsprojekt-luftfahrt-m-w-d-106096,2026-05-28T14:09:22.572697+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,International,Remote,Freelance,,Expert,English,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/commissioning-of-biogas-plants-m-w-d-105822,2026-05-28T14:09:22.573641+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest",Remote,Freelance,System Testing,"Senior, Jira, Confluence",English,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-105686,2026-05-28T14:09:22.573920+00:00
14,Test Engineer | Germany,solcom,Lead Ex­pert Sys­tems En­gi­nee­ring Eu­ro­figh­ter (m/w/d),SOLCOM Client,"D8, Großraum München",On-site,Freelance,,Lead,English,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-expert-systems-engineering-eurofighter-m-w-d-105555,2026-05-28T14:09:22.574211+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"R, Consultant, Lead",German,"Consultant, Lead",,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-consultant-marketing-automation-marketing-technology-transformation-b2c-m-w-d-105944,2026-05-28T14:11:28.609327+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,On-site,Freelance,Sil,"Matlab, R, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/verfahrensingenieur-petrochemie-m-w-d-1015434,2026-05-28T14:07:20.194547+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D6,Remote,Freelance,,"R, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/rockwell-programmierer-m-w-d-1014852,2026-05-28T14:07:20.194697+00:00
0,Tester | Germany,solcom,HIL Tes­ter im Be­reich E/E (m/w/d),SOLCOM Client,"D3, Großraum Wolfsburg",On-site,Freelance,Hil,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hil-tester-im-bereich-e-e-m-w-d-105721,2026-05-28T14:07:20.194831+00:00
0,Tester | Germany,solcom,Soft­ware-Tes­t­in­ge­nieur / Qua­li­fi­ka­ti­ons­in­ge­nieur (m/w/d),SOLCOM Client,D8,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-qualifikationsingenieur-m-w-d-105570,2026-05-28T14:07:20.194983+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, München",On-site,Freelance,,Assembly,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-mechatronik-system-integration-m-w-d-106144,2026-05-28T14:09:22.572492+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, München",On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-packaging-human-factors-ruggedized-uav-systems-m-w-d-106109,2026-05-28T14:09:22.572595+00:00
0,Test Engineer | Germany,solcom,Me­cha­ni­cal De­si­gner - Ki­ne­ma­tics & Me­cha­nism De­sign (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-kinematics-mechanism-design-m-w-d-106091,2026-05-28T14:09:22.572793+00:00
0,Test Engineer | Germany,solcom,Struc­tu­ral Dy­na­mics En­gi­neer - Vi­bra­ti­on & Modal Ana­ly­sis/ UAV / Ae­ro­space Sys­tems (m/w/d),SOLCOM Client,D8,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/structural-dynamics-engineer-vibration-modal-analysis-uav-aerospace-systems-m-w-d-106085,2026-05-28T14:09:22.572888+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, remote",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/stress-engineer-structural-mechanics-festigkeitsberechnung-uav-aerospace-structures-m-w-d-106084,2026-05-28T14:09:22.573008+00:00
0,Test Engineer | Germany,solcom,IT En­gi­neer/De­v­Ops (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-engineer-devops-m-w-d-106052,2026-05-28T14:09:22.573163+00:00
0,Test Engineer | Germany,solcom,Soft­ware En­gi­neer (m/w/d),SOLCOM Client,"D8, remote/Biberach",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-m-w-d-106030,2026-05-28T14:09:22.573261+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"CH, Nordschweiz",On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektingenieur-leittechnik-unter-umspannwerke-energieanlagen-m-w-d-106029,2026-05-28T14:09:22.573359+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Remote",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/netzwerk-ingenieur-windpark-controller-scada-m-w-d-105945,2026-05-28T14:09:22.573452+00:00
0,Test Engineer | Germany,solcom,Re­qui­re­ment En­gi­neer / Prüf­spe­zi­fi­ka­tio­nen (m/w/d),SOLCOM Client,D2,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/requirement-engineer-pruefspezifikationen-m-w-d-1014854,2026-05-28T14:09:22.573545+00:00
0,Test Engineer | Germany,solcom,HW En­gi­neer In­fo­tain­ment-Sys­tem (m/w/d),SOLCOM Client,"International, Bucharest",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-m-w-d-105774,2026-05-28T14:09:22.573733+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Braunschweig / Remote,Remote,Freelance,Javascript,"R, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/spezialist-fuer-adobe-acroba-m-w-d-1014770,2026-05-28T14:09:22.573825+00:00
0,Test Engineer | Germany,solcom,HW En­gi­neer In­fo­tain­ment-Sys­tem-Mea­su­re­ments (up to 12 GHz) / 4 Per­son(en) (m/w/d),SOLCOM Client,"International, Bucharest, Romania",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-measurements-up-to-12-ghz-3-person-en-m-w-d-105657,2026-05-28T14:09:22.574108+00:00
0,Test Engineer | Germany,solcom,Net­work En­gi­neer im Be­reich Ac­cess und CPE (m/w/d),SOLCOM Client,D4,On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/network-engineer-im-bereich-access-und-cpe-m-w-d-1014700,2026-05-28T14:09:22.574308+00:00
0,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,D9,Remote,Freelance,,"R, Confluence",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/zertifizierter-projektmanager-bau-anlagenbau-industrieprojekten-capex-opex-epc-epcm-m-w-d-106128,2026-05-28T14:11:28.609173+00:00
