relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,Senior ILS Engineer/ ILS Manager (m/w/d) - Aachen,Freelancermap Client,Aachen Deutschland,On-site,Freelance,,Senior,English,Senior,,22.05.2026,https://www.freelancermap.de/projekt/senior-ils-engineer-ils-manager-m-w-d-aachen,2026-05-28T14:17:51.980281+00:00
14,Tester | Germany,freelancermap,Security Architect – Rollen- und Berechtigungsmanagement (m/w/d),Freelancermap Client,Berlin Dresden Leipzig Deutschland,On-site,Freelance,,Architect,German,Architect,,22.05.2026,https://www.freelancermap.de/projekt/security-architect-rollen-und-berechtigungsmanagement-m-w-d,2026-05-28T14:17:51.980747+00:00
14,Tester | Germany,freelancermap,Firewall Architekt(m/w/d),Freelancermap Client,Berlin Deutschland,On-site,Freelance,,Architect,English,Architect,,14:07,https://www.freelancermap.de/projekt/firewall-architekt-m-w-d-3004767,2026-05-28T14:17:51.981777+00:00
14,Tester | Remote,freelancermap,Lead Utilities Data Transformation Architekt (m/w/d),Freelancermap Client,Ruhrgebiet Deutschland,On-site,Freelance,,"Architect, Lead",English,"Architect, Lead",,14:18,https://www.freelancermap.de/projekt/lead-utilities-data-transformation-architekt-m-w-d,2026-05-28T14:18:40.231973+00:00
14,Python Developer | Germany,freelancermap,"Enterprise-Architekt (m/w/d) Modernisierung Kommunikation & Kollaboration, Full-Remote",Freelancermap Client,Remote Nürnberg Deutschland,Remote,Freelance,,Architect,English,Architect,,14:22,https://www.freelancermap.de/projekt/enterprise-architekt-m-w-d-modernisierung-kommunikation-und-kollaboration-full-remote,2026-05-28T14:23:22.561066+00:00
14,Python Developer | Remote,freelancermap,Freiberuflicher SAP MM Consultant Pharma (m/w/d),Freelancermap Client,München Deutschland,On-site,Freelance,,Consultant,English,Consultant,,14:23,https://www.freelancermap.de/projekt/freiberuflicher-sap-mm-consultant-pharma-m-w-d,2026-05-28T14:24:12.257866+00:00
0,Tester | Germany,freelancermap,IT-Multi-Projektmanagement (m/w/d) – Infrastrukturbetrieb / RZ / Polizei & Justiz,Freelancermap Client,Stuttgart Deutschland,On-site,Freelance,,,English,,,13.05.2026,https://www.freelancermap.de/projekt/it-multi-projektmanagement-m-w-d-infrastrukturbetrieb-rz-polizei-und-justiz,2026-05-28T14:17:51.980149+00:00
0,Tester | Germany,freelancermap,Netzwerk- & Security Engineer (Datacenter Migration) (m/w/d),Freelancermap Client,Berlin Dresden Potsdam Deutschland,On-site,Freelance,,,English,,,22.05.2026,https://www.freelancermap.de/projekt/netzwerk-und-security-engineer-datacenter-migration-m-w-d,2026-05-28T14:17:51.980378+00:00
0,Tester | Germany,freelancermap,System Engineer (Monitoring / Backup) (m/w/d),Freelancermap Client,Berlin Cottbus Leipzig Deutschland,On-site,Freelance,,,English,,,22.05.2026,https://www.freelancermap.de/projekt/system-engineer-monitoring-backup-m-w-d,2026-05-28T14:17:51.980473+00:00
0,Tester | Germany,freelancermap,Sales-Mitarbeiter für Vertrieb & Kundengenerierung im Defence-Bereich,Freelancermap Client,Passau Deutschland,On-site,Freelance,,"Associate, R",English,,,11.05.2026,https://www.freelancermap.de/projekt/sales-mitarbeiter-fuer-vertrieb-und-kundengenerierung-im-defence-bereich,2026-05-28T14:17:51.980567+00:00
0,Tester | Germany,freelancermap,Firewall & Network Engineer (m/w/d),GPM GmbH,"Berlin, Dresden, Leipzig Deutschland",Remote,Freelance,Firmware,,German,,,22.05.2026,https://www.freelancermap.de/projekt/firewall-und-network-engineer-m-w-d,2026-05-28T14:17:51.980657+00:00
0,Tester | Germany,freelancermap,VueJS / React Frontend Developer [gn],Freelancermap Client,Koblenz  Deutschland,On-site,Freelance,,React,English,,,21.04.2026,https://www.freelancermap.de/projekt/vuejs-react-frontend-developer-gn,2026-05-28T14:17:51.980834+00:00
0,Tester | Germany,freelancermap,Sofico Miles Developer - Konfigurator,Freelancermap Client,Neuss Deutschland,On-site,Freelance,,,English,,,20.05.2026,https://www.freelancermap.de/projekt/sofico-miles-developer-konfigurator-3002479,2026-05-28T14:17:51.980926+00:00
0,Tester | Germany,freelancermap,Interimistische Abteilungsleitung IT-Security,Freelancermap Client,Berlin Deutschland,On-site,Freelance,,,English,,,27.05.2026,https://www.freelancermap.de/projekt/interimistische-abteilungsleitung-it-security,2026-05-28T14:17:51.981013+00:00
0,Tester | Germany,freelancermap,Interim Head of Accounting,Freelancermap Client,Düsseldorf Deutschland,On-site,Freelance,,Head Of,English,,,14:17,https://www.freelancermap.de/projekt/interim-head-of-accounting-3004775,2026-05-28T14:17:51.981094+00:00
0,Tester | Germany,freelancermap,AFRA-10478 - Business Analyst (m/w/d),Freelancermap Client,Frankfurt am Main Deutschland,On-site,Freelance,,,English,,,14:16,https://www.freelancermap.de/projekt/afra-10478-business-analyst-m-w-d,2026-05-28T14:17:51.981178+00:00
0,Tester | Germany,freelancermap,Webentwickler für Webseite einer gemeinnützigen Stiftung gesucht,Freelancermap Client,Germany,On-site,Freelance,,R,English,,,14:12,https://www.freelancermap.de/projekt/webentwickler-fuer-webseite-einer-gemeinnuetzigen-stiftung-gesucht-3004773,2026-05-28T14:17:51.981282+00:00
0,Tester | Germany,freelancermap,Webentwickler für Webseite einer gemeinnützigen Stiftung gesucht,Freelancermap Client,Germany,On-site,Freelance,,R,English,,,14:12,https://www.freelancermap.de/projekt/webentwickler-fuer-webseite-einer-gemeinnuetzigen-stiftung-gesucht,2026-05-28T14:17:51.981375+00:00
0,Tester | Germany,freelancermap,"96% Remote: .NET Full Stack Developer (Azure, IoT, Cloud Microservices) (m/f/d)",Freelancermap Client,Düsseldorf Deutschland,Remote,Freelance,,"Azure, Microservices",English,,,14:11,https://www.freelancermap.de/projekt/96-prozent-remote-net-full-stack-developer-azure-iot-cloud-microservices-m-f-d,2026-05-28T14:17:51.981459+00:00
0,Tester | Germany,freelancermap,Network Engineer Cisco Network (m/w/d),Freelancermap Client,keine Angabe Deutschland,On-site,Freelance,,,English,,,14:09,https://www.freelancermap.de/projekt/network-engineer-cisco-network-m-w-d-3004770,2026-05-28T14:17:51.981537+00:00
0,Tester | Germany,freelancermap,Network Engineer Checkpoint Automatisierung (m/w/d),Freelancermap Client,keine Angabe Deutschland,On-site,Freelance,,,English,,,14:09,https://www.freelancermap.de/projekt/network-engineer-checkpoint-automatisierung-m-w-d,2026-05-28T14:17:51.981616+00:00
