relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,Firmware Engineer | Germany,linkedin,Embedded Software Engineer,NXP Semiconductors,"Hamburg, Hamburg, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/embedded-software-engineer-at-nxp-semiconductors-4393236614,2026-06-01T16:11:32.620369+00:00
29,Firmware Engineer | Austria,linkedin,Junior Embedded Crypto Software Developer (f/m/d),NXP Semiconductors,"Gratkorn, Styria, Austria",Remote,Internship,"Arm, C, Rust","R, Junior, Assembly, Graduate",English,,,Recent,https://at.linkedin.com/jobs/view/junior-embedded-crypto-software-developer-f-m-d-at-nxp-semiconductors-4411416118,2026-06-01T16:11:35.020240+00:00
14,Tester | Germany,linkedin,QA Software Tester (m/f/x),Atolls,"Berlin, Germany",Remote,Contract,"Can, Go","Jira, Agile, Lead, Regression Testing",English,Lead,,Recent,https://de.linkedin.com/jobs/view/qa-software-tester-m-f-x-at-atolls-4415334890,2026-06-01T16:08:57.408040+00:00
14,Tester | Austria,linkedin,Junior Game Tester (m/f/d),MERKUR GROUP,"Raaba, Styria, Austria",Remote,Full-time,,"Junior, Jira, Scrum, Staff, Agile",English,Staff,,Recent,https://at.linkedin.com/jobs/view/junior-game-tester-m-f-d-at-merkur-group-4414014817,2026-06-01T16:08:59.806196+00:00
14,Tester | Austria,linkedin,Test Engineer,personico GmbH,Greater Graz,On-site,Internship,,R,German,Test Manager,,Recent,https://at.linkedin.com/jobs/view/test-engineer-at-personico-gmbh-4421684471,2026-06-01T16:08:59.806771+00:00
14,Tester | Switzerland,linkedin,Senior Software Tester,SII Group Switzerland,"Zurich, Zurich, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-software-tester-at-sii-group-switzerland-4414309684,2026-06-01T16:09:02.200127+00:00
14,Tester | Switzerland,linkedin,Senior Test Engineer,adesso Schweiz AG,"Lausanne, Vaud, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-test-engineer-at-adesso-schweiz-ag-4412759610,2026-06-01T16:09:02.200384+00:00
14,Tester | Remote,linkedin,Senior Pega CDH Test Engineer,Coforge,Frankfurt Rhine-Main Metropolitan Area,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-pega-cdh-test-engineer-at-coforge-4389806639,2026-06-01T16:09:04.622855+00:00
14,Tester | Slovakia,linkedin,Manual QA Tester,Descartes Systems Group,"Žilina, Zilina, Slovakia",Remote,Contract,Can,"Sql, Agile, Lead",English,Lead,,Recent,https://sk.linkedin.com/jobs/view/manual-qa-tester-at-descartes-systems-group-4382115365,2026-06-01T16:09:06.996196+00:00
14,Tester | Slovakia,linkedin,Software Test Engineer,Descartes Systems Group,"Žilina, Zilina, Slovakia",Remote,Contract,"Can, Test Automation","Sql, Agile, Lead",English,Lead,,Recent,https://sk.linkedin.com/jobs/view/software-test-engineer-at-descartes-systems-group-4346477958,2026-06-01T16:09:06.997503+00:00
14,Tester | Czech Republic,linkedin,Lead Software Engineer in Test (SDET),Flash,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Lead,English,Lead,,Recent,https://do.linkedin.com/jobs/view/lead-software-engineer-in-test-sdet-at-flash-4414922814,2026-06-01T16:09:09.391692+00:00
14,QA Engineer | Germany,linkedin,Senior QA Engineer*,Haeger Consulting GmbH,"Bonn, North Rhine-Westphalia, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-qa-engineer-at-haeger-consulting-gmbh-4419818283,2026-06-01T16:09:19.461763+00:00
14,QA Engineer | Germany,linkedin,Senior Quality Assurance Engineer (m/f/d),Ververica,"Munich, Bavaria, Germany",On-site,Full-time,"Ci/Cd, Java, Javascript, Test Automation, Typescript","Junit, Senior, Lead, Docker, Azure, Jira, Agile, Github, Cypress, Aws",English,"Lead, Senior",,Recent,https://de.linkedin.com/jobs/view/senior-quality-assurance-engineer-m-f-d-at-ververica-4418388361,2026-06-01T16:09:19.462036+00:00
14,QA Engineer | Austria,linkedin,QA Engineer,Bybit EU,"Vienna, Austria",On-site,Full-time,"C, C++, Can, Java, Python","Lead, Perl",English,Lead,,Recent,https://at.linkedin.com/jobs/view/qa-engineer-at-bybit-eu-4413552498,2026-06-01T16:09:21.858045+00:00
14,QA Engineer | Austria,linkedin,Senior Quality Assurance Engineer,Bybit EU,"Vienna, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-bybit-eu-4408647231,2026-06-01T16:09:21.858311+00:00
14,QA Engineer | Switzerland,linkedin,Senior QA Software Engineer,Swissquote,"Gland, Vaud, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-qa-software-engineer-at-swissquote-4405273698,2026-06-01T16:09:24.240152+00:00
14,QA Engineer | Remote,linkedin,Senior Quality Assurance Engineer,HiveMQ,"Berlin, Berlin, Germany",Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-hivemq-4364406728,2026-06-01T16:09:26.764595+00:00
14,QA Engineer | Slovakia,linkedin,Manual QA Engineer,Ruby Labs,Slovakia,Remote,Contract,"Go, Playwright, Pytest, Test Automation","Postman, Contractor, Sql, Grafana, Postgresql, Kanban, Manual Testing, Ruby",English,Contractor,,Recent,https://sk.linkedin.com/jobs/view/manual-qa-engineer-at-ruby-labs-4420607307,2026-06-01T16:09:29.169662+00:00
14,QA Engineer | Slovakia,linkedin,Senior Automation QA Engineer (Python),GoReel,"Bratislava, Bratislava, Slovakia",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-automation-qa-engineer-python-at-goreel-4408845014,2026-06-01T16:09:29.170101+00:00
14,QA Engineer | Czech Republic,linkedin,Copy of Senior QA Automation Engineer (JavaScript/TypeScript) - HospitalityTech,Truelogic Software,Dominican Republic,On-site,Full-time,"Javascript, Typescript",Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/copy-of-senior-qa-automation-engineer-javascript-typescript-hospitalitytech-at-truelogic-software-4420680260,2026-06-01T16:09:31.612229+00:00
14,QA Engineer | Poland,linkedin,Sr QA Engineer (Manual Focus),Renesas Electronics,"Wrocław, Dolnośląskie, Poland",On-site,Contract,"Can, Jenkins","Postman, Senior, Sql, Agile, Regression Testing, Git",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/sr-qa-engineer-manual-focus-at-renesas-electronics-4407456681,2026-06-01T16:09:34.003681+00:00
14,QA Engineer | Poland,linkedin,Senior QA Engineer,MMDSmart,Poland,On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-engineer-at-mmdsmart-4419838000,2026-06-01T16:09:34.003995+00:00
14,QA Engineer | USA,linkedin,Senior Manual QA Engineer,Faro,"New York, NY",On-site,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-manual-qa-engineer-at-faro-4415547636,2026-06-01T16:09:36.545726+00:00
14,QA Engineer | United Kingdom,linkedin,Staff QA Engineer,Matillion,"Manchester, England, United Kingdom",On-site,Full-time,,Staff,English,Staff,,Recent,https://uk.linkedin.com/jobs/view/staff-qa-engineer-at-matillion-4401769212,2026-06-01T16:09:38.967272+00:00
14,QA Engineer | United Kingdom,linkedin,Senior Quality Assurance Engineer,Spacelabs Healthcare,"Edinburgh, Scotland, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-spacelabs-healthcare-4370274131,2026-06-01T16:09:38.967400+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA Engineer,Bright Purple,"Aberdeen, Scotland, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-at-bright-purple-4418754769,2026-06-01T16:09:38.967942+00:00
14,Test Engineer | USA,linkedin,Quality Assurance Engineer,Techstra Solutions,"Pittsburgh, PA",On-site,Contract,"Java, Selenium","Oracle, Postman, Sql, Mongodb, Lead, Manual Testing",English,Lead,,Recent,https://www.linkedin.com/jobs/view/quality-assurance-engineer-at-techstra-solutions-4417661468,2026-06-01T16:09:58.697069+00:00
14,Testingenieur | Slovakia,linkedin,Developer platobných terminálov (Kotlin/Java/C++),FiskalPro Slovakia,Bratislava Metropolitan Area,On-site,Full-time,"C, C++, Java","Architect, Kotlin, Linux",English,Architect,,Recent,https://sk.linkedin.com/jobs/view/developer-platobn%C3%BDch-termin%C3%A1lov-kotlin-java-c%2B%2B-at-fiskalpro-slovakia-4417922419,2026-06-01T16:10:13.443616+00:00
14,Testingenieur | United Kingdom,linkedin,Senior Test Engineer,Oho Group,"Cambridge, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-engineer-at-oho-group-4422813953,2026-06-01T16:10:23.350840+00:00
14,Test Automation | Germany,linkedin,Senior Quality Engineer,GLS/NXT,"Berlin, Berlin, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-engineer-at-gls-nxt-4408875755,2026-06-01T16:10:25.822546+00:00
14,Test Automation | Switzerland,linkedin,Senior Quality Engineer,Xsensio,"Lausanne, Vaud, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-quality-engineer-at-xsensio-4411412873,2026-06-01T16:10:30.800298+00:00
14,Test Automation | Switzerland,linkedin,Senior Test Manager,itecor,"Geneva, Geneva, Switzerland",On-site,Full-time,,Senior,English,"Senior, Test Manager",,Recent,https://ch.linkedin.com/jobs/view/senior-test-manager-at-itecor-4418946126,2026-06-01T16:10:30.800577+00:00
14,Test Automation | Remote,linkedin,Senior Mobile Test Automation Engineer,Bragi,Germany,Remote,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-mobile-test-automation-engineer-at-bragi-4410620231,2026-06-01T16:10:33.268644+00:00
