relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Senior Softwaretester C# (m/w/d),FERCHAU,Linz Öster­reich,Hybrid,Full-time,"C, Ci/Cd","Expert, Senior, Nunit, C#, R",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/501784/senior-softwaretester-c,2026-06-04T13:19:20.793673+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-06-04T13:19:20.795018+00:00
14,Tester | Germany,ferchau,(Senior) Softwaretester (m/w/d) Testautomatisierung für die Siemens AG,FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,Test Automation,"R, Senior",German,Senior,,Recent,https://touch.ferchau.com/de/de/job/445087/senior-softwaretester-testautomatisierung-fuer-die-siemens-ag,2026-06-04T13:19:20.796620+00:00
14,Tester | Germany,ferchau,(Senior) Softwaretester (m/w/d),FERCHAU,Kassel Deut­sch­land,Remote,Full-time,,Senior,English,Senior,,Recent,https://touch.ferchau.com/de/de/job/496582/senior-softwaretester,2026-06-04T13:19:20.798385+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Biele­feld Deut­sch­land,Remote,Full-time,"C, C++, Embedded Linux, Python","Expert, Linux, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/186741/softwaretester,2026-06-04T13:19:20.798919+00:00
14,QA Engineer | Germany,ferchau,Software Quality Engineer (m/w/d),FERCHAU,Frank­furt am Main Deut­sch­land,Hybrid,Full-time,"Ci/Cd, Java","Expert, Kanban, Scrum, R, Cucumber",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443530/software-quality-engineer,2026-06-04T13:19:30.522762+00:00
14,QA Engineer | Germany,ferchau,Project Quality Assurance Engineer (m/w/d) Aerospace,FERCHAU,Stade Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/491323/project-quality-assurance-engineer-aerospace,2026-06-04T13:19:30.525857+00:00
14,QA Engineer | Germany,ferchau,Softwaretester Qualitätssicherung (m/w/d),FERCHAU,Beckum Deut­sch­land,Hybrid,Full-time,"C, Ci/Cd, Java, Jenkins, Python","Expert, Sql, Kanban, C#, Gitlab, Junit, Postman, Scrum, Zephyr, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/499252/softwaretester-qualitaetssicherung,2026-06-04T13:19:30.528603+00:00
14,Test Engineer | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Frei­burg im Breisgau Deut­sch­land,Vor Ort,Full-time,"C, Java, Python","Expert, Kanban, C#, Scrum, Git, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/133507/softwaretester-software-test-engineer,2026-06-04T13:19:40.532876+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Elektronik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/349012/testingenieur-elektronik,2026-06-04T13:19:50.943074+00:00
14,Testingenieur | Germany,ferchau,Testingenieur (m/w/d),FERCHAU,Kemnath Deut­sch­land,Vor Ort,Full-time,"C, Can, Python","Expert, Matlab, C#, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/504913/testingenieur,2026-06-04T13:19:50.943926+00:00
14,Testingenieur | Germany,ferchau,Senior Testingenieur Antriebstechnik (m/w/d),FERCHAU,Augs­burg Deut­sch­land,Remote,Full-time,,Senior,English,Senior,,Recent,https://touch.ferchau.com/de/de/job/500683/senior-testingenieur-antriebstechnik,2026-06-04T13:19:50.947176+00:00
14,Test Automation | Germany,ferchau,Testmanager für Automationssysteme (m/w/d),FERCHAU,Fried­richs­hafen Deut­sch­land,Vor Ort,Full-time,,R,English,Test Manager,,Recent,https://touch.ferchau.com/de/de/job/499546/testmanager-fuer-automationssysteme,2026-06-04T13:20:00.472058+00:00
14,Test Automation | Germany,ferchau,Senior Automation Engineer (m/w/d),FERCHAU,Burg­kir­chen an der Alz Deut­sch­land,Remote,Full-time,,Senior,German,Senior,,Recent,https://touch.ferchau.com/de/de/job/440530/senior-automation-engineer,2026-06-04T13:20:00.473570+00:00
14,Python Developer | Germany,ferchau,Fullstack Software Developer (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,"Jenkins, Python","Expert, Angular, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398737/fullstack-software-developer,2026-06-04T13:20:09.381129+00:00
14,Python Developer | Germany,ferchau,(Junior) Software Developer Python (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,Python,"Expert, Sql, Linux, Junior, R, Nosql",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446410/junior-software-developer-python,2026-06-04T13:20:09.382579+00:00
14,Python Test | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Neubran­den­burg Deut­sch­land,Hybrid,Full-time,"C, C++, Python",R,German,Test Manager,,Recent,https://touch.ferchau.com/de/de/job/294622/softwaretester,2026-06-04T13:20:19.878155+00:00
14,Python Test | Germany,ferchau,Testingenieur (m/w/d),FERCHAU,Lübeck Deut­sch­land,Vor Ort,Full-time,Python,"Expert, R, Jira",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/476311/testingenieur,2026-06-04T13:20:19.882587+00:00
14,Firmware Engineer | Germany,ferchau,Senior Softwareingenieur FPGA / VHDL (m/w/d),FERCHAU,Ulm Deut­sch­land,Remote,Full-time,,"Fpga, Vhdl, Senior",English,Senior,,Recent,https://touch.ferchau.com/de/de/job/488167/senior-softwareingenieur-fpga-vhdl,2026-06-04T13:20:28.693448+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Osna­brück Deut­sch­land,Remote,Full-time,"C, Java, Python","Sql, Devops, Azure, Kanban, C#, Scrum, R, Jira",German,,,Recent,https://touch.ferchau.com/de/de/job/442993/softwaretester,2026-06-04T13:19:20.792767+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-06-04T13:19:20.794294+00:00
