relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,Tester | Germany,linkedin,Software Tester (w/m/d),Burmester Audiosysteme GmbH,"Berlin, Berlin, Germany",Remote,Full-time,"Pytest, Python, Test Automation",R,German,,,Recent,https://de.linkedin.com/jobs/view/software-tester-w-m-d-at-burmester-audiosysteme-gmbh-4414871671,2026-06-08T14:13:31.828169+00:00
29,Tester | Slovakia,linkedin,Test Automation Professional for Digital Buildings,Siemens,"Zilina, Slovakia",On-site,Full-time,Test Automation,,English,,,Recent,https://sk.linkedin.com/jobs/view/test-automation-professional-for-digital-buildings-at-siemens-4424585691,2026-06-08T14:13:41.399461+00:00
29,Tester | Slovakia,linkedin,Test Automation Professional for Digital Buildings,Siemens,"Žilina, Zilina, Slovakia",On-site,Full-time,Test Automation,,English,,,Recent,https://sk.linkedin.com/jobs/view/test-automation-professional-for-digital-buildings-at-siemens-4424576731,2026-06-08T14:13:41.399717+00:00
29,QA Engineer | Switzerland,linkedin,Software Verification Engineer,NVIDIA,"Zurich, Zurich, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/software-verification-engineer-at-nvidia-4413189146,2026-06-08T14:13:58.708915+00:00
29,Test Engineer | Austria,linkedin,System Validation Engineer (m/f/d),NXP Semiconductors,"Gratkorn, Styria, Austria",On-site,Full-time,,,English,,,Recent,https://at.linkedin.com/jobs/view/system-validation-engineer-m-f-d-at-nxp-semiconductors-4419152337,2026-06-08T14:14:18.366747+00:00
29,Test Engineer | Austria,linkedin,System Validation Engineer,NXP Semiconductors,"Gratkorn, Styria, Austria",On-site,Full-time,,,English,,,Recent,https://at.linkedin.com/jobs/view/system-validation-engineer-at-nxp-semiconductors-4419144214,2026-06-08T14:14:18.367003+00:00
29,Test Engineer | Switzerland,linkedin,System Test Engineer in Building Technologies 80-100%,Siemens,"Zug, Zug, Switzerland",Remote,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/system-test-engineer-in-building-technologies-80-100%25-at-siemens-4399664156,2026-06-08T14:14:20.770567+00:00
29,Test Engineer | United Kingdom,linkedin,Test Engineer,Thales,"Glasgow, Scotland, United Kingdom",On-site,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/test-engineer-at-thales-4411208824,2026-06-08T14:14:35.453885+00:00
29,Testingenieur | Slovakia,linkedin,Tester s nemeckým jazykom (ž/m),Siemens,"Žilina, Zilina, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/tester-s-nemeck%C3%BDm-jazykom-%C5%BE-m-at-siemens-4423952200,2026-06-08T14:14:47.927603+00:00
29,Python Test | Germany,linkedin,Python Engineer for Continuous Integration (f/m/x),BMW Group,"Ulm, Baden-Württemberg, Germany",On-site,Full-time,Python,,English,,,Recent,https://de.linkedin.com/jobs/view/python-engineer-for-continuous-integration-f-m-x-at-bmw-group-4416856430,2026-06-08T14:15:44.540267+00:00
29,Python Test | USA,linkedin,"Manufacturing Test Engineer, Manufacturing Test Engineer",Amazon Web Services (AWS),"Florence, KY",On-site,Full-time,,"Aws, Amazon Web Services",English,,,Recent,https://www.linkedin.com/jobs/view/manufacturing-test-engineer-manufacturing-test-engineer-at-amazon-web-services-aws-4411600726,2026-06-08T14:16:00.930520+00:00
29,Firmware Engineer | Slovakia,linkedin,IT specialist – software engineering,Continental,"Púchov, Trenciansky, Slovakia",Remote,Full-time,Java,"R, Graduate, Linux",English,,,Recent,https://sk.linkedin.com/jobs/view/it-specialist-%E2%80%93-software-engineering-at-continental-4414610478,2026-06-08T14:16:15.631546+00:00
