relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,AI Integration Consultant (m/w/d),Hays Client,Bundesland Wien,On-site,Contract,"Claude, Github Copilot","Git, Jira, Consultant, Github, Confluence",German,Consultant,,29.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ai-integration-consultant-bundesland-wien-879176/1,2026-06-11T14:09:01.149148+00:00
14,Tester | Germany,hays,Test Manager (m/w/d),Hays Client,München,On-site,Contract,,,German,Test Manager,,29.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-manager-muenchen-879159/1,2026-06-11T14:09:01.149416+00:00
14,Tester | Germany,hays,SAP Consultant S/4HANA Migration Produktion (m/w/d),Hays Client,Hamburg,On-site,Contract,,Consultant,German,Consultant,,21.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-sap-consultant-s-4hana-migration-produktion-hamburg-878271/1,2026-06-11T14:09:01.150148+00:00
14,Tester | Germany,hays,Energy Trading Senior Tester (Only Nearshore) (m/f/d),Hays Client,Remote,Remote,Contract,,Senior,English,Senior,,28.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-energy-trading-senior-tester-only-nearshore-remote-872036/1,2026-06-11T14:09:01.151038+00:00
14,Tester | Germany,hays,Experte SAP Testing (m/w/d),Hays Client,Hybrid,Hybrid,Contract,Go,"Expert, Jira",German,Expert,,16.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-sap-testing-hybrid-870000/1,2026-06-11T14:09:01.151252+00:00
14,QA Engineer | Germany,hays,Project Engineer - CAPEX (m/f/d),Hays Client,Visp,On-site,Contract,,Lead,English,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-project-engineer-capex-visp-877914/1,2026-06-11T14:09:23.119473+00:00
14,QA Engineer | Germany,hays,C&Q Execution Engineer (m/w/d),Hays Client,Basel Land,On-site,Contract,C,"Lead, R, Associate",German,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-c-q-execution-engineer-basel-land-877864/1,2026-06-11T14:09:23.119691+00:00
14,QA Engineer | Germany,hays,Lead Quality Engineer / Test Automation  (m/w/d),Hays Client,München,On-site,Contract,Test Automation,"Lead, R",German,Lead,,19.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-quality-engineer-test-automation--muenchen-858642/1,2026-06-11T14:09:23.119909+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Mongodb, Kubernetes, Senior, Spring Boot, Microservices, Postgresql",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-06-11T14:09:23.121030+00:00
14,Test Engineer | Germany,hays,Senior Hardware Development Engineer (m/w/d),Hays Client,Speyer,On-site,Contract,C,"Iso 26262, Senior",German,Senior,,05.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hardware-development-engineer-speyer-880202/1,2026-06-11T14:09:50.126817+00:00
14,Test Engineer | Germany,hays,Senior Supplier Quality Engineer (m/w/d),Hays Client,Dresden,Remote,Contract,,"R, Senior",German,Senior,,26.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-supplier-quality-engineer-dresden-878527/1,2026-06-11T14:09:50.127926+00:00
14,Testingenieur | Germany,hays,Senior HiL Testingenieur (Motoren) (m/w/d),Hays Client,Friedrichshafen,On-site,Contract,Hil,Senior,German,Senior,,22.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hil-testingenieur-motoren-friedrichshafen-871448/1,2026-06-11T14:10:17.652916+00:00
14,Test Automation | Germany,hays,Projektmanager Technik / Pentester  (m/w/d),Hays Client,München,On-site,Contract,,"Expert, R",German,Expert,,13.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-projektmanager-technik-pentester--muenchen-877325/1,2026-06-11T14:10:39.087246+00:00
14,Test Automation | Germany,hays,Cybersecurity Auditor / Consultant (m/w/d),Hays Client,München,On-site,Contract,,"Consultant, R",German,Consultant,,13.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-cybersecurity-auditor-consultant-muenchen-877327/1,2026-06-11T14:10:39.087470+00:00
14,Test Automation | Switzerland,hays,Inhouse ERP Consultant – MS Dynamics (m/w/d),Hays Client,Rosenheim,On-site,Contract,,"Consultant, Senior",German,"Consultant, Senior",,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-inhouse-erp-consultant--ms-dynamics-rosenheim-879776/1,2026-06-11T14:10:49.451267+00:00
14,Python Test | Germany,hays,After-Market Quality Test Engineer (m/f/d),Hays Client,Raunheim,On-site,Contract,,"Jira, Lead, R",English,Lead,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-after-market-quality-test-engineer-raunheim-880596/1,2026-06-11T14:11:28.993263+00:00
14,Python Test | Germany,hays,Senior Integration/ Test Engineer ( ATM VOICE System)  (m/w/d),Hays Client,Wien,On-site,Contract,,"Linux, Senior, Gitlab, R, Project Manager",German,Senior,,09.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-integration--test-engineer--atm-voice-system--wien-880434/1,2026-06-11T14:11:28.993743+00:00
14,Python Test | Germany,hays,Digital Verification UWB Expert (m/f/d),Hays Client,Remote,Remote,Contract,Python,"Expert, Lead, Matlab",English,"Expert, Lead",,02.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-digital-verification-uwb-expert-remote-868600/1,2026-06-11T14:11:28.997136+00:00
14,Python Test | Germany,hays,Senior Python Entwickler (m/w/d),Hays Client,München,On-site,Contract,Python,"Fastapi, R, Senior",German,Senior,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-python-entwickler-muenchen-865759/1,2026-06-11T14:11:28.997566+00:00
0,Tester | Germany,hays,IT Tester (m/w/d),Hays Client,München,On-site,Contract,Test Automation,R,German,,,29.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-tester-muenchen-879191/1,2026-06-11T14:09:01.149656+00:00
0,Tester | Germany,hays,"Inbetriebnehmer / Testingenieur (Elektro, HV-Umfeld) (m/w/d)",Hays Client,Mecklenburg-Vorpomm.,On-site,Contract,,,German,,,22.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-inbetriebnehmer-testingenieur-elektro-hv-umfeld-mecklenburg-vorpomm-878377/1,2026-06-11T14:09:01.149874+00:00
0,Tester | Germany,hays,Validierungsingenieur eBike Drive Unit (m/w/d),Hays Client,Kusterdingen,On-site,Contract,,,German,,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-validierungsingenieur-ebike-drive-unit-kusterdingen-878107/1,2026-06-11T14:09:01.150367+00:00
