relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Javascript, Python, Selenium, Test Automation","Freelancer, Kubernetes, R, Docker, Gitlab, Sql, Jira, Confluence",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-test-engineer-m-w-d-106335,2026-06-11T14:14:11.238124+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,Remote,Freelance,Python,"Freelancer, Gcp, R, Prometheus, Azure, Databricks, Grafana, Aws, Spark, Sql",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ai-data-engineer-im-bereich-wissensmanagement-bots-m-w-d-106260,2026-06-11T14:16:13.325373+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, München",Remote,Freelance,,"Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-uav-systeme-entwicklungsprojekt-luftfahrt-m-w-d-106096,2026-06-11T14:16:13.326041+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Ci/Cd, Github Actions, Java, Jenkins, Python","Freelancer, Kubernetes, R, Linux, Devops, Groovy, Github",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-engineer-devops-m-w-d-106052,2026-06-11T14:20:22.589218+00:00
0,Tester | Germany,solcom,HIL Tes­ter im Be­reich E/E (m/w/d),SOLCOM Client,"D3, Großraum Wolfsburg",On-site,Freelance,Hil,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hil-tester-im-bereich-e-e-m-w-d-106365,2026-06-11T14:14:11.237645+00:00
0,Tester | Germany,solcom,"Fach­ex­per­te Schutz- und Leit­tech­nik / Se­kun­där­tech­nik HVDC, SYS41 (m/w/d)",SOLCOM Client,"Remote, ggf. vereinzelt Termine vor Ort",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fachexperte-schutz-und-leittechnik-sekundaertechnik-hvdc-sys41-m-w-d-106359,2026-06-11T14:14:11.237922+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,On-site,Freelance,Sil,"Associate, R, Matlab",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/verfahrensingenieur-petrochemie-m-w-d-1015434,2026-06-11T14:14:11.238331+00:00
0,Test Engineer | Germany,solcom,Ein­füh­rungs­pro­jekt Goog­le Cloud (m/w/d),SOLCOM Client,"D7, und Niederlassungen deutschlandweit",On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/einfuehrungsprojekt-google-cloud-m-w-d-106445,2026-06-11T14:16:13.324199+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, München",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/scada-engineer-ot-netzexperte-bess-m-w-d-106409,2026-06-11T14:16:13.324319+00:00
0,Test Engineer | Germany,solcom,Sys­tems En­gi­neer - EO/IR Sen­sing/ Sen­sor­sys­te­me (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/systems-engineer-eo-ir-sensing-sensorsysteme-m-w-d-106410,2026-06-11T14:16:13.324417+00:00
0,Test Engineer | Germany,solcom,Sys­tems En­gi­neer - Wea­pon In­te­gra­ti­on (UAV / Ae­ro­space & De­fence) (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/systems-engineer-weapon-integration-uav-aerospace-defence-m-w-d-106397,2026-06-11T14:16:13.324513+00:00
0,Test Engineer | Germany,solcom,Data Pro­duct En­gi­neer (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/data-product-engineer-m-w-d-106375,2026-06-11T14:16:13.324607+00:00
0,Test Engineer | Germany,solcom,Sus­tai­ning En­gi­neer (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sustaining-engineer-m-w-d-106367,2026-06-11T14:16:13.324698+00:00
0,Test Engineer | Germany,solcom,HW En­gi­neer In­fo­tain­ment-Sys­tem (m/w/d),SOLCOM Client,"International, Bucharest",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-m-w-d-106360,2026-06-11T14:16:13.324811+00:00
0,Test Engineer | Germany,solcom,De­v­Ops En­gi­neer mit Cisco Er­fah­rung (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/devops-engineer-mit-cisco-erfahrung-m-w-d-106337,2026-06-11T14:16:13.324913+00:00
0,Test Engineer | Germany,solcom,De­v­Ops En­gi­neer (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/devops-engineer-m-w-d-106336,2026-06-11T14:16:13.325006+00:00
0,Test Engineer | Germany,solcom,Me­cha­ni­cal En­gi­neer - Ki­ne­ma­tic Sys­tems & Me­cha­nism (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-engineer-kinematic-systems-mechanism-m-w-d-106276,2026-06-11T14:16:13.325187+00:00
0,Test Engineer | Germany,solcom,Elec­tro­nics En­gi­neer for cel­lu­lar tech­no­lo­gies and RF front­ends (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/electronics-engineer-for-cellular-technologies-and-rf-frontends-m-w-d-106264,2026-06-11T14:16:13.325280+00:00
0,Test Engineer | Germany,solcom,IT En­gi­neer/De­v­Ops (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-engineer-devops-m-w-d-106257,2026-06-11T14:16:13.325469+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest, Romania",Remote,Freelance,"Can, I2C, Uart",Express,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-measurements-up-to-12-ghz-4-person-en-m-w-d-106253,2026-06-11T14:16:13.325560+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Au­to­mo­ti­ve Tes­ting En­gi­neer (m/w/d),SOLCOM Client,"International, Bucharest",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-106249,2026-06-11T14:16:13.325650+00:00
0,Test Engineer | Germany,solcom,Ther­mal De­sign En­gi­neer - CFD & Ther­mo-Me­cha­ni­cal Si­mu­la­ti­on - UAV Sys­tems (m/w/d),SOLCOM Client,D8,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/thermal-design-engineer-cfd-thermo-mechanical-simulation-uav-systems-m-w-d-106149,2026-06-11T14:16:13.325741+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, München",On-site,Freelance,,Assembly,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-mechatronik-system-integration-m-w-d-106144,2026-06-11T14:16:13.325853+00:00
0,Test Engineer | Germany,solcom,Me­cha­ni­cal De­si­gner - Pa­cka­ging & Human Fac­tors/ Rug­ge­di­zed UAV Sys­tems (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-packaging-human-factors-ruggedized-uav-systems-m-w-d-106109,2026-06-11T14:16:13.325946+00:00
0,Test Automation | Germany,solcom,Zer­ti­fi­zier­ter Pro­jekt­ma­na­ger Bau-/An­la­gen­bau /In­dus­trie­pro­jek­ten (CAPEX/OPEX)) EPC/EPCM (m/w/d),SOLCOM Client,D9,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/zertifizierter-projektmanager-bau-anlagenbau-industrieprojekten-capex-opex-epc-epcm-m-w-d-106128,2026-06-11T14:18:20.498286+00:00
0,Test Automation | Germany,solcom,"Pro­jekt­in­ge­nieur Leit­tech­nik (Unter-/Um­spann­wer­ke, En­er­gie­an­la­gen) (m/w/d)",SOLCOM Client,"CH, Nordschweiz",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektingenieur-leittechnik-unter-umspannwerke-energieanlagen-m-w-d-106029,2026-06-11T14:18:20.498382+00:00
0,Python Test | Germany,solcom,Ent­wick­ler für In­dus­trie­ro­bo­ter­steue­rung (m/w/d),SOLCOM Client,D5,On-site,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/entwickler-fuer-industrierobotersteuerung-m-w-d-106419,2026-06-11T14:20:22.588410+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,D5,On-site,Freelance,"Nlp, Python","R, Azure, Databricks, Spark, Sql, Git",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/data-scientist-m-w-d-106318,2026-06-11T14:20:22.588941+00:00
