relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Senior AutomotiveTesting Engineer(m/f/d),GULP Client,"Location: International, Bucharest",On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/67e4ec945e7c11f189e08e417b6a1e17,2026-06-11T14:41:04.863316+00:00
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-06-11T14:41:04.864278+00:00
14,QA Engineer | Germany,gulp,Senior IT Consultant (m/f/d) Mobile Security with Omnissa Certification - mostly remote,GULP Client,Germany,Remote,Freelance,,"Consultant, Senior",English,"Consultant, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/extern/c79f09ca659411f189e08e417b6a1e17,2026-06-11T14:41:55.794023+00:00
14,QA Engineer | Germany,gulp,Senior Network SecurityEngineer(Cisco / Checkpoint / Zscaler) (m/f/d),GULP Client,"Location: D3, Kassel",On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/96f22db6659411f189e08e417b6a1e17,2026-06-11T14:41:55.794536+00:00
14,QA Engineer | Germany,gulp,SCADAEngineer/ OT Network Expert BESS (m/f/d),GULP Client,"Location: Remote, München",Remote,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e52d693e658311f189e08e417b6a1e17,2026-06-11T14:41:55.800209+00:00
14,QA Engineer | Germany,gulp,Lead MechanicalEngineer/Battery Supply Technology (m/f/d),GULP Client,"Location: Remote, D1",Remote,Freelance,,Lead,English,Lead,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e1102c56658311f189e08e417b6a1e17,2026-06-11T14:41:55.801358+00:00
14,Test Automation | Germany,gulp,"Senior Data Engineer (m/f/d) - Looker, dbt, BigQuery, Git, GCP - remote",GULP Client,Germany,Remote,Freelance,,"Git, Gcp, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/a3afa19c64cb11f189e08e417b6a1e17,2026-06-11T14:44:26.373528+00:00
14,Test Automation | Germany,gulp,Test Manager (m/f/d) Nearshore,GULP Client,"Location: Essen, Ruhr",Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01290932,2026-06-11T14:44:26.375654+00:00
14,Test Automation | Germany,gulp,Lead Consultant Release & Delivery Governance (SAFe) (m/f/d),GULP Client,"Location: Essen, Ruhr",Remote,Freelance,,"Consultant, Lead, Safe",English,"Consultant, Lead",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01290748,2026-06-11T14:44:26.376112+00:00
14,Test Automation | Germany,gulp,Technical Specialist Consultant (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/0a249f0a5e8111f189e08e417b6a1e17,2026-06-11T14:44:26.377599+00:00
14,Test Automation | Germany,gulp,(Senior) QA / BackendTest AutomationEngineer – Mobile Apps (m/f/d) 90% Remote,GULP Client,Location: Cologne,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01282107,2026-06-11T14:44:26.380107+00:00
