relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Senior Softwaretester C# (m/w/d),FERCHAU,Linz Öster­reich,Hybrid,Full-time,"C, Ci/Cd","C#, R, Expert, Senior, Nunit",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/501784/senior-softwaretester-c,2026-06-11T15:20:00.831737+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-06-11T15:20:00.833162+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-06-11T15:20:00.833788+00:00
14,Tester | Germany,ferchau,Testingenieur/Systemtester (m/w/d) IT-Systeme & Testautomatisierung,FERCHAU,Bremen Deut­sch­land,Vor Ort,Full-time,"Embedded Systems, Test Automation","Linux, R, Jira, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/507835/testingenieur-systemtester-it-systeme-testautomatisierung,2026-06-11T15:20:00.834582+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Hybrid,Full-time,,"Junit, R, Scrum, Expert, Testng, Kanban",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/307261/softwaretester,2026-06-11T15:20:00.836034+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Fried­richs­hafen Deut­sch­land,Remote,Full-time,,"Expert, Matlab, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/485380/softwaretester,2026-06-11T15:20:00.836693+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Biele­feld Deut­sch­land,Remote,Full-time,"C, C++, Embedded Linux, Python","Linux, R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/186741/softwaretester,2026-06-11T15:20:00.837238+00:00
14,QA Engineer | Germany,ferchau,Software Quality Engineer (m/w/d),FERCHAU,Frank­furt am Main Deut­sch­land,Hybrid,Full-time,"Ci/Cd, Java","Scrum, R, Expert, Cucumber, Kanban",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443530/software-quality-engineer,2026-06-11T15:20:09.869745+00:00
14,QA Engineer | Germany,ferchau,Project Quality Assurance Engineer (m/w/d) Aerospace,FERCHAU,Stade Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/491323/project-quality-assurance-engineer-aerospace,2026-06-11T15:20:09.872524+00:00
14,QA Engineer | Germany,ferchau,Softwaretester Qualitätssicherung (m/w/d),FERCHAU,Beckum Deut­sch­land,Hybrid,Full-time,"C, Ci/Cd, Java, Jenkins, Python","Gitlab, Junit, Gitlab Ci, C#, R, Scrum, Zephyr, Postman, Sql, Jira",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/499252/softwaretester-qualitaetssicherung,2026-06-11T15:20:09.874697+00:00
14,Test Engineer | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Frei­burg im Breisgau Deut­sch­land,Vor Ort,Full-time,"C, Java, Python","Git, C#, R, Scrum, Expert, Kanban",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/133507/softwaretester-software-test-engineer,2026-06-11T15:20:20.379978+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Elektronik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/349012/testingenieur-elektronik,2026-06-11T15:20:29.997371+00:00
14,Testingenieur | Germany,ferchau,Testingenieur (m/w/d) FPGA,FERCHAU,Fried­richs­hafen Deut­sch­land,Remote,Full-time,,"Expert, R, Vhdl, Fpga",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/485350/testingenieur-fpga,2026-06-11T15:20:29.999558+00:00
14,Test Automation | Germany,ferchau,Testmanager für Automationssysteme (m/w/d),FERCHAU,Fried­richs­hafen Deut­sch­land,Vor Ort,Full-time,,"R, Jira",German,Test Manager,,Recent,https://touch.ferchau.com/de/de/job/499546/testmanager-fuer-automationssysteme,2026-06-11T15:20:38.947990+00:00
14,Test Automation | Germany,ferchau,Senior Automation Engineer (m/w/d),FERCHAU,Burg­kir­chen an der Alz Deut­sch­land,Remote,Full-time,,"Senior, R",German,Senior,,Recent,https://touch.ferchau.com/de/de/job/440530/senior-automation-engineer,2026-06-11T15:20:38.950348+00:00
