relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,AI Integration Consultant (m/w/d),Hays Client,Bundesland Wien,On-site,Contract,"Claude, Github Copilot","Github, Jira, Consultant, Confluence, Git",German,Consultant,,29.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ai-integration-consultant-bundesland-wien-879176/1,2026-06-15T15:55:55.986460+00:00
14,Tester | Germany,hays,Test Manager (m/w/d),Hays Client,München,On-site,Contract,,,German,Test Manager,,29.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-manager-muenchen-879159/1,2026-06-15T15:55:55.986764+00:00
14,Tester | Germany,hays,SAP Consultant S/4HANA Migration Produktion (m/w/d),Hays Client,Hamburg,On-site,Contract,,Consultant,German,Consultant,,21.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-sap-consultant-s-4hana-migration-produktion-hamburg-878271/1,2026-06-15T15:55:55.987542+00:00
14,Tester | Germany,hays,Energy Trading Senior Tester (Only Nearshore) (m/f/d),Hays Client,Remote,Remote,Contract,,Senior,English,Senior,,28.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-energy-trading-senior-tester-only-nearshore-remote-872036/1,2026-06-15T15:55:55.988606+00:00
14,Tester | Germany,hays,Experte SAP Testing (m/w/d),Hays Client,Hybrid,Hybrid,Contract,Go,"Jira, Expert",German,Expert,,16.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-sap-testing-hybrid-870000/1,2026-06-15T15:55:55.988872+00:00
14,QA Engineer | Germany,hays,Project Engineer - CAPEX (m/f/d),Hays Client,Visp,On-site,Contract,,Lead,English,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-project-engineer-capex-visp-877914/1,2026-06-15T15:56:18.140887+00:00
14,QA Engineer | Germany,hays,C&Q Execution Engineer (m/w/d),Hays Client,Basel Land,On-site,Contract,C,"R, Associate, Lead",German,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-c-q-execution-engineer-basel-land-877864/1,2026-06-15T15:56:18.141169+00:00
14,QA Engineer | Germany,hays,Lead Quality Engineer / Test Automation  (m/w/d),Hays Client,München,On-site,Contract,Test Automation,"R, Lead",German,Lead,,19.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-quality-engineer-test-automation--muenchen-858642/1,2026-06-15T15:56:18.141423+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Spring Boot, Microservices, Mongodb, Postgresql, Kubernetes, Senior",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-06-15T15:56:18.142713+00:00
14,Test Engineer | Germany,hays,Senior Hardware Development Engineer (m/w/d),Hays Client,Speyer,On-site,Contract,C,"Iso 26262, Senior",German,Senior,,05.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hardware-development-engineer-speyer-880202/1,2026-06-15T15:56:42.171284+00:00
14,Test Engineer | Germany,hays,Senior Supplier Quality Engineer (m/w/d),Hays Client,Dresden,Remote,Contract,,"R, Senior",German,Senior,,26.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-supplier-quality-engineer-dresden-878527/1,2026-06-15T15:56:42.172915+00:00
