relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,International,On-site,Freelance,,"Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-plc-m-w-d-106474,2026-06-15T16:02:52.903177+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, München",Remote,Freelance,Hil,"Expert, R",German,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/systems-engineer-eo-ir-sensing-sensorsysteme-m-w-d-106410,2026-06-15T16:02:52.903604+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,Expert,English,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/electronics-engineer-for-cellular-technologies-and-rf-frontends-m-w-d-106264,2026-06-15T16:02:52.904287+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,Remote,Freelance,Python,"Gcp, Prometheus, Freelancer, Sql, R, Azure, Snowflake, Aws, Databricks, Postgresql",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ai-data-engineer-im-bereich-wissensmanagement-bots-m-w-d-106260,2026-06-15T16:02:52.904379+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Ci/Cd, Github Actions, Java, Jenkins, Python","Freelancer, Devops, Github, R, Groovy, Linux, Kubernetes",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-engineer-devops-m-w-d-106257,2026-06-15T16:02:52.904471+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest",Remote,Freelance,System Testing,"Senior, Jira, Confluence",English,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-106249,2026-06-15T16:02:52.904650+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,On-site,Freelance,,"Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/thermal-design-engineer-cfd-thermo-mechanical-simulation-uav-systems-m-w-d-106149,2026-06-15T16:02:52.904738+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Ci/Cd, Github Actions, Java, Jenkins, Python","Freelancer, Devops, Github, R, Groovy, Linux, Kubernetes",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-engineer-devops-m-w-d-106052,2026-06-15T16:07:00.376407+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, 50% Remote",Remote,Freelance,,"Associate, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/validation-verification-requirements-engineer-m-w-d-1015582,2026-06-15T16:00:49.678251+00:00
0,Tester | Germany,solcom,HIL Tes­ter im Be­reich E/E (m/w/d),SOLCOM Client,"D3, Großraum Wolfsburg",On-site,Freelance,Hil,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hil-tester-im-bereich-e-e-m-w-d-106365,2026-06-15T16:00:49.678483+00:00
0,Tester | Germany,solcom,"Fach­ex­per­te Schutz- und Leit­tech­nik / Se­kun­där­tech­nik HVDC, SYS41 (m/w/d)",SOLCOM Client,"Remote, ggf. vereinzelt Termine vor Ort",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fachexperte-schutz-und-leittechnik-sekundaertechnik-hvdc-sys41-m-w-d-106359,2026-06-15T16:00:49.678722+00:00
0,Tester | Germany,solcom,Ver­fah­rens­in­ge­nieur Pe­tro­che­mie (m/w/d),SOLCOM Client,D2,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/verfahrensingenieur-petrochemie-m-w-d-1015434,2026-06-15T16:00:49.678943+00:00
0,Test Engineer | Germany,solcom,Ein­füh­rungs­pro­jekt Goog­le Cloud (m/w/d),SOLCOM Client,"D7, und Niederlassungen deutschlandweit",On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/einfuehrungsprojekt-google-cloud-m-w-d-106445,2026-06-15T16:02:52.903413+00:00
0,Test Engineer | Germany,solcom,SCADA En­gi­neer / OT Netz­ex­per­te BESS (m/w/d),SOLCOM Client,"Remote, München",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/scada-engineer-ot-netzexperte-bess-m-w-d-106409,2026-06-15T16:02:52.903506+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, München",On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/systems-engineer-weapon-integration-uav-aerospace-defence-m-w-d-106397,2026-06-15T16:02:52.903701+00:00
