relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Fullstack Java Developer (m/w/d),Hays Client,Köln,On-site,Contract,Java,"Scrum, Expert, R, Angular",German,Expert,,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-fullstack-java-developer-koeln-881803/1,2026-06-18T13:41:06.194500+00:00
14,Tester | Germany,hays,AI Integration Consultant (m/w/d),Hays Client,Bundesland Wien,On-site,Contract,"Claude, Github Copilot","Confluence, Jira, Git, Github, Consultant",German,Consultant,,29.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ai-integration-consultant-bundesland-wien-879176/1,2026-06-18T13:41:06.195439+00:00
14,Tester | Germany,hays,Test Manager (m/w/d),Hays Client,München,On-site,Contract,,,German,Test Manager,,29.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-manager-muenchen-879159/1,2026-06-18T13:41:06.195663+00:00
14,Tester | Germany,hays,SAP Consultant S/4HANA Migration Produktion (m/w/d),Hays Client,Hamburg,On-site,Contract,,Consultant,German,Consultant,,21.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-sap-consultant-s-4hana-migration-produktion-hamburg-878271/1,2026-06-18T13:41:06.195905+00:00
14,Tester | Germany,hays,Energy Trading Senior Tester (Only Nearshore) (m/f/d),Hays Client,Remote,Remote,Contract,,Senior,English,Senior,,28.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-energy-trading-senior-tester-only-nearshore-remote-872036/1,2026-06-18T13:41:06.196553+00:00
14,Tester | Germany,hays,Experte SAP Testing (m/w/d),Hays Client,Hybrid,Hybrid,Contract,Go,"Jira, Expert",German,Expert,,16.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-sap-testing-hybrid-870000/1,2026-06-18T13:41:06.196771+00:00
14,QA Engineer | Germany,hays,Project Engineer - CAPEX (m/f/d),Hays Client,Visp,On-site,Contract,,Lead,English,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-project-engineer-capex-visp-877914/1,2026-06-18T13:41:28.191333+00:00
14,QA Engineer | Germany,hays,C&Q Execution Engineer (m/w/d),Hays Client,Basel Land,On-site,Contract,C,"Associate, R, Lead",German,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-c-q-execution-engineer-basel-land-877864/1,2026-06-18T13:41:28.191548+00:00
14,QA Engineer | Germany,hays,Lead Quality Engineer / Test Automation  (m/w/d),Hays Client,München,On-site,Contract,Test Automation,"R, Lead",German,Lead,,19.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-quality-engineer-test-automation--muenchen-858642/1,2026-06-18T13:41:28.191769+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Mongodb, Senior, Microservices, Postgresql, Kubernetes, Spring Boot",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-06-18T13:41:28.192862+00:00
14,Test Engineer | Germany,hays,System Engineer / System Architect – Onboard Charger (OBC) (m/w/d),Hays Client,Kassel,Remote,Contract,,"System Architect, Architect",German,"Architect, System Architect",,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-engineer-system-architect--onboard-charger-obc-kassel-881836/1,2026-06-18T13:41:52.113396+00:00
14,Test Engineer | Germany,hays,Senior Test Engineer – Hardware Typprüfung & Prüflabormanagement (m/w/d),Hays Client,Berlin,On-site,Contract,,"R, Senior",German,Senior,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-engineer--hardware-typpruefung-prueflabormanagement-berlin-880848/1,2026-06-18T13:41:52.113909+00:00
14,Test Engineer | Germany,hays,Senior Hardware Development Engineer (m/w/d),Hays Client,Speyer,On-site,Contract,C,"Iso 26262, Senior",German,Senior,,05.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hardware-development-engineer-speyer-880202/1,2026-06-18T13:41:52.114574+00:00
