relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, ggf. vereinzelt Termine vor Ort",Remote,Freelance,,R,German,Contractor,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fachexperte-schutz-und-leittechnik-sekundaertechnik-hvdc-sys41-m-w-d-106359,2026-06-18T13:46:05.064519+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,International,On-site,Freelance,,"R, Freelancer",English,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-plc-usa-m-w-d-106540,2026-06-18T13:48:13.507851+00:00
14,Test Engineer | Germany,solcom,Lead Ex­pert Sys­tems En­gi­nee­ring Eu­ro­figh­ter (m/w/d),SOLCOM Client,"D8, Großraum München",On-site,Freelance,,Lead,English,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-expert-systems-engineering-eurofighter-m-w-d-106513,2026-06-18T13:48:13.508104+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,International,On-site,Freelance,,"R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-plc-m-w-d-106474,2026-06-18T13:48:13.508195+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, und Niederlassungen deutschlandweit",On-site,Freelance,,"Project Manager, Google Cloud, Senior, R",German,"Senior, Test Manager",,Recent,https://www.solcom.de/de/projektportal/projektangebote/einfuehrungsprojekt-google-cloud-m-w-d-106445,2026-06-18T13:48:13.508348+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Ci/Cd, Github Actions, Java, Jenkins, Python","Freelancer, R, Devops, Groovy, Github, Kubernetes, Linux",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-engineer-devops-m-w-d-106257,2026-06-18T13:48:13.509096+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,Düsseldorf,On-site,Freelance,"Go, Python","Expert, R, Snowflake, Sql, Azure, Data Science, Associate",German,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/data-governance-experte-m-w-d-1015560,2026-06-18T13:52:31.561344+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Ci/Cd, Github Actions, Java, Jenkins, Python","Freelancer, R, Devops, Groovy, Github, Kubernetes, Linux",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-engineer-devops-m-w-d-106052,2026-06-18T13:52:31.561654+00:00
0,Tester | Germany,solcom,Se­ni­or Test Au­to­ma­ti­on En­gi­neer E-Mo­bi­li­ty  (Teil­zeit) (m/w/d),SOLCOM Client,"Remote, Europaweit",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-test-automation-engineer-e-mobility-teilzeit-m-w-d-106553,2026-06-18T13:46:05.064325+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, 50% Remote",Remote,Freelance,,"R, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/validation-verification-requirements-engineer-m-w-d-1015582,2026-06-18T13:46:05.064436+00:00
0,Test Engineer | Germany,solcom,Me­cha­ni­cal De­si­gner - UAV Sys­te­me / Ent­wick­lungs­pro­jekt Luft­fahrt (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-uav-systeme-entwicklungsprojekt-luftfahrt-m-w-d-106586,2026-06-18T13:48:13.507533+00:00
0,Test Engineer | Germany,solcom,Em­bed­ded Soft­ware En­gi­neer / De­vice Trei­ber Ent­wick­lung (Ze­phyr / Linux) (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,Linux,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-engineer-device-treiber-entwicklung-zephyr-linux-m-w-d-106559,2026-06-18T13:48:13.507643+00:00
0,Test Engineer | Germany,solcom,Tech­ni­scher Pro­jekt­lei­ter / Sys­tem­in­ge­nieur Kli­ma­sys­te­me (m/w/d),SOLCOM Client,"D7, Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/technischer-projektleiter-systemingenieur-klimasysteme-m-w-d-106537,2026-06-18T13:48:13.507930+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Biberach,Remote,Freelance,Embedded Systems,"R, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/product-cyber-security-engineer-pse-m-w-d-1015440,2026-06-18T13:48:13.508027+00:00
0,Test Engineer | Germany,solcom,SCADA En­gi­neer / OT Netz­ex­per­te BESS (m/w/d),SOLCOM Client,"Remote, München",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/scada-engineer-ot-netzexperte-bess-m-w-d-106409,2026-06-18T13:48:13.508423+00:00
0,Test Engineer | Germany,solcom,Sys­tems En­gi­neer - EO/IR Sen­sing/ Sen­sor­sys­te­me (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/systems-engineer-eo-ir-sensing-sensorsysteme-m-w-d-106410,2026-06-18T13:48:13.508497+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, München",On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/systems-engineer-weapon-integration-uav-aerospace-defence-m-w-d-106397,2026-06-18T13:48:13.508571+00:00
0,Test Engineer | Germany,solcom,Data Pro­duct En­gi­neer (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/data-product-engineer-m-w-d-106375,2026-06-18T13:48:13.508647+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"R, Assembly",English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sustaining-engineer-m-w-d-106367,2026-06-18T13:48:13.508724+00:00
0,Test Engineer | Germany,solcom,HW En­gi­neer In­fo­tain­ment-Sys­tem (m/w/d),SOLCOM Client,"International, Bucharest",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-m-w-d-106360,2026-06-18T13:48:13.508798+00:00
0,Test Engineer | Germany,solcom,Me­cha­ni­cal En­gi­neer - Ki­ne­ma­tic Sys­tems & Me­cha­nism (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-engineer-kinematic-systems-mechanism-m-w-d-106276,2026-06-18T13:48:13.508872+00:00
0,Test Engineer | Germany,solcom,Elec­tro­nics En­gi­neer for cel­lu­lar tech­no­lo­gies and RF front­ends (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/electronics-engineer-for-cellular-technologies-and-rf-frontends-m-w-d-106264,2026-06-18T13:48:13.508948+00:00
0,Test Engineer | Germany,solcom,AI Data En­gi­neer im Be­reich Wis­sens­ma­nage­ment Bots (m/w/d),SOLCOM Client,D8,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ai-data-engineer-im-bereich-wissensmanagement-bots-m-w-d-106260,2026-06-18T13:48:13.509023+00:00
0,Test Automation | Germany,solcom,Zer­ti­fi­zier­ter Pro­jekt­ma­na­ger Bau-/An­la­gen­bau /In­dus­trie­pro­jek­ten (CAPEX/OPEX)) EPC/EPCM (m/w/d),SOLCOM Client,D9,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/zertifizierter-projektmanager-bau-anlagenbau-industrieprojekten-capex-opex-epc-epcm-m-w-d-106128,2026-06-18T13:50:25.915422+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,D5,On-site,Freelance,"Nlp, Python","Git, R, Databricks, Spark, Sql, Azure",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/data-scientist-m-w-d-106318,2026-06-18T13:52:31.561423+00:00
