relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,Senior ABAP Developer for innovative SAP Fiori Portal Development (green field),Freelancermap Client,Berlin Deutschland,On-site,Freelance,,Senior,English,Senior,,08.06.2026,https://www.freelancermap.de/projekt/senior-abap-developer-for-innovative-sap-fiori-portal-development-green-field-3008197,2026-06-18T13:57:02.123388+00:00
14,Tester | Germany,freelancermap,"Freelancer für Produktdaten, Preislisten & E-Commerce-Prozesse (m/w/d)",Freelancermap Client,Mannheim Deutschland,On-site,Freelance,,"Freelancer, R",English,Freelancer,,12.06.2026,https://www.freelancermap.de/projekt/freelancer-fuer-produktdaten-preislisten-und-e-commerce-prozesse-m-w-d,2026-06-18T13:57:02.123516+00:00
14,Tester | Germany,freelancermap,Shopware 6 Entwickler (m/w/d) – E-Commerce Relaunch B2B/B2C,REVIDERM AG,82054 Sauerlach bei München Deutschland,Remote,Freelance,Go,"Freelancer, Docker, Mysql, Mariadb, R, Php, Git",German,Freelancer,,16.06.2026,https://www.freelancermap.de/projekt/shopware-6-entwickler-m-w-d-e-commerce-relaunch-b2b-b2c,2026-06-18T13:57:02.124065+00:00
14,Tester | Germany,freelancermap,Atoss Consultant (m/w/d) – Personaleinsatzplanung / Customizing,Freelancermap Client,Köln Deutschland,On-site,Freelance,,Consultant,English,Consultant,,13:50,https://www.freelancermap.de/projekt/atoss-consultant-m-w-d-personaleinsatzplanung-customizing,2026-06-18T13:57:02.124719+00:00
14,Tester | Germany,freelancermap,Senior Consultant SAP EHS (m/w/d),Freelancermap Client,Hanau Deutschland,On-site,Freelance,,"Senior, Consultant",English,"Consultant, Senior",,13:46,https://www.freelancermap.de/projekt/senior-consultant-sap-ehs-m-w-d,2026-06-18T13:57:02.125510+00:00
14,Tester | Germany,freelancermap,Senior Frontend Developer (Design System / Web Components / Accessibility) – Remote,Freelancermap Client,Remote Deutschland,Remote,Freelance,,Senior,English,Senior,,13:46,https://www.freelancermap.de/projekt/senior-frontend-developer-design-system-web-components-accessibility-remote,2026-06-18T13:57:02.125678+00:00
14,Tester | Germany,freelancermap,Gesucht: Data Engineer / KI- & AWS-Cloud-Experte (m/w/d),Freelancermap Client,Frankfurt Deutschland,On-site,Freelance,,"Expert, Aws",English,Expert,,13:45,https://www.freelancermap.de/projekt/gesucht-data-engineer-ki-und-aws-cloud-experte-m-w-d,2026-06-18T13:57:02.125779+00:00
14,Tester | Germany,freelancermap,SAP EHS Consultant (m/w/d) - MMA14514 - Constaff GmbH,Freelancermap Client,hanau Deutschland,On-site,Freelance,,Consultant,English,Consultant,,13:36,https://www.freelancermap.de/projekt/sap-ehs-consultant-m-w-d-mma14514-constaff-gmbh,2026-06-18T13:57:02.126278+00:00
14,Tester | Germany,freelancermap,Network Security Architect (m/w/d),Freelancermap Client,Berlin München Bonn Hamburg Deutschland,On-site,Freelance,,Architect,English,Architect,,13:33,https://www.freelancermap.de/projekt/network-security-architect-m-w-d-3013007,2026-06-18T13:57:02.126785+00:00
14,Tester | Germany,freelancermap,SAP Basis Consultant (m/w/d),Freelancermap Client,Remote Deutschland,Remote,Freelance,,Consultant,English,Consultant,,13:22,https://www.freelancermap.de/projekt/sap-basis-consultant-m-w-d-3013004,2026-06-18T13:57:02.126916+00:00
14,Tester | Switzerland,freelancermap,Senior Fullstack Developer (Angular / Spring Boot) – Cloud (AWS),Freelancermap Client,Frankfurt Deutschland,On-site,Freelance,,"Angular, Aws, Senior, Spring Boot",English,Senior,,13:57,https://www.freelancermap.de/projekt/senior-fullstack-developer-angular-spring-boot-cloud-aws,2026-06-18T13:57:34.910863+00:00
0,Tester | Germany,freelancermap,Frontend Developer for Conversion Rate & UX Improvements at Vexcash,Freelancermap Client,Germany,On-site,Freelance,,,English,,,16.06.2026,https://www.freelancermap.de/projekt/frontend-developer-for-conversion-rate-und-ux-improvements-at-vexcash,2026-06-18T13:57:02.123636+00:00
0,Tester | Germany,freelancermap,Inbetriebnehmer / Anlagentechniker / SPS-Troubleshooter Siemens S7/TIA für Automotive-Serienanlauf,Freelancermap Client,Kirchroth Deutschland,On-site,Freelance,,R,English,,,15.06.2026,https://www.freelancermap.de/projekt/inbetriebnehmer-anlagentechniker-sps-troubleshooter-siemens-s7-tia-fuer-automotive-serienanlauf,2026-06-18T13:57:02.123738+00:00
0,Tester | Germany,freelancermap,Tax Manager Real Estate (m/w/d) – Immobiliensteuerrecht / Tax Compliance,Freelancermap Client,Frankfurt am Main Deutschland,Remote,Freelance,,,English,,,09:54,https://www.freelancermap.de/projekt/tax-manager-real-estate-m-w-d-immobiliensteuerrecht-tax-compliance,2026-06-18T13:57:02.123904+00:00
0,Tester | Germany,freelancermap,Payroll Specialist (w/m/d) in Frankfurt gesucht,Freelancermap Client,Frankfurt am Main Deutschland,On-site,Freelance,,,English,,,09.06.2026,https://www.freelancermap.de/projekt/payroll-specialist-w-m-d-in-frankfurt-gesucht,2026-06-18T13:57:02.124224+00:00
0,Tester | Germany,freelancermap,Interim Production Engineering Manager (Injection Moulding) – Automotive (m/w/d),Freelancermap Client,Mühlacker Deutschland,On-site,Freelance,,Engineering Manager,English,,,16.06.2026,https://www.freelancermap.de/projekt/interim-production-engineering-manager-injection-moulding-automotive-m-w-d,2026-06-18T13:57:02.124369+00:00
0,Tester | Germany,freelancermap,PMO (m/w/d) Einführung Immobilienverwaltungssoftware,Freelancermap Client,Quickborn Deutschland,Remote,Freelance,,,English,,,13:56,https://www.freelancermap.de/projekt/pmo-m-w-d-einfuehrung-immobilienverwaltungssoftware,2026-06-18T13:57:02.124546+00:00
0,Tester | Germany,freelancermap,Data Engineer (f/m/d),Freelancermap Client,Frankfurt/Main Deutschland,On-site,Freelance,,,English,,,13:50,https://www.freelancermap.de/projekt/data-engineer-f-m-d-3013017,2026-06-18T13:57:02.124918+00:00
0,Tester | Germany,freelancermap,IT System Engineer (w/m/d) IBM,Freelancermap Client,Mannheim Deutschland,On-site,Freelance,,,English,,,13:50,https://www.freelancermap.de/projekt/it-system-engineer-w-m-d-ibm,2026-06-18T13:57:02.125102+00:00
0,Tester | Germany,freelancermap,Sachgebietsleiter Standardnetzanschluss (w/m/d) - ANK14513 - Constaff GmbH,Freelancermap Client,Frankfurt Deutschland,On-site,Freelance,,,English,,,13:39,https://www.freelancermap.de/projekt/sachgebietsleiter-standardnetzanschluss-w-m-d-ank14513-constaff-gmbh,2026-06-18T13:57:02.125979+00:00
0,Tester | Germany,freelancermap,Anwendungsentwickler Workflows /­ SAP BTP (m/w/d) *****-M-CO,Freelancermap Client,München Deutschland,On-site,Freelance,,,English,,,13:36,https://www.freelancermap.de/projekt/anwendungsentwickler-workflows-sap-btp-m-w-d-m-co,2026-06-18T13:57:02.126636+00:00
0,Tester | Remote,freelancermap,Projektleiter Hochspannungs-Umspannwerke (m/w/d) *****-K-CO,Freelancermap Client,Krefeld Deutschland,On-site,Freelance,,Project Manager,English,,,13:57,https://www.freelancermap.de/projekt/projektleiter-hochspannungs-umspannwerke-m-w-d-k-co,2026-06-18T13:57:52.779706+00:00
0,Testingenieur | Germany,freelancermap,Backend-Entwickler (m/w/d),Freelancermap Client,Berlin Deutschland,On-site,Freelance,,,English,,,13:59,https://www.freelancermap.de/projekt/backend-entwickler-m-w-d-3013022,2026-06-18T14:00:27.094116+00:00
0,Python Test | Germany,freelancermap,Web Developer (m/w/d) für das Web-Frontend,Freelancermap Client,Frankfurt am Main Deutschland,On-site,Freelance,,R,German,,,14:04,https://www.freelancermap.de/projekt/web-developer-m-w-d-fuer-das-web-frontend,2026-06-18T14:04:31.763280+00:00
0,Python Test | Remote,freelancermap,SAP Sustainability SCT/SFM Architekturberatung,Freelancermap Client,Freiburg Deutschland,On-site,Freelance,,,English,,,14:06,https://www.freelancermap.de/projekt/sap-sustainability-sct-sfm-architekturberatung,2026-06-18T14:06:39.809209+00:00
0,Python Test | Remote,freelancermap,Interim - Projektmanager (m/w/d) Prozessoptimierung,Freelancermap Client,GR Berlin Deutschland,On-site,Freelance,,,English,,,14:05,https://www.freelancermap.de/projekt/interim-projektmanager-m-w-d-prozessoptimierung,2026-06-18T14:06:39.809298+00:00
0,Python Test | Remote,freelancermap,CFD & Aerodynamics Simulation Engineer (m/w/d),Freelancermap Client,München Deutschland,On-site,Freelance,,,English,,,14:05,https://www.freelancermap.de/projekt/cfd-und-aerodynamics-simulation-engineer-m-w-d,2026-06-18T14:06:39.809388+00:00
0,Firmware Engineer | Germany,freelancermap,Bauleiter Tief- und Straßenbau (m/w/d) Projektnummer: 4503,Grey Solutions,Mühlhausen Deutschland,On-site,Freelance,,R,German,,,16:06,https://www.freelancermap.de/projekt/bauleiter-tief-und-strassenbau-m-w-d-projektnummer-4503,2026-06-18T14:06:55.572987+00:00
