relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Senior Test Automation Engineer E-Mobility (Part-time) (m/f/d),GULP Client,"Location: Remote, Europaweit",Remote,Freelance,Test Automation,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/57d5bd386a4311f189e08e417b6a1e17,2026-06-18T14:11:08.639337+00:00
14,Tester | Germany,gulp,"Senior Tester (m/f/d) Application Software - Temporary Employment, 40% Remote",GULP Client,Germany,Remote,Freelance,"Ci/Cd, Python, Test Automation","Gitlab, Gitlab Ci, R, Senior",German,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01290531,2026-06-18T14:11:08.639774+00:00
14,Tester | Germany,gulp,Senior AutomotiveTesting Engineer(m/f/d),GULP Client,"Location: International, Bucharest",On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/67e4ec945e7c11f189e08e417b6a1e17,2026-06-18T14:11:08.640591+00:00
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-06-18T14:11:08.641403+00:00
14,QA Engineer | Germany,gulp,Siemens SIMATIC BATCH expert (m/f/d),GULP Client,Location: Laupheim,Remote,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01296012,2026-06-18T14:11:59.006404+00:00
14,Test Engineer | Germany,gulp,Consultant for printing and text systems (m/f/d),GULP Client,Location: Nürnberg,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a2ff01fdcc9ebb45fbdde71,2026-06-18T14:12:49.893575+00:00
14,Test Engineer | Germany,gulp,Consultant for printing and text systems (m/f/d),GULP Client,Location: Nürnberg,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a2ff01edcc9ebb45fbdde59,2026-06-18T14:12:49.894104+00:00
14,Test Automation | Germany,gulp,Expert (m/f/d) for Migration &Test Automation(Azure DevOps to GitLab),GULP Client,Location: Frankfurt am Main,Remote,Freelance,Test Automation,"Azure, Gitlab, Devops, Expert",English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01294455,2026-06-18T14:14:30.867727+00:00
14,Test Automation | Germany,gulp,Test Manager (m/f/d) Nearshore,GULP Client,"Location: Essen, Ruhr",Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01290932,2026-06-18T14:14:30.868110+00:00
14,Test Automation | Germany,gulp,Lead Software Engineer – Data Migration (m/f/d) (80–100%) (16017),GULP Client,Location: siehe Beschreibung,Remote,Freelance,,Lead,English,Lead,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/7dd08d104abd11f189e08e417b6a1e17,2026-06-18T14:14:30.870661+00:00
14,Python Developer | Germany,gulp,DB2 Consultant (m/f/d) - Performance Optimization/Architecture,GULP Client,Location: Deutschland,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a33f93cdcc9ebb45fc13ceb,2026-06-18T14:15:19.318027+00:00
