relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Firmware Engineer | Switzerland,linkedin,"Senior Software Developer, Embedded Systems/Firmware",Google,"Zurich, Zurich, Switzerland",On-site,Full-time,"Embedded Systems, Firmware",Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-software-developer-embedded-systems-firmware-at-google-4425226864,2026-06-22T15:28:41.899997+00:00
29,QA Engineer | Switzerland,linkedin,QA Engineer,Siemens Healthineers,"Baden, Aargau, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/qa-engineer-at-siemens-healthineers-4426208644,2026-06-22T15:26:29.956660+00:00
29,Testingenieur | Switzerland,linkedin,Testing Engineer,Amazon RIVR,"Zurich, Zurich, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/testing-engineer-at-amazon-rivr-4428106156,2026-06-22T15:27:13.782504+00:00
29,Test Automation | Slovakia,linkedin,Automation Tester,Siemens Healthineers,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/automation-tester-at-siemens-healthineers-4427362511,2026-06-22T15:27:40.648706+00:00
29,Python Test | Germany,linkedin,Software Tester (w/m/d),Burmester Audiosysteme GmbH,"Berlin, Berlin, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/software-tester-w-m-d-at-burmester-audiosysteme-gmbh-4414871671,2026-06-22T15:28:15.225167+00:00
29,Firmware Engineer | United Kingdom,linkedin,"Software Engineer - Infrastructure,SWE Developer Foundations",Apple,"London, England, United Kingdom",On-site,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/software-engineer-infrastructure-swe-developer-foundations-at-apple-4415137874,2026-06-22T15:28:56.595655+00:00
14,Tester | Germany,linkedin,QA Engineer / Quality Assurance Professional (m/w/d) - Werde das Herzstück unserer Produktteams & die Stimme der Qualität zu unseren Kunden,The Shoring Company,Stuttgart Region,Remote,Full-time,"Ci/Cd, Playwright","R, Appium, Kotlin, Expert, Cypress, Architect",German,"Architect, Expert",,Recent,https://de.linkedin.com/jobs/view/qa-engineer-quality-assurance-professional-m-w-d-werde-das-herzst%C3%BCck-unserer-produktteams-die-stimme-der-qualit%C3%A4t-zu-unseren-kunden-at-the-shoring-company-4430476134,2026-06-22T15:26:03.307454+00:00
14,Tester | Austria,linkedin,QA Test Analyst - Manual Exploratory Testing,Client Server,"Vienna, Vienna, Austria",Remote,Contract,"Ci/Cd, Python, Test Automation","R, Linux, Lead, Agile, Senior, Powershell",English,"Lead, Senior",,Recent,https://at.linkedin.com/jobs/view/qa-test-analyst-manual-exploratory-testing-at-client-server-4422376021,2026-06-22T15:26:05.670623+00:00
14,Tester | Austria,linkedin,Test Engineer,personico GmbH,Greater Graz,On-site,Internship,,R,German,Test Manager,,Recent,https://at.linkedin.com/jobs/view/test-engineer-at-personico-gmbh-4421684471,2026-06-22T15:26:05.670834+00:00
14,Tester | Austria,linkedin,Staff Test Engineer (f/m/d),Renesas Electronics,"Graz, Styria, Austria",Remote,Full-time,"C, C++, Can, Java","R, Lead, Staff, Safe, Expert",English,"Expert, Lead, Staff",,Recent,https://at.linkedin.com/jobs/view/staff-test-engineer-f-m-d-at-renesas-electronics-4425470302,2026-06-22T15:26:05.671617+00:00
14,Tester | Austria,linkedin,Test Engineer (all genders),Lam Research,"Villach, Carinthia, Austria",Remote,Internship,Python,Lead,English,Lead,,Recent,https://at.linkedin.com/jobs/view/test-engineer-all-genders-at-lam-research-4428714676,2026-06-22T15:26:05.672091+00:00
14,Tester | Switzerland,linkedin,Test Engineer (AI),Sixsentix,"Zurich, Switzerland",On-site,Contract,"Can, Ci/Cd, Llm, Prompt Engineering, Pytest, Rag","Mlops, Postman, Safe, Consultant, Expert, Git, Regression Testing",English,"Consultant, Expert",,Recent,https://ch.linkedin.com/jobs/view/test-engineer-ai-at-sixsentix-4417933662,2026-06-22T15:26:08.073060+00:00
14,Tester | Slovakia,linkedin,Senior Tester,Avenga,"Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-tester-at-avenga-4420135143,2026-06-22T15:26:12.826257+00:00
14,Tester | Slovakia,linkedin,Senior Software Tester,Carpiness s.r.o.,"Bratislava, Slovakia",On-site,Full-time,,"R, Senior",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-tester-at-carpiness-s-r-o-4424869340,2026-06-22T15:26:12.826611+00:00
14,Tester | Czech Republic,linkedin,Senior Industrialization Test Engineer,Eaton,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-industrialization-test-engineer-at-eaton-4421952597,2026-06-22T15:26:15.194271+00:00
14,Tester | Czech Republic,linkedin,Senior Software Development Engineer in Test (SDET/AI) - Real Estate - Dominican Republic (Remote),Truelogic Software,Dominican Republic,Remote,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-software-development-engineer-in-test-sdet-ai-real-estate-dominican-republic-remote-at-truelogic-software-4430750018,2026-06-22T15:26:15.194576+00:00
14,Tester | Czech Republic,linkedin,Lead Software Engineer in Test (SDET),Flash,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Lead,English,Lead,,Recent,https://do.linkedin.com/jobs/view/lead-software-engineer-in-test-sdet-at-flash-4414922814,2026-06-22T15:26:15.194899+00:00
14,QA Engineer | Germany,linkedin,Senior Manual QA Engineer,Jobgether,Germany,On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-manual-qa-engineer-at-jobgether-4427442940,2026-06-22T15:26:25.116440+00:00
14,QA Engineer | Germany,linkedin,Senior Quality Assurance Engineer,SymBio.,"Saxony-Anhalt, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-symbio-4430550534,2026-06-22T15:26:25.116809+00:00
14,QA Engineer | Germany,linkedin,Senior Manual QA Engineer (Front SEO),Jobgether,Germany,On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-manual-qa-engineer-front-seo-at-jobgether-4429306627,2026-06-22T15:26:25.117117+00:00
14,QA Engineer | Germany,linkedin,Senior QA Engineer,adjoe,"Hamburg, Hamburg, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-qa-engineer-at-adjoe-4430746106,2026-06-22T15:26:25.117714+00:00
14,QA Engineer | Switzerland,linkedin,Senior Manual QA Engineer,Jobgether,Switzerland,On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-manual-qa-engineer-at-jobgether-4427477002,2026-06-22T15:26:29.955403+00:00
14,QA Engineer | Switzerland,linkedin,Senior Manual QA Engineer (Front SEO),Jobgether,Switzerland,On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-manual-qa-engineer-front-seo-at-jobgether-4429301650,2026-06-22T15:26:29.955764+00:00
14,QA Engineer | Switzerland,linkedin,Lead QA Engineer (80% - 100%),Moviplus OpenIT SA,"Lausanne, Vaud, Switzerland",Remote,Full-time,,Lead,English,Lead,,Recent,https://ch.linkedin.com/jobs/view/lead-qa-engineer-80%25-100%25-at-moviplus-openit-sa-4431700777,2026-06-22T15:26:29.956075+00:00
14,QA Engineer | Remote,linkedin,Senior QA Engineer (m/w/d) Testautomatisierung & Quality Assurance,MACH,Germany,Remote,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-qa-engineer-m-w-d-testautomatisierung-quality-assurance-at-mach-4429797924,2026-06-22T15:26:32.305934+00:00
14,QA Engineer | Slovakia,linkedin,Senior QA Automation Engineer - Reselling platform (m/f/d),Deutsche Telekom IT Solutions Slovakia,"Košice-Západ, Kosice, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-qa-automation-engineer-reselling-platform-m-f-d-at-deutsche-telekom-it-solutions-slovakia-4419274055,2026-06-22T15:26:34.686538+00:00
14,QA Engineer | Czech Republic,linkedin,Functional QA Engineer (Temporary Contract),Applaudo,Dominican Republic,On-site,Contract,,"Php, Regression Testing, Contractor",English,Contractor,,Recent,https://do.linkedin.com/jobs/view/functional-qa-engineer-temporary-contract-at-applaudo-4431160743,2026-06-22T15:26:37.062456+00:00
14,QA Engineer | Czech Republic,linkedin,Sr. SDET (Gaming Industry),Perform,Dominican Republic,On-site,Full-time,"Java, Typescript","Agile, Senior, Manual Testing",English,Senior,,Recent,https://do.linkedin.com/jobs/view/sr-sdet-gaming-industry-at-perform-4362287427,2026-06-22T15:26:37.062924+00:00
14,QA Engineer | Poland,linkedin,Senior QA Engineer - Poland,Focal Systems,"Cracow, Małopolskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-engineer-poland-at-focal-systems-4422951776,2026-06-22T15:26:39.452554+00:00
14,QA Engineer | Poland,linkedin,Senior QA Engineer,MMDSmart,Poland,On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-engineer-at-mmdsmart-4419838000,2026-06-22T15:26:39.452719+00:00
14,QA Engineer | Poland,linkedin,Senior QA Engineer - Claiming Experience,AirHelp,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-engineer-claiming-experience-at-airhelp-4419845039,2026-06-22T15:26:39.453502+00:00
