relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,"Freelancer für Produktdaten, Preislisten & E-Commerce-Prozesse (m/w/d)",Freelancermap Client,Mannheim Deutschland,On-site,Freelance,,"R, Freelancer",English,Freelancer,,12.06.2026,https://www.freelancermap.de/projekt/freelancer-fuer-produktdaten-preislisten-und-e-commerce-prozesse-m-w-d,2026-06-22T15:48:52.409964+00:00
14,Tester | Germany,freelancermap,Senior Meta/ Facebook Developer (m/w/d) – Reservierungsplattform / API-Integration,Freelancermap Client,Nürnberg Deutschland,On-site,Freelance,,Senior,English,Senior,,10:59,https://www.freelancermap.de/projekt/senior-meta-facebook-developer-m-w-d-reservierungsplattform-api-integration,2026-06-22T15:48:52.410147+00:00
14,Tester | Germany,freelancermap,Lead Entwickler Online Services (Fullstack),Freelancermap Client,Nuremberg Deutschland,On-site,Freelance,,Lead,English,Lead,,15:41,https://www.freelancermap.de/projekt/lead-entwickler-online-services-fullstack,2026-06-22T15:48:52.410502+00:00
14,Tester | Germany,freelancermap,SAP HCM-PY / SAP SuccessFactors ECP Payroll Transformation Berater (m/w/d),Freelancermap Client,Hannover Deutschland,On-site,Freelance,,Consultant,English,Consultant,,15:32,https://www.freelancermap.de/projekt/sap-hcm-py-sap-successfactors-ecp-payroll-transformation-berater-m-w-d,2026-06-22T15:48:52.410660+00:00
14,Python Test | Remote,freelancermap,SAP Basis Consultant – S/4HANA & Cloud_GR Köln_6M++SAP Basis Consultant – S/4HANA & Cloud_GR Köln_6M,digit xperts GmbH,Köln Deutschland,On-site,Freelance,,"Consultant, R, Google Cloud",German,Consultant,,15:57,https://www.freelancermap.de/projekt/sap-basis-consultant-s-4hana-und-cloud-gr-koeln-6m-sap-basis-consultant-s-4hana-und-cloud-gr-koeln-6m,2026-06-22T15:57:47.582650+00:00
0,Tester | Germany,freelancermap,Shopware 6 Entwickler (m/w/d) – E-Commerce Relaunch B2B/B2C,Freelancermap Client,82054 Sauerlach bei München Deutschland,On-site,Freelance,,,English,,,16.06.2026,https://www.freelancermap.de/projekt/shopware-6-entwickler-m-w-d-e-commerce-relaunch-b2b-b2c,2026-06-22T15:48:52.409835+00:00
0,Tester | Germany,freelancermap,Projektmanager Bautechnik (m/w/d) – Bereich Tankfelder,Freelancermap Client,Hamburg Deutschland,On-site,Freelance,,,English,,,19.06.2026,https://www.freelancermap.de/projekt/projektmanager-bautechnik-m-w-d-bereich-tankfelder,2026-06-22T15:48:52.409910+00:00
0,Tester | Germany,freelancermap,"Reiseveranstalter sucht Texterin für Facebook, Website etc.",Freelancermap Client,Dresden Deutschland,On-site,Freelance,,R,English,,,19.06.2026,https://www.freelancermap.de/projekt/reiseveranstalter-sucht-texterin-fuer-facebook-website-etc,2026-06-22T15:48:52.410011+00:00
0,Tester | Germany,freelancermap,Programmmanager / Gesamtprojektleiter / Teilprojektleiter (m/w/d),Freelancermap Client,Stuttgart Deutschland,On-site,Freelance,,,English,,,19.06.2026,https://www.freelancermap.de/projekt/programmmanager-gesamtprojektleiter-teilprojektleiter-m-w-d,2026-06-22T15:48:52.410057+00:00
0,Tester | Germany,freelancermap,Interim Production Engineering Manager (Injection Moulding) – Automotive (m/w/d),Freelancermap Client,Mühlacker Deutschland,On-site,Freelance,,Engineering Manager,English,,,16.06.2026,https://www.freelancermap.de/projekt/interim-production-engineering-manager-injection-moulding-automotive-m-w-d,2026-06-22T15:48:52.410101+00:00
0,Tester | Germany,freelancermap,Inbetriebnehmer / Anlagentechniker / SPS-Troubleshooter Siemens S7/TIA für Automotive-Serienanlauf,Freelancermap Client,Kirchroth Deutschland,On-site,Freelance,,R,English,,,15.06.2026,https://www.freelancermap.de/projekt/inbetriebnehmer-anlagentechniker-sps-troubleshooter-siemens-s7-tia-fuer-automotive-serienanlauf,2026-06-22T15:48:52.410190+00:00
0,Tester | Germany,freelancermap,Tax Manager Real Estate (m/w/d) – Immobiliensteuerrecht / Tax Compliance,Freelancermap Client,Frankfurt am Main Deutschland,Remote,Freelance,,,English,,,18.06.2026,https://www.freelancermap.de/projekt/tax-manager-real-estate-m-w-d-immobiliensteuerrecht-tax-compliance,2026-06-22T15:48:52.410236+00:00
0,Tester | Germany,freelancermap,Frontend Developer for Conversion Rate & UX Improvements at Vexcash,Freelancermap Client,Germany,On-site,Freelance,,,English,,,16.06.2026,https://www.freelancermap.de/projekt/frontend-developer-for-conversion-rate-und-ux-improvements-at-vexcash,2026-06-22T15:48:52.410287+00:00
0,Tester | Germany,freelancermap,Frontend Entwickler (w/m/d),Freelancermap Client,Frankfurt/Main Deutschland,On-site,Freelance,,,English,,,15:42,https://www.freelancermap.de/projekt/frontend-entwickler-w-m-d-3014158,2026-06-22T15:48:52.410336+00:00
0,Tester | Germany,freelancermap,Bilanzbuchhalter (m/w/d) - Arbeitnehmerüberlassung - Berlin,Freelancermap Client,Berlin Deutschland,On-site,Freelance,,,English,,,15:42,https://www.freelancermap.de/projekt/bilanzbuchhalter-m-w-d-arbeitnehmerueberlassung-berlin,2026-06-22T15:48:52.410379+00:00
0,Tester | Germany,freelancermap,Softwareentwickler für Disposition  (w/m/d),Freelancermap Client,Berlin Deutschland,On-site,Freelance,,R,English,,,15:42,https://www.freelancermap.de/projekt/softwareentwickler-fuer-disposition-w-m-d,2026-06-22T15:48:52.410420+00:00
0,Tester | Germany,freelancermap,ISTQB Certified Tester:in (Hannover/Remote),Freelancermap Client,Hannover Deutschland,Remote,Freelance,,,English,,,15:41,https://www.freelancermap.de/projekt/istqb-certified-tester-in-hannover-remote,2026-06-22T15:48:52.410463+00:00
0,Tester | Germany,freelancermap,"Unterstützung ISO 27019 / IEC 62443 im Kontext ISMS / IT-OT (3 PT initial, ggf. Folgeprojekt)",Freelancermap Client,Eichstätt Deutschland,On-site,Freelance,,,English,,,15:40,https://www.freelancermap.de/projekt/unterstuetzung-iso-27019-iec-62443-im-kontext-isms-it-ot-3-pt-initial-ggf-folgeprojekt,2026-06-22T15:48:52.410540+00:00
0,Tester | Germany,freelancermap,Projektsteuerung & Koordination Cable & Civil (m/w/d),Freelancermap Client,Würzburg Deutschland,On-site,Freelance,,,English,,,15:35,https://www.freelancermap.de/projekt/projektsteuerung-und-koordination-cable-und-civil-m-w-d,2026-06-22T15:48:52.410580+00:00
0,Tester | Germany,freelancermap,Konzeption E-Reporting & SAP ACR Migration,Freelancermap Client,Duisburg Deutschland,On-site,Freelance,,,English,,,15:33,https://www.freelancermap.de/projekt/konzeption-e-reporting-und-sap-acr-migration,2026-06-22T15:48:52.410619+00:00
0,Tester | Germany,freelancermap,Hardwareentwickler im Bereich analoge Schaltungstechnik & Leistungselektronik (m/w/d),Freelancermap Client,D8 Deutschland,On-site,Freelance,,,English,,,15:31,https://www.freelancermap.de/projekt/hardwareentwickler-im-bereich-analoge-schaltungstechnik-und-leistungselektronik-m-w-d,2026-06-22T15:48:52.410699+00:00
0,Python Developer | Germany,freelancermap,ServiceNow Engineer / ServiceNow Entwickler (m/w/d)_GR Berlin/Heilbronn_9M++,Freelancermap Client,Berlin Deutschland,On-site,Freelance,,,English,,,15:55,https://www.freelancermap.de/projekt/servicenow-engineer-servicenow-entwickler-m-w-d-gr-berlin-heilbronn-9m-3014159,2026-06-22T15:55:48.395845+00:00
0,Python Test | Remote,freelancermap,Product Owner for Supplier Collaboration,Freelancermap Client,Hamburg Deutschland,On-site,Freelance,,Product Owner,English,,,15:57,https://www.freelancermap.de/projekt/product-owner-for-supplier-collaboration,2026-06-22T15:57:47.582606+00:00
