relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,xing,Senior Test Manager (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,"Senior, Test Manager",,Recent,https://www.xing.com/jobs/hannover-senior-test-manager-155410504,2026-06-22T16:11:35.224441+00:00
14,Tester | Germany,xing,Technischer Projektleiter / System-Architekt für Tester Solutions im Service (w/m/d),XING Employer,Germany/Remote,Remote,Full-time,,"Architect, R, Project Manager",English,Architect,,Recent,https://www.xing.com/jobs/ulm-technischer-projektleiter-system-architekt-tester-solutions-service-155473997,2026-06-22T16:11:35.224620+00:00
14,Test Automation | Germany,xing,Senior Test Automation Engineer – MedTech / Pharma (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Senior,English,Senior,,Recent,https://www.xing.com/jobs/muenchen-senior-test-automation-engineer-medtech-pharma-151576664,2026-06-22T16:15:15.790201+00:00
14,Test Automation | Germany,xing,Senior Test Automation Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Senior,English,Senior,,Recent,https://www.xing.com/jobs/moehrendorf-senior-test-automation-engineer-153657572,2026-06-22T16:15:15.790260+00:00
14,Test Automation | Germany,xing,Senior Test Automation Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Senior,English,Senior,,Recent,https://www.xing.com/jobs/norderstedt-senior-test-automation-engineer-153655916,2026-06-22T16:15:15.790316+00:00
14,Test Automation | Germany,xing,Senior Test Automation Engineer – MedTech / Pharma (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Senior,English,Senior,,Recent,https://www.xing.com/jobs/muenchen-senior-test-automation-engineer-medtech-pharma-155246016,2026-06-22T16:15:15.790495+00:00
14,Python Developer | Remote,xing,Senior Python Developer (f/m/d) wanted! Ref.Nr. 4183!,XING Employer,Germany/Remote,Remote,Full-time,Python,Senior,English,Senior,,Recent,https://www.xing.com/jobs/kiel-senior-python-developer-wanted-ref-nr-4183-154970022,2026-06-22T16:16:52.985245+00:00
14,Firmware Engineer | Germany,xing,Senior Firmwareentwickler (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/klingenberg-main-senior-firmwareentwickler-155249032,2026-06-22T16:18:01.411639+00:00
14,Firmware Engineer | Germany,xing,Senior Firmware Engineer (m/f/d),XING Employer,Germany/Remote,Remote,Full-time,Firmware,Senior,English,Senior,,Recent,https://www.xing.com/jobs/munich-firmware-engineer-153279685,2026-06-22T16:18:01.411917+00:00
14,Firmware Engineer | Germany,xing,Senior Firmware Engineer (f/m/d),XING Employer,Germany/Remote,Remote,Full-time,Firmware,Senior,English,Senior,,Recent,https://www.xing.com/jobs/graz-automotive-senior-firmware-engineer-152720569,2026-06-22T16:18:01.412006+00:00
14,Firmware Engineer | Germany,xing,Senior Embedded Software / Firmware Engineer - Power Electronics (m/f/d),XING Employer,Germany/Remote,Remote,Full-time,Firmware,Senior,English,Senior,,Recent,https://www.xing.com/jobs/freiburg-im-breisgau-senior-embedded-software-firmware-engineer-power-electronics-153679299,2026-06-22T16:18:01.412067+00:00
0,Tester | Germany,xing,Test- und Integrationsingenieur im Bereich Bildverarbeitung (w/m/d),XING Employer,Germany/Remote,Remote,Full-time,,,German,,,Recent,https://www.xing.com/jobs/oberkochen-test-integrationsingenieur-bereich-bildverarbeitung-155461528,2026-06-22T16:11:35.224547+00:00
0,Tester | Germany,xing,Messtechniker (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/mannheim-messtechniker-154793570,2026-06-22T16:11:35.224685+00:00
0,Tester | Germany,xing,Test Engineer (w/m/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/altenstadt-test-engineer-154218717,2026-06-22T16:11:35.224747+00:00
0,Tester | Germany,xing,Servicemonteur/in für Prüfanlagen der Luftfahrtindustrie im Großraum Hamburg (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,R,German,,,Recent,https://www.xing.com/jobs/neu-wulmstorf-servicemonteur-pruefanlagen-luftfahrtindustrie-grossraum-hamburg-154790442,2026-06-22T16:11:35.224810+00:00
0,Tester | Germany,xing,IT‑Tester (m/w/d) - Testautomatisierung & Energiewirtschaft,XING Employer,Germany/Remote,Remote,Full-time,Test Automation,,English,,,Recent,https://www.xing.com/jobs/muenchen-it-tester-testautomatisierung-energiewirtschaft-154827535,2026-06-22T16:11:35.224870+00:00
0,Tester | Germany,xing,Software Tester / Test Engineer (w/m/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/muenchen-software-tester-test-engineer-155519104,2026-06-22T16:11:35.224960+00:00
0,Tester | Germany,xing,Software Tester (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/duesseldorf-software-tester-155601100,2026-06-22T16:11:35.225031+00:00
0,Tester | Germany,xing,IT Tester (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/oelde-tester-154790856,2026-06-22T16:11:35.225094+00:00
0,Tester | Austria,xing,Software Tester (mit Kenntnissen in C# und AWS) (m/w/d) Leipzig,XING Employer,Germany/Remote,Remote,Full-time,C,"Aws, C#",German,,,Recent,https://www.xing.com/jobs/leipzig-software-tester-kenntnissen-aws-leipzig-149558646,2026-06-22T16:11:49.896796+00:00
0,QA Engineer | Austria,xing,QA Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/stuttgart-qa-engineer-155254240,2026-06-22T16:12:43.464633+00:00
0,QA Engineer | Austria,xing,QA Engineer / Test Specialist (m/f/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/reutlingen-qa-engineer-test-specialist-154659913,2026-06-22T16:12:43.464722+00:00
