relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Austria,freelance_de,Senior Android Tester (m/f/d),Freelance.de Client,Germany/Remote,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.freelance.de/projekte/projekt-1270107-Senior-Android-Tester-m-f-d,2026-06-22T16:24:51.338800+00:00
14,Tester | Austria,freelance_de,Energy Trading Senior Tester (Only Nearshore) (m/f/d),Freelance.de Client,Germany/Remote,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.freelance.de/projekte/projekt-1267681-Energy-Trading-Senior-Tester-Only-Nearshore-m-f-d,2026-06-22T16:24:51.339217+00:00
14,Tester | Austria,freelance_de,Senior Tester (m/w/d) Tricentis Tosca Einführung & Testautomatisierung ID26981-0,Freelance.de Client,Germany/Remote,Remote,Freelance,Test Automation,Senior,English,Senior,,Recent,https://www.freelance.de/projekte/projekt-1273734-Senior-Tester-m-w-d-Tricentis-Tosca-Einfuehrung-Testautomatisierung-ID26981,2026-06-22T16:24:51.339491+00:00
14,Tester | Austria,freelance_de,Senior Penetration Tester (m/w/d) für IT-Projekt im öffentlichen Sektor gesucht,Freelance.de Client,Germany/Remote,Remote,Freelance,,"Senior, R",English,Senior,,Recent,https://www.freelance.de/projekte/projekt-1276685-Senior-Penetration-Tester-m-w-d-fuer-IT-im-oeffentlichen,2026-06-22T16:24:51.339883+00:00
14,Tester | Austria,freelance_de,Senior Factory Software Application Engineer (m/f/d),Freelance.de Client,Germany/Remote,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.freelance.de/projekte/projekt-1268322-Senior-Factory-Software-Application-Engineer-m-f-d,2026-06-22T16:24:51.340006+00:00
14,Tester | Austria,freelance_de,Senior Integration/ Test Engineer ( ATM VOICE System) (m/f/d),Freelance.de Client,Germany/Remote,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.freelance.de/projekte/projekt-1274826-Senior-Integration-Test-Engineer-ATM-VOICE-System-m-f-d,2026-06-22T16:24:51.340381+00:00
14,Tester | Remote,freelance_de,Remote Mendix Architect,Freelance.de Client,Germany/Remote,Remote,Freelance,,Architect,English,Architect,,Recent,https://www.freelance.de/projekte/projekt-1275122-Remote-Mendix-Architect,2026-06-22T16:25:09.775198+00:00
14,QA Engineer | Germany,freelance_de,QA Lead,Freelance.de Client,Germany/Remote,Remote,Freelance,,Lead,English,"Lead, QA Lead",,Recent,https://www.freelance.de/projekte/projekt-1268482-QA-Lead,2026-06-22T16:25:26.965840+00:00
14,QA Engineer | Germany,freelance_de,QA Manager / Testmanager (m/w/d),Freelance.de Client,Germany/Remote,Remote,Freelance,,,English,Test Manager,,Recent,https://www.freelance.de/projekte/projekt-1270000-QA-Manager-Testmanager-m-w-d,2026-06-22T16:25:26.966522+00:00
14,QA Engineer | Germany,freelance_de,Senior QA Specialist & Batch Review,Freelance.de Client,Germany/Remote,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.freelance.de/projekte/projekt-1274667-Senior-QA-Specialist-Batch-Review,2026-06-22T16:25:26.966657+00:00
