relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Fullstack Java Developer (m/w/d),Hays Client,Köln,On-site,Contract,Java,"R, Scrum, Angular, Expert",German,Expert,,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-fullstack-java-developer-koeln-881803/1,2026-06-25T12:31:20.541066+00:00
14,Tester | Germany,hays,Test Manager (m/w/d),Hays Client,München,On-site,Contract,,,German,Test Manager,,29.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-manager-muenchen-879159/1,2026-06-25T12:31:20.542144+00:00
14,Tester | Germany,hays,Energy Trading Senior Tester (Only Nearshore) (m/f/d),Hays Client,Remote,Remote,Contract,,Senior,English,Senior,,28.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-energy-trading-senior-tester-only-nearshore-remote-872036/1,2026-06-25T12:31:20.542918+00:00
14,Tester | Germany,hays,Experte SAP Testing (m/w/d),Hays Client,Hybrid,Hybrid,Contract,Go,"Jira, Expert",German,Expert,,16.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-sap-testing-hybrid-870000/1,2026-06-25T12:31:20.543170+00:00
14,QA Engineer | Germany,hays,Senior QA Experte für Medientechnik (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,"R, Expert, Senior",German,"Expert, Senior",,19.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-qa-experte-fuer-medientechnik-frankfurt-am-main-881056/1,2026-06-25T12:31:45.540263+00:00
14,QA Engineer | Germany,hays,Project Engineer - CAPEX (m/f/d),Hays Client,Visp,On-site,Contract,,Lead,English,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-project-engineer-capex-visp-877914/1,2026-06-25T12:31:45.541407+00:00
14,QA Engineer | Germany,hays,C&Q Execution Engineer (m/w/d),Hays Client,Basel Land,On-site,Contract,C,"R, Associate, Lead",German,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-c-q-execution-engineer-basel-land-877864/1,2026-06-25T12:31:45.541658+00:00
14,QA Engineer | Germany,hays,Lead Quality Engineer / Test Automation  (m/w/d),Hays Client,München,On-site,Contract,Test Automation,"R, Lead",German,Lead,,19.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-quality-engineer-test-automation--muenchen-858642/1,2026-06-25T12:31:45.541942+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Kubernetes, Senior, Mongodb, Microservices, Spring Boot, Postgresql",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-06-25T12:31:45.543241+00:00
14,Test Engineer | Germany,hays,System Engineer / System Architect – Onboard Charger (OBC) (m/w/d),Hays Client,Kassel,Remote,Contract,,"System Architect, Architect",German,"Architect, System Architect",,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-engineer-system-architect--onboard-charger-obc-kassel-881836/1,2026-06-25T12:32:28.678852+00:00
14,Test Engineer | Germany,hays,Senior Test Engineer – Hardware Typprüfung & Prüflabormanagement (m/w/d),Hays Client,Berlin,On-site,Contract,,"R, Senior",German,Senior,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-engineer--hardware-typpruefung-prueflabormanagement-berlin-880848/1,2026-06-25T12:32:28.679386+00:00
14,Test Engineer | Germany,hays,Senior Hardware Development Engineer (m/w/d),Hays Client,Speyer,On-site,Contract,C,"Iso 26262, Senior",German,Senior,,05.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hardware-development-engineer-speyer-880202/1,2026-06-25T12:32:28.680174+00:00
14,Test Engineer | Germany,hays,Senior Supplier Quality Engineer (m/w/d),Hays Client,Dresden,Remote,Contract,,"R, Senior",German,Senior,,26.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-supplier-quality-engineer-dresden-878527/1,2026-06-25T12:32:28.681442+00:00
14,Testingenieur | Germany,hays,Senior HiL Testingenieur (Motoren) (m/w/d),Hays Client,Friedrichshafen,On-site,Contract,Hil,Senior,German,Senior,,22.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hil-testingenieur-motoren-friedrichshafen-871448/1,2026-06-25T12:33:03.233258+00:00
14,Test Automation | Germany,hays,Python Architect (m/w/d),Hays Client,Münster,On-site,Contract,"Ci/Cd, Python","Devops, R, Architect",German,Architect,,25.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-python-architect-muenster-881422/1,2026-06-25T12:33:26.708668+00:00
14,Test Automation | Germany,hays,Senior IT Projektmanager Labvantage (m/w/d),Hays Client,Ulm,On-site,Contract,,Senior,German,Senior,,03.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-it-projektmanager-labvantage-ulm-879923/1,2026-06-25T12:33:26.709815+00:00
14,Test Automation | Germany,hays,Projektmanager Technik / Pentester  (m/w/d),Hays Client,München,On-site,Contract,,"R, Expert",German,Expert,,13.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-projektmanager-technik-pentester--muenchen-877325/1,2026-06-25T12:33:26.711599+00:00
14,Test Automation | Germany,hays,Cybersecurity Auditor / Consultant (m/w/d),Hays Client,München,On-site,Contract,,"Consultant, R",German,Consultant,,13.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-cybersecurity-auditor-consultant-muenchen-877327/1,2026-06-25T12:33:26.711865+00:00
14,Test Automation | Germany,hays,Senior Prozessingenieur (m/w/d),Hays Client,München,On-site,Contract,,"R, Senior",German,Senior,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-prozessingenieur-muenchen-852498/1,2026-06-25T12:33:26.713579+00:00
14,Python Developer | Germany,hays,Senior Software Developer (m/w/d),Hays Client,München,On-site,Contract,"Ci/Cd, Java, Javascript, Python, Typescript","Devops, Kubernetes, Senior, Docker, Postgresql",German,Senior,,23.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-developer-muenchen-882356/1,2026-06-25T12:33:54.597337+00:00
14,Python Developer | Germany,hays,Advanced Computer Vision Deep Learning Expert (m/w/d),Hays Client,Remote,Remote,Contract,,"Computer Vision, R, Deep Learning, Expert",German,Expert,,22.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-advanced-computer-vision-deep-learning-expert-remote-882217/1,2026-06-25T12:33:54.597893+00:00
