relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Europaweit",Remote,Freelance,"Javascript, Playwright, Test Automation, Typescript","Cypress, Nosql, Senior, Kanban, Scrum, Microservices, Sql, Safe, R, Agile",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-test-automation-engineer-e-mobility-teilzeit-m-w-d-106553,2026-06-25T12:36:33.392425+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Ci/Cd, Github Actions, Java, Jenkins, Python","Linux, Groovy, Devops, Kubernetes, R, Github, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-engineer-devops-m-w-d-106686,2026-06-25T12:38:34.943778+00:00
14,Test Engineer | Germany,solcom,Lead Ex­pert Sys­tems En­gi­nee­ring Eu­ro­figh­ter (m/w/d),SOLCOM Client,"D8, Großraum München",On-site,Freelance,,Lead,English,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-expert-systems-engineering-eurofighter-m-w-d-106513,2026-06-25T12:38:34.944563+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,Expert,English,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/electronics-engineer-for-cellular-technologies-and-rf-frontends-m-w-d-106264,2026-06-25T12:38:34.945503+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,On-site,Freelance,,"R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/thermal-design-engineer-cfd-thermo-mechanical-simulation-uav-systems-m-w-d-106149,2026-06-25T12:38:34.946231+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Remote",Remote,Freelance,"C, C++, Python, Test Automation","Linux, Scrum, R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-softwareentwickler-c-sozialversicherungspflichtig-angestellt-m-w-d-106645,2026-06-25T12:42:46.109308+00:00
0,Tester | Germany,solcom,EMV Tes­ter/In­ge­nieur (m/w/d),SOLCOM Client,"D5, Soest",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/emv-tester-ingenieur-m-w-d-106666,2026-06-25T12:36:33.391905+00:00
0,Tester | Germany,solcom,Busi­ness Ana­lyst (m/w/d),SOLCOM Client,Frankfurt am Main,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/business-analyst-m-w-d-1015649,2026-06-25T12:36:33.392093+00:00
0,Tester | Germany,solcom,Tes­ter / Au­to­mo­ti­ve Sys­tem­test­auf­bau / Test­bench Built-up / 2 Per­son(en) (m/w/d),SOLCOM Client,"D7, GR Stuttgart/ Böblingen",On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-automotive-systemtestaufbau-testbench-built-up-2-person-en-m-w-d-106602,2026-06-25T12:36:33.392258+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, 50% Remote",Remote,Freelance,,"R, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/validation-verification-requirements-engineer-m-w-d-1015582,2026-06-25T12:36:33.392621+00:00
0,Tester | Germany,solcom,"Fach­ex­per­te Schutz- und Leit­tech­nik / Se­kun­där­tech­nik HVDC, SYS41 (m/w/d)",SOLCOM Client,"Remote, ggf. vereinzelt Termine vor Ort",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fachexperte-schutz-und-leittechnik-sekundaertechnik-hvdc-sys41-m-w-d-106359,2026-06-25T12:36:33.392787+00:00
0,Test Engineer | Germany,solcom,Sys­tem­in­ge­nieur Kli­ma­sys­te­me (m/w/d),SOLCOM Client,"D7, Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/systemingenieur-klimasysteme-m-w-d-106646,2026-06-25T12:38:34.943903+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D5, Lippstadt",Remote,Freelance,Embedded Systems,"R, Agile, Product Owner, Jira",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/feature-team-product-owner-power-distribution-m-w-d-106619,2026-06-25T12:38:34.944006+00:00
0,Test Engineer | Germany,solcom,Me­cha­ni­cal De­si­gner - UAV Sys­te­me / Ent­wick­lungs­pro­jekt Luft­fahrt (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-uav-systeme-entwicklungsprojekt-luftfahrt-m-w-d-106586,2026-06-25T12:38:34.944107+00:00
0,Test Engineer | Germany,solcom,Soft­ware En­gi­neer - PLC USA (m/w/d),SOLCOM Client,International,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-plc-usa-m-w-d-106540,2026-06-25T12:38:34.944306+00:00
0,Test Engineer | Germany,solcom,Pro­duct Cyber Se­cu­ri­ty En­gi­neer (PSE) (m/w/d),SOLCOM Client,Biberach,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/product-cyber-security-engineer-pse-m-w-d-1015440,2026-06-25T12:38:34.944405+00:00
0,Test Engineer | Germany,solcom,Soft­ware En­gi­neer - PLC (m/w/d),SOLCOM Client,International,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-plc-m-w-d-106474,2026-06-25T12:38:34.944676+00:00
0,Test Engineer | Germany,solcom,Ein­füh­rungs­pro­jekt Goog­le Cloud (m/w/d),SOLCOM Client,"D7, und Niederlassungen deutschlandweit",On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/einfuehrungsprojekt-google-cloud-m-w-d-106445,2026-06-25T12:38:34.944874+00:00
0,Test Engineer | Germany,solcom,Sys­tems En­gi­neer - EO/IR Sen­sing/ Sen­sor­sys­te­me (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/systems-engineer-eo-ir-sensing-sensorsysteme-m-w-d-106410,2026-06-25T12:38:34.944970+00:00
0,Test Engineer | Germany,solcom,Sys­tems En­gi­neer - Wea­pon In­te­gra­ti­on (UAV / Ae­ro­space & De­fence) (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/systems-engineer-weapon-integration-uav-aerospace-defence-m-w-d-106397,2026-06-25T12:38:34.945072+00:00
0,Test Engineer | Germany,solcom,Data Pro­duct En­gi­neer (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/data-product-engineer-m-w-d-106375,2026-06-25T12:38:34.945174+00:00
0,Test Engineer | Germany,solcom,HW En­gi­neer In­fo­tain­ment-Sys­tem (m/w/d),SOLCOM Client,"International, Bucharest",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-m-w-d-106360,2026-06-25T12:38:34.945267+00:00
0,Test Engineer | Germany,solcom,Me­cha­ni­cal En­gi­neer - Ki­ne­ma­tic Sys­tems & Me­cha­nism (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-engineer-kinematic-systems-mechanism-m-w-d-106276,2026-06-25T12:38:34.945363+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest, Romania",Remote,Freelance,"Can, I2C, Uart",Express,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-measurements-up-to-12-ghz-4-person-en-m-w-d-106253,2026-06-25T12:38:34.945726+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Au­to­mo­ti­ve Tes­ting En­gi­neer (m/w/d),SOLCOM Client,"International, Bucharest",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-106249,2026-06-25T12:38:34.946005+00:00
0,Testingenieur | Germany,solcom,Va­li­die­rungs­in­ge­nieur / Tes­in­ge­nieur Au­to­mo­ti­ve (m/w/d),SOLCOM Client,"D9, remote",Remote,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/validierungsingenieur-tesingenieur-automotive-m-w-d-106687,2026-06-25T12:39:44.398227+00:00
0,Test Automation | Germany,solcom,Ro­bo­ter­pro­gram­mie­rer (m/w/d),SOLCOM Client,D6,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/roboterprogrammierer-m-w-d-106637,2026-06-25T12:40:44.955881+00:00
0,Test Automation | Germany,solcom,Zer­ti­fi­zier­ter Pro­jekt­ma­na­ger Bau-/An­la­gen­bau /In­dus­trie­pro­jek­ten (CAPEX/OPEX)) EPC/EPCM (m/w/d),SOLCOM Client,D9,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/zertifizierter-projektmanager-bau-anlagenbau-industrieprojekten-capex-opex-epc-epcm-m-w-d-106128,2026-06-25T12:40:44.956467+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,D5,On-site,Freelance,"Nlp, Python","Azure, Git, Spark, Sql, R, Databricks",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/data-scientist-m-w-d-106318,2026-06-25T12:42:46.109961+00:00
