relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Europaweit",Remote,Freelance,"Javascript, Playwright, Test Automation, Typescript","Cypress, Nosql, Microservices, Scrum, Kanban, R, Safe, Agile, Senior, Freelancer",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-test-automation-engineer-e-mobility-teilzeit-m-w-d-106553,2026-06-29T14:38:16.828163+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,Expert,English,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/biocompatibility-expert-m-w-d-106726,2026-06-29T14:40:24.267206+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, München",Remote,Freelance,,"R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-uav-systeme-entwicklungsprojekt-luftfahrt-m-w-d-106586,2026-06-29T14:40:24.267638+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, Großraum München",On-site,Freelance,"C, C++","R, C#, Expert, Matlab, Lead, Freelancer",German,"Expert, Freelancer, Lead",,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-expert-systems-engineering-eurofighter-m-w-d-106513,2026-06-29T14:40:24.267955+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, München",Remote,Freelance,Hil,"Expert, R",German,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/systems-engineer-eo-ir-sensing-sensorsysteme-m-w-d-106410,2026-06-29T14:40:24.268259+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest",Remote,Freelance,System Testing,"Jira, Senior, Confluence",English,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-106249,2026-06-29T14:40:24.268632+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, 20-40% remote",Remote,Freelance,,"R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sps-programmierer-b-r-m-w-d-106717,2026-06-29T14:42:33.431864+00:00
14,Python Developer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Java, Python","Microservices, R, Gcp, Senior, Freelancer, Postgresql, Google Cloud",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-backend-developer-m-w-d-106720,2026-06-29T14:43:36.442800+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Remote",Remote,Freelance,"C, C++, Python, Test Automation","Linux, Scrum, R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-softwareentwickler-c-sozialversicherungspflichtig-angestellt-m-w-d-106645,2026-06-29T14:44:37.220173+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,keine Angabe,Remote,Freelance,Firmware,"R, Associate, Load Testing, Regression Testing, Performance Testing",English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/cpe-tester-m-w-d-1015667,2026-06-29T14:38:16.827867+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D5, Soest",On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/emv-tester-ingenieur-m-w-d-106666,2026-06-29T14:38:16.827989+00:00
