relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Senior Softwaretester C# (m/w/d),FERCHAU,Linz Öster­reich,Hybrid,Full-time,C,"C#, Senior",English,Senior,,Recent,https://touch.ferchau.com/de/de/job/501784/senior-softwaretester-c,2026-06-29T15:38:48.217971+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-06-29T15:38:48.220448+00:00
14,Tester | Germany,ferchau,(Senior) Softwaretester (m/w/d),FERCHAU,Kassel Deut­sch­land,Remote,Full-time,"C, C++, Python","R, Senior, Expert",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/496582/senior-softwaretester,2026-06-29T15:38:48.222053+00:00
14,Tester | Germany,ferchau,Systemtester (m/w/d),FERCHAU,Kassel Deut­sch­land,Hybrid,Full-time,"C, Java, Python","R, Jira, Expert, C#",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/472864/systemtester,2026-06-29T15:38:48.223515+00:00
14,Tester | Germany,ferchau,Testingenieur (m/w/d),FERCHAU,Mann­heim Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/485209/testingenieur,2026-06-29T15:38:48.224316+00:00
14,Tester | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Frei­burg im Breisgau Deut­sch­land,Vor Ort,Full-time,"C, Java, Python","R, Scrum, Kanban, Expert, Git, C#",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/133507/softwaretester-software-test-engineer,2026-06-29T15:38:48.224982+00:00
14,QA Engineer | Germany,ferchau,Software Quality Engineer (m/w/d),FERCHAU,Frank­furt am Main Deut­sch­land,Hybrid,Full-time,"Ci/Cd, Java","Cucumber, R, Scrum, Kanban, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443530/software-quality-engineer,2026-06-29T15:38:57.387515+00:00
14,QA Engineer | Germany,ferchau,Project Quality Assurance Engineer (m/w/d) Aerospace,FERCHAU,Stade Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/491323/project-quality-assurance-engineer-aerospace,2026-06-29T15:38:57.391553+00:00
14,Test Engineer | Germany,ferchau,Testingenieur Elektrotechnik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/242196/testingenieur-elektrotechnik,2026-06-29T15:39:06.384097+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Elektronik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/349012/testingenieur-elektronik,2026-06-29T15:39:14.876440+00:00
14,Testingenieur | Germany,ferchau,Testingenieur (m/w/d),FERCHAU,Lübeck Deut­sch­land,Vor Ort,Full-time,Python,"R, Jira, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/476311/testingenieur,2026-06-29T15:39:14.882039+00:00
14,Testingenieur | Germany,ferchau,Versuchs- und Testingenieur (m/w/d),FERCHAU,Heil­bronn Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/485278/versuchs-und-testingenieur,2026-06-29T15:39:14.883211+00:00
14,Test Automation | Germany,ferchau,Testmanager für Automationssysteme (m/w/d),FERCHAU,Fried­richs­hafen Deut­sch­land,Vor Ort,Full-time,,"R, Jira",German,Test Manager,,Recent,https://touch.ferchau.com/de/de/job/499546/testmanager-fuer-automationssysteme,2026-06-29T15:39:25.096413+00:00
14,Test Automation | Germany,ferchau,Senior Automation Engineer (m/w/d),FERCHAU,Burg­kir­chen an der Alz Deut­sch­land,Remote,Full-time,,"R, Senior",German,Senior,,Recent,https://touch.ferchau.com/de/de/job/440530/senior-automation-engineer,2026-06-29T15:39:25.097409+00:00
14,Test Automation | Germany,ferchau,Testautomation Engineer C# (m/w/d),FERCHAU,Linz Öster­reich,Hybrid,Full-time,"C, C++","R, Expert, C#",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/490801/testautomation-engineer-c,2026-06-29T15:39:25.101005+00:00
14,Python Developer | Germany,ferchau,(Junior) Software Developer Python (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,Python,"Junior, R, Nosql, Sql, Expert, Linux",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446410/junior-software-developer-python,2026-06-29T15:39:33.941302+00:00
14,Python Developer | Germany,ferchau,Softwareentwickler / Anwendungsentwickler (m/w/d),FERCHAU,Leipzig Deut­sch­land,Remote,Full-time,"C, Ci/Cd, Java, Jenkins, Python","Gitlab, Azure, Docker, C#, Php, Sql, R, Mysql, Oracle, Kanban",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/484657/softwareentwickler-anwendungsentwickler,2026-06-29T15:39:33.946359+00:00
14,Python Developer | Germany,ferchau,Fullstack Developer (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,"C, Java, Python","R, Nosql, Vue.Js, Sql, React, Angular, Expert, C#",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/445282/fullstack-developer,2026-06-29T15:39:33.948054+00:00
14,Python Test | Germany,ferchau,IoT Test and Evaluation Engineer (m/w/d),FERCHAU,Kaufe­ring Deut­sch­land,Remote,Full-time,"C, Pytest, Python","R, Jira, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/504307/iot-test-and-evaluation-engineer,2026-06-29T15:39:43.037639+00:00
14,Firmware Engineer | Germany,ferchau,Embedded Software Engineer (m/w/d) QNX/C++,FERCHAU,Bremen Deut­sch­land,Vor Ort,Full-time,"Arm, C, C++, Can, Embedded Systems","R, Stm32, Expert, Git, Qnx, Linux",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/508030/embedded-software-engineer-qnx-c,2026-06-29T15:39:51.780312+00:00
14,Firmware Engineer | Germany,ferchau,Softwareentwickler (m/w/d) C++,FERCHAU,Verden Deut­sch­land,Hybrid,Full-time,"C, C++","R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/479368/softwareentwickler-c,2026-06-29T15:39:51.782922+00:00
14,Firmware Engineer | Germany,ferchau,Softwareentwickler (m/w/d) C / C++,FERCHAU,Bremen Deut­sch­land,Hybrid,Full-time,"C, C++","R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/400018/softwareentwickler-c-c,2026-06-29T15:39:51.783662+00:00
14,Firmware Engineer | Germany,ferchau,Senior Softwareingenieur FPGA / VHDL (m/w/d),FERCHAU,Ulm Deut­sch­land,Remote,Full-time,Embedded Systems,"R, Vhdl, Senior, Expert, Fpga",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/488167/senior-softwareingenieur-fpga-vhdl,2026-06-29T15:39:51.784522+00:00
14,Firmware Engineer | Germany,ferchau,Embedded Software Engineer (m/w/d),FERCHAU,Bremen Deut­sch­land,Hybrid,Full-time,"C, C++, Embedded Systems, Python","R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/502732/embedded-software-engineer,2026-06-29T15:39:51.785417+00:00
14,Firmware Engineer | Germany,ferchau,FPGA Test Engineer (m/w/d),FERCHAU,Linden­berg im Allgäu Deut­sch­land,Hybrid,Full-time,,"R, Vhdl, Fpga, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/472201/fpga-test-engineer,2026-06-29T15:39:51.786756+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Osna­brück Deut­sch­land,Remote,Full-time,"C, Java, Python","R, Devops, Scrum, Jira, Azure, Sql, Kanban, C#",German,,,Recent,https://touch.ferchau.com/de/de/job/442993/softwaretester,2026-06-29T15:38:48.218887+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-06-29T15:38:48.219606+00:00
0,Tester | Germany,ferchau,Softwaretester / Software Testingenieur (m/w/d),FERCHAU,München Deut­sch­land,Remote,Full-time,Jenkins,"R, Agile, Scrum, Junit, Testng",German,,,Recent,https://touch.ferchau.com/de/de/job/497092/softwaretester-software-testingenieur,2026-06-29T15:38:48.221239+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Hybrid,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/307261/softwaretester,2026-06-29T15:38:48.222768+00:00
0,QA Engineer | Germany,ferchau,Software Automation Engineer (m/w/d),FERCHAU,Hannover Deut­sch­land,Hybrid,Full-time,"Ci/Cd, Python","R, Linux",German,,,Recent,https://touch.ferchau.com/de/de/job/506386/software-automation-engineer,2026-06-29T15:38:57.386745+00:00
0,QA Engineer | Germany,ferchau,Hull Structural Designer - Shipbuilding (m/f/d),FERCHAU,Gdynia Poland,Hybrid,Full-time,Can,,English,,,Recent,https://touch.ferchau.com/de/de/job/482239/hull-structural-designer-shipbuilding,2026-06-29T15:38:57.388443+00:00
0,QA Engineer | Germany,ferchau,DevOps Engineer (m/w/d) Cloud & Mobile Platforms,FERCHAU,Nürn­berg Deut­sch­land,Remote,Full-time,"Bash, Ci/Cd, Github Actions, Jenkins, Python","R, Github, Agile, Devops, Gitlab, Azure, Gitlab Ci, Docker, Argocd",German,,,Recent,https://touch.ferchau.com/de/de/job/488962/devops-engineer-cloud-mobile-platforms,2026-06-29T15:38:57.389655+00:00
0,QA Engineer | Germany,ferchau,Hull Structural Designer (m/f/d),FERCHAU,Gdynia Poland,Hybrid,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/461695/hull-structural-designer,2026-06-29T15:38:57.390504+00:00
0,QA Engineer | Germany,ferchau,Quality Site Inspector Offshore (m/f/d),FERCHAU,Hamburg Germany,On-Site,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/508294/quality-site-inspector-offshore,2026-06-29T15:38:57.392643+00:00
0,QA Engineer | Germany,ferchau,Java Entwickler - SonarQube (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,Java,,English,,,Recent,https://touch.ferchau.com/de/de/job/510445/java-entwickler-sonarqube,2026-06-29T15:38:57.393439+00:00
0,QA Engineer | Germany,ferchau,Backend Entwickler (m/w/d),FERCHAU,Köln Deut­sch­land,Remote,Full-time,"C, Ci/Cd, Go, Java, Python","R, Agile, Devops, Aws, Azure, Nosql, Node.Js, Docker, C#",German,,,Recent,https://touch.ferchau.com/de/de/job/469966/backend-entwickler,2026-06-29T15:38:57.394264+00:00
