relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, ggf. vereinzelt Termine vor Ort",Remote,Freelance,,R,German,Contractor,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fachexperte-schutz-und-leittechnik-sekundaertechnik-hvdc-sys41-m-w-d-106359,2026-07-02T12:22:40.735796+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,Expert,English,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/biocompatibility-expert-m-w-d-106726,2026-07-02T12:24:45.462405+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, München",Remote,Freelance,,"R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-uav-systeme-entwicklungsprojekt-luftfahrt-m-w-d-106707,2026-07-02T12:24:45.462486+00:00
14,Test Engineer | Germany,solcom,Lead Ex­pert Sys­tems En­gi­nee­ring Eu­ro­figh­ter (m/w/d),SOLCOM Client,"D8, Großraum München",On-site,Freelance,,Lead,English,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-expert-systems-engineering-eurofighter-m-w-d-106513,2026-07-02T12:24:45.462956+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, und Niederlassungen deutschlandweit",On-site,Freelance,,"R, Project Manager, Google Cloud, Senior",German,"Senior, Test Manager",,Recent,https://www.solcom.de/de/projektportal/projektangebote/einfuehrungsprojekt-google-cloud-m-w-d-106445,2026-07-02T12:24:45.463188+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,On-site,Freelance,,"R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/thermal-design-engineer-cfd-thermo-mechanical-simulation-uav-systems-m-w-d-106149,2026-07-02T12:24:45.463663+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"CH, Nyon",On-site,Freelance,,"R, Lead, Freelancer",German,"Freelancer, Lead",,Recent,https://www.solcom.de/de/projektportal/projektangebote/inbetriebnehmer-elektrotechnik-automation-intralogistik-m-w-d-106792,2026-07-02T12:26:56.946382+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, , 40% Remote",Remote,Freelance,"Arm, Bash, C, C++, Can, Jenkins, Python","R, Unix, Git, Freelancer, Linux, Scrum",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/c-c-entwickler-m-w-d-106762,2026-07-02T12:29:02.565651+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,keine Angabe,Remote,Freelance,Firmware,"Regression Testing, Performance Testing, R, Load Testing, Associate",English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/cpe-tester-m-w-d-1015667,2026-07-02T12:22:40.735186+00:00
0,Tester | Germany,solcom,EMV Tes­ter/In­ge­nieur (m/w/d),SOLCOM Client,"D5, Soest",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/emv-tester-ingenieur-m-w-d-106666,2026-07-02T12:22:40.735424+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, GR Stuttgart/ Böblingen",Remote,Freelance,Can,"Jira, R, Junior, Confluence",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-automotive-systemtestaufbau-testbench-built-up-2-person-en-m-w-d-106602,2026-07-02T12:22:40.735552+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, 50% Remote",Remote,Freelance,,"Associate, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/validation-verification-requirements-engineer-m-w-d-1015582,2026-07-02T12:22:40.735677+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Remote",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/asic-digital-backend-design-engineer-m-w-d-106802,2026-07-02T12:24:45.462198+00:00
0,Test Engineer | Germany,solcom,IT En­gi­neer / De­v­Ops (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-engineer-devops-m-w-d-106776,2026-07-02T12:24:45.462320+00:00
0,Test Engineer | Germany,solcom,Fea­ture Team Pro­duct Owner - Power Dis­tri­bu­ti­on (m/w/d),SOLCOM Client,"D5, Lippstadt",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/feature-team-product-owner-power-distribution-m-w-d-106619,2026-07-02T12:24:45.462645+00:00
0,Test Engineer | Germany,solcom,Me­cha­ni­cal De­si­gner - UAV Sys­te­me / Ent­wick­lungs­pro­jekt Luft­fahrt (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-uav-systeme-entwicklungsprojekt-luftfahrt-m-w-d-106586,2026-07-02T12:24:45.462724+00:00
0,Test Engineer | Germany,solcom,Soft­ware En­gi­neer - PLC USA (m/w/d),SOLCOM Client,International,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-plc-usa-m-w-d-106540,2026-07-02T12:24:45.462802+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Biberach,Remote,Freelance,Embedded Systems,"Associate, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/product-cyber-security-engineer-pse-m-w-d-1015440,2026-07-02T12:24:45.462878+00:00
0,Test Engineer | Germany,solcom,Soft­ware En­gi­neer - PLC (m/w/d),SOLCOM Client,International,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-plc-m-w-d-106474,2026-07-02T12:24:45.463035+00:00
0,Test Engineer | Germany,solcom,Sys­tems En­gi­neer - EO/IR Sen­sing/ Sen­sor­sys­te­me (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/systems-engineer-eo-ir-sensing-sensorsysteme-m-w-d-106410,2026-07-02T12:24:45.463265+00:00
0,Test Engineer | Germany,solcom,Sys­tems En­gi­neer - Wea­pon In­te­gra­ti­on (UAV / Ae­ro­space & De­fence) (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/systems-engineer-weapon-integration-uav-aerospace-defence-m-w-d-106397,2026-07-02T12:24:45.463357+00:00
