relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,IT Service Process & Provider Management Expert,Freelancermap Client,Berlin Dresden Potsdam Deutschland,On-site,Freelance,,Expert,English,Expert,,09:57,https://www.freelancermap.de/projekt/it-service-process-und-provider-management-expert,2026-07-13T12:57:04.565450+00:00
14,Tester | Germany,freelancermap,Senior AI Engineer für die Entwicklung eines AI-basierten Assessment-Tool,Freelancermap Client,Berlin Deutschland,On-site,Freelance,,"Senior, R",German,Senior,,28.06.2026,https://www.freelancermap.de/projekt/senior-ai-engineer-fuer-die-entwicklung-eines-ai-basierten-assessment-tool,2026-07-13T12:57:04.565687+00:00
14,Tester | Germany,freelancermap,Applikationsmanager SAP & VLEX // Start August // Dauer 4 Monate // 2-3 Tage/Woche // GR. Hannover,Amoria Bond GmbH,Niedersachsen Deutschland,Remote,Freelance,,"Consultant, Architect, R",German,"Architect, Consultant",,12:48,https://www.freelancermap.de/projekt/applikationsmanager-sap-und-vlex-start-august-dauer-4-monate-2-3-tage-woche-gr-hannover,2026-07-13T12:57:04.566044+00:00
14,Tester | Germany,freelancermap,M365 Solution Architect (m/w/d),Freelancermap Client,Hamburg Deutschland,On-site,Freelance,,"Architect, Solution Architect",English,Architect,,12:32,https://www.freelancermap.de/projekt/m365-solution-architect-m-w-d,2026-07-13T12:57:04.566518+00:00
14,Tester | Austria,freelancermap,Senior Java Software Engineer (m/w/d),Freelancermap Client,Remote Deutschland,Remote,Freelance,Java,Senior,English,Senior,,12:56,https://www.freelancermap.de/projekt/senior-java-software-engineer-m-w-d-3022648,2026-07-13T12:57:22.141914+00:00
14,Test Engineer | Switzerland,freelancermap,Senior IAM Consultant (One Identity Manager & AWS) - m/w/d,Freelancermap Client,Frankfurt am Main Deutschland,On-site,Freelance,,"Consultant, Senior, Aws",English,"Consultant, Senior",,12:59,https://www.freelancermap.de/projekt/senior-iam-consultant-one-identity-manager-und-aws-m-w-d,2026-07-13T12:59:58.847410+00:00
0,Tester | Germany,freelancermap,IPv6-Tester für eine Bundesbehörde,Freelancermap Client,Frankfurt Deutschland,On-site,Freelance,,R,English,,,01.07.2026,https://www.freelancermap.de/projekt/ipv6-tester-fuer-eine-bundesbehoerde,2026-07-13T12:57:04.565548+00:00
0,Tester | Germany,freelancermap,Interim Production Engineering Manager (Injection Moulding) – Automotive (m/w/d),Freelancermap Client,Mühlacker Deutschland,On-site,Freelance,,Engineering Manager,English,,,16.06.2026,https://www.freelancermap.de/projekt/interim-production-engineering-manager-injection-moulding-automotive-m-w-d,2026-07-13T12:57:04.565613+00:00
0,Tester | Germany,freelancermap,WISO-Dozent (m/w/d),Freelancermap Client,Köln Deutschland,On-site,Freelance,,,English,,,07:58,https://www.freelancermap.de/projekt/wiso-dozent-m-w-d,2026-07-13T12:57:04.565753+00:00
0,Tester | Germany,freelancermap,Inbetriebnehmer / Anlagentechniker / SPS-Troubleshooter Siemens S7/TIA für Automotive-Serienanlauf,Freelancermap Client,Kirchroth Deutschland,On-site,Freelance,,R,English,,,15.06.2026,https://www.freelancermap.de/projekt/inbetriebnehmer-anlagentechniker-sps-troubleshooter-siemens-s7-tia-fuer-automotive-serienanlauf,2026-07-13T12:57:04.565813+00:00
0,Tester | Germany,freelancermap,Network Firewall Engineer,Freelancermap Client,Berlin Dresden Leipzig Deutschland,On-site,Freelance,,,English,,,07:35,https://www.freelancermap.de/projekt/network-firewall-engineer-3022364,2026-07-13T12:57:04.565870+00:00
0,Tester | Germany,freelancermap,Product Marketing Manager,Freelancermap Client,Berlin Deutschland,On-site,Freelance,,,English,,,12:13,https://www.freelancermap.de/projekt/product-marketing-manager-3022623,2026-07-13T12:57:04.565932+00:00
0,Tester | Germany,freelancermap,"Fullstack Developer (Angular, NestJS, PostgreSQL, Rabbit MQ, Websockets) - m/w/d",Freelancermap Client,Remote  Frankfurt Deutschland,Remote,Freelance,,"Postgresql, Nestjs, Angular",English,,,12:55,https://www.freelancermap.de/projekt/fullstack-developer-angular-nestjs-postgresql-rabbit-mq-websockets-m-w-d,2026-07-13T12:57:04.565989+00:00
