relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Senior AutomotiveTesting Engineer(m/f/d),GULP Client,"Location: International, Bucharest",On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/a3d4176876cb11f189e08e417b6a1e17,2026-07-16T12:18:32.402476+00:00
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-07-16T12:18:32.404888+00:00
14,QA Engineer | Germany,gulp,"Senior Data Analyst (m/f/d) - Power BI, SQL, dbt Core - with railway experience - mostly remote",GULP Client,Location: Remote und Frankfurt,Remote,Freelance,,"Senior, Sql",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a58af26b70239e61d84480d,2026-07-16T12:19:25.300103+00:00
14,QA Engineer | Germany,gulp,"Documentation expert (m/f/d), technical writer (m/f/d)",GULP Client,Germany,Remote,Freelance,Can,"Jira, Confluence, Freelancer, Git, Expert",English,"Expert, Freelancer",,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/6a574a58b70239e61d80c071,2026-07-16T12:19:25.301752+00:00
14,QA Engineer | Germany,gulp,SystemsEngineer/ Electrical Systems Architect (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/2e8ab6ac7ed611f189e08e417b6a1e17,2026-07-16T12:19:25.304300+00:00
14,QA Engineer | Germany,gulp,Senior Java SoftwareEngineer(m/f/d),GULP Client,Location: Remote,Remote,Freelance,Java,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/153a12ba7ebd11f189e08e417b6a1e17,2026-07-16T12:19:25.305360+00:00
14,Test Automation | Germany,gulp,Azure Platform Engineering Consultant (m/f/d),GULP Client,"Location: Ludwigsburg, Württemberg",Remote,Freelance,,"Consultant, Azure",English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01307993,2026-07-16T12:21:59.352868+00:00
14,Test Automation | Germany,gulp,"Test Manager, Business Analyst and Requirements Manager (m/f/d)",GULP Client,"Location: Remote, und vor Ort D 56xxx",Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/18d13e00757411f189e08e417b6a1e17,2026-07-16T12:21:59.355564+00:00
14,Test Automation | Germany,gulp,"Senior Backend Developer (m/f/d) - Java, Spring Boot, Liquibase, PostgreSQL, Cloud",GULP Client,Location: Frankfurt am Main,Remote,Freelance,Java,"Senior, Spring Boot, Postgresql",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01300170,2026-07-16T12:21:59.357627+00:00
14,Test Automation | Germany,gulp,Lead Software Engineer – Data Migration (m/f/d) (80–100%) (16017),GULP Client,Location: siehe Beschreibung,Remote,Freelance,,Lead,English,Lead,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/7dd08d104abd11f189e08e417b6a1e17,2026-07-16T12:21:59.359569+00:00
14,Python Developer | Germany,gulp,Consultant (m/f/d) BSI Basic Protection & VS-NfD - mostly remote,GULP Client,Location: siehe Beschreibung,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a58af26b70239e61d844817,2026-07-16T12:22:50.431725+00:00
14,Python Developer | Germany,gulp,Stuttgart remote: DORA Business Consultant f/m/d POS75904 ServiceNow Modern Data Center,GULP Client,Location: Stuttgart,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a58a0b47de272303f005418,2026-07-16T12:22:50.433053+00:00
14,Python Developer | Germany,gulp,IT Consultant Railway Communication (m/f/d),GULP Client,Location: Remote/D6,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/369d8d067ed611f189e08e417b6a1e17,2026-07-16T12:22:50.438248+00:00
