relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Senior Softwaretester C# (m/w/d),FERCHAU,Linz Öster­reich,Hybrid,Full-time,"C, Ci/Cd","C#, Expert, Senior, Nunit, R",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/501784/senior-softwaretester-c,2026-07-16T12:59:27.589396+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-07-16T12:59:27.591365+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-07-16T12:59:27.592143+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kassel Deut­sch­land,Remote,Full-time,"C, C++, Python","Jira, Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/481993/softwaretester,2026-07-16T12:59:27.618966+00:00
14,Tester | Germany,ferchau,Verification Engineer (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,"C, Jenkins, Python","Jira, C#, Expert, Docker, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/512530/verification-engineer,2026-07-16T12:59:27.620292+00:00
14,QA Engineer | Germany,ferchau,Quality Engineer (m/w/d),FERCHAU,Frank­furt Deut­sch­land,Hybrid,Full-time,Ci/Cd,"R, Safe, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/511312/quality-engineer,2026-07-16T12:59:37.860672+00:00
14,QA Engineer | Germany,ferchau,Project Quality Assurance Engineer (m/w/d) Aerospace,FERCHAU,Stade Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/491323/project-quality-assurance-engineer-aerospace,2026-07-16T12:59:37.869675+00:00
14,QA Engineer | Germany,ferchau,Software Test Engineer (m/w/d),FERCHAU,Bremen Deut­sch­land,Vor Ort,Full-time,"Embedded Systems, Python","R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/510838/software-test-engineer,2026-07-16T12:59:37.871064+00:00
14,QA Engineer | Germany,ferchau,Ingenieur Qualitätssicherung (m/w/d) - Maschinen- & Anlagenbau,FERCHAU,Bassum Deut­sch­land,Vor Ort,Full-time,Embedded Systems,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/510850/ingenieur-qualitaetssicherung-maschinen-anlagenbau,2026-07-16T12:59:37.872410+00:00
14,Test Engineer | Germany,ferchau,Testingenieur Elektrotechnik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/242196/testingenieur-elektrotechnik,2026-07-16T12:59:48.495631+00:00
14,Test Engineer | Germany,ferchau,Software Integration & Test Engineer (m/w/d),FERCHAU,Bremen Deut­sch­land,Vor Ort,Full-time,Embedded Systems,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/509590/software-integration-test-engineer,2026-07-16T12:59:48.496746+00:00
