relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Testmanager mit EAM Erfahrung (m/w/d),Hays Client,Frankfurt,On-site,Contract,,,German,Test Manager,,13.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager-mit-eam-erfahrung-frankfurt-884856/1,2026-07-20T12:25:41.632288+00:00
14,Tester | Germany,hays,(Senior) Test Automation Engineer – Frontend & API Testing (m/w/d),Hays Client,Berlin,On-site,Contract,Test Automation,Senior,German,Senior,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer--frontend-api-testing-berlin-882447/1,2026-07-20T12:25:41.633909+00:00
14,Tester | Germany,hays,Fullstack Java Developer (m/w/d),Hays Client,Köln,On-site,Contract,Java,"Expert, R, Scrum, Angular",German,Expert,,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-fullstack-java-developer-koeln-881803/1,2026-07-20T12:25:41.634726+00:00
14,Tester | Germany,hays,Energy Trading Senior Tester (Only Nearshore) (m/f/d),Hays Client,Remote,Remote,Contract,,Senior,English,Senior,,28.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-energy-trading-senior-tester-only-nearshore-remote-872036/1,2026-07-20T12:25:41.635798+00:00
14,Tester | Germany,hays,Experte SAP Testing (m/w/d),Hays Client,Hybrid,Hybrid,Contract,Go,"Jira, Expert",German,Expert,,16.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-sap-testing-hybrid-870000/1,2026-07-20T12:25:41.636108+00:00
14,QA Engineer | Germany,hays,S&C MSAT Process Engineer (m/f/d),Hays Client,Zug,On-site,Contract,C,Expert,English,Expert,,16.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-s-c-msat-process-engineer-zug-885904/1,2026-07-20T12:26:06.648265+00:00
14,QA Engineer | Germany,hays,(Senior) Software Engineer – Fullstack (m/w/d),Hays Client,Berlin,On-site,Contract,,Senior,German,Senior,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer--fullstack-berlin-882443/1,2026-07-20T12:26:06.648557+00:00
14,QA Engineer | Germany,hays,Senior QA Experte für Medientechnik (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,"R, Senior, Expert",German,"Expert, Senior",,19.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-qa-experte-fuer-medientechnik-frankfurt-am-main-881056/1,2026-07-20T12:26:06.648825+00:00
14,QA Engineer | Germany,hays,Project Engineer - CAPEX (m/f/d),Hays Client,Visp,On-site,Contract,,Lead,English,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-project-engineer-capex-visp-877914/1,2026-07-20T12:26:06.649917+00:00
14,QA Engineer | Germany,hays,C&Q Execution Engineer (m/w/d),Hays Client,Basel Land,On-site,Contract,C,"R, Associate, Lead",German,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-c-q-execution-engineer-basel-land-877864/1,2026-07-20T12:26:06.650198+00:00
14,QA Engineer | Germany,hays,Lead Quality Engineer / Test Automation  (m/w/d),Hays Client,München,On-site,Contract,Test Automation,"Lead, R",German,Lead,,19.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-quality-engineer-test-automation--muenchen-858642/1,2026-07-20T12:26:06.650461+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Postgresql, Spring Boot, Microservices, Kubernetes, Senior, Mongodb",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-07-20T12:26:06.651791+00:00
14,Test Engineer | Germany,hays,Senior Embedded Firmware Security Engineer (m/w/d),Hays Client,Fürstenfeldbruck,On-site,Contract,Firmware,Senior,German,Senior,,07.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-embedded-firmware-security-engineer-fuerstenfeldbruck-884719/1,2026-07-20T12:26:30.525190+00:00
14,Test Engineer | Germany,hays,System Engineer / System Architect – Onboard Charger (OBC) (m/w/d),Hays Client,Kassel,Remote,Contract,,"System Architect, Architect",German,"Architect, System Architect",,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-engineer-system-architect--onboard-charger-obc-kassel-881836/1,2026-07-20T12:26:30.526491+00:00
14,Test Engineer | Germany,hays,Senior Test Engineer – Hardware Typprüfung & Prüflabormanagement (m/w/d),Hays Client,Berlin,On-site,Contract,,"Senior, R",German,Senior,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-engineer--hardware-typpruefung-prueflabormanagement-berlin-880848/1,2026-07-20T12:26:30.527029+00:00
14,Test Engineer | Austria,hays,Senior Cyber Security Engineer (m/w/d),Hays Client,Frankfurt,On-site,Contract,,Senior,German,Senior,,02.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-cyber-security-engineer-frankfurt-877659/1,2026-07-20T12:26:36.056381+00:00
14,Testingenieur | Germany,hays,Senior HiL Testingenieur (Motoren) (m/w/d),Hays Client,Friedrichshafen,On-site,Contract,Hil,Senior,German,Senior,,22.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hil-testingenieur-motoren-friedrichshafen-871448/1,2026-07-20T12:26:57.060844+00:00
14,Test Automation | Germany,hays,Lead Architect / Teamleiter IP/MPLS Design (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"Team Lead, R, Lead, Architect",German,"Architect, Lead",,17.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-architect-teamleiter-ip-mpls-design-duesseldorf-886301/1,2026-07-20T12:27:19.691786+00:00
14,Test Automation | Germany,hays,Senior Accountant (m/w/d),Hays Client,Jüchen,On-site,Contract,,"Senior, R",German,Senior,,02.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-accountant-juechen-884047/1,2026-07-20T12:27:19.692906+00:00
14,Test Automation | Germany,hays,Senior HR Analytics Consultant (m/w/d),Hays Client,Herzogenaurach,On-site,Contract,,"Consultant, Senior, R",German,"Consultant, Senior",,29.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hr-analytics-consultant-herzogenaurach-883356/1,2026-07-20T12:27:19.693712+00:00
14,Test Automation | Germany,hays,Bauleiter Elektro (Schiffbau) (m/w/d),Hays Client,Norddeutschland,On-site,Contract,,"R, Freelancer",German,Freelancer,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-bauleiter-elektro-schiffbau-norddeutschland-883209/1,2026-07-20T12:27:19.693967+00:00
14,Test Automation | Germany,hays,DevOps / CI/CD & Testarchitektur Consultant (m/w/d),Hays Client,Nordrhein-Westfalen,On-site,Contract,"Ci/Cd, Jenkins, Test Automation","Gitlab, Consultant, Devops, Gitlab Ci",German,Consultant,,22.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-ci-cd-testarchitektur-consultant-nordrhein-westfalen-882094/1,2026-07-20T12:27:19.694762+00:00
14,Test Automation | Austria,hays,PLM Data Classification Lead (m/w/d),Hays Client,Mülheim an der Ruhr,On-site,Contract,,"Lead, R",German,Lead,,16.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-plm-data-classification-lead-muelheim-an-der-ruhr-886093/1,2026-07-20T12:27:25.120354+00:00
