relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,Senior AI Engineer für die Entwicklung eines AI-basierten Assessment-Tool,Freelancermap Client,Berlin Deutschland,On-site,Freelance,,"Senior, R",German,Senior,,28.06.2026,https://www.freelancermap.de/projekt/senior-ai-engineer-fuer-die-entwicklung-eines-ai-basierten-assessment-tool,2026-07-20T12:42:57.756195+00:00
14,Tester | Germany,freelancermap,Senior Embedded Software Engineer (m/w/d) - Software Defined Radio (SDR),Freelancermap Client,München  Deutschland,On-site,Freelance,,Senior,English,Senior,,12:40,https://www.freelancermap.de/projekt/senior-embedded-software-engineer-m-w-d-software-defined-radio-sdr-3025439,2026-07-20T12:42:57.756532+00:00
14,Tester | Germany,freelancermap,Interim - SAP DRC Berater (m/w/d),Freelancermap Client,Remote Deutschland,Remote,Freelance,,Consultant,English,Consultant,,12:32,https://www.freelancermap.de/projekt/interim-sap-drc-berater-m-w-d-3025435,2026-07-20T12:42:57.756934+00:00
14,Tester | Germany,freelancermap,Senior Pega CDH Systemingenieur (m/w/d),Freelancermap Client,Frankfurt am Main Deutschland,On-site,Freelance,,Senior,English,Senior,,12:25,https://www.freelancermap.de/projekt/senior-pega-cdh-systemingenieur-m-w-d,2026-07-20T12:42:57.757209+00:00
14,Tester | Germany,freelancermap,Senior Linux Engineer (m/w/d) – Red Hat Enterprise Linux / DevSecOps / Infrastructure as Code,Freelancermap Client,München Deutschland,On-site,Freelance,,"Linux, Senior",English,Senior,,12:22,https://www.freelancermap.de/projekt/senior-linux-engineer-m-w-d-red-hat-enterprise-linux-devsecops-infrastructure-as-code,2026-07-20T12:42:57.757307+00:00
14,Tester | Germany,freelancermap,SAP Cloud ALM Berater (m/w/d),Freelancermap Client,berlin Deutschland,On-site,Freelance,,Consultant,English,Consultant,,12:18,https://www.freelancermap.de/projekt/sap-cloud-alm-berater-m-w-d-3025427,2026-07-20T12:42:57.757619+00:00
14,Tester | Germany,freelancermap,Consultant im Bereich KI Workshop gesucht - München,Freelancermap Client,münchen Deutschland,On-site,Freelance,,Consultant,English,Consultant,,12:09,https://www.freelancermap.de/projekt/consultant-im-bereich-ki-workshop-gesucht-muenchen,2026-07-20T12:42:57.757808+00:00
14,Tester | Germany,freelancermap,SAP Transformation Sublead / Overarching Technical Architect,Freelancermap Client,Hannover Deutschland,On-site,Freelance,,Architect,English,Architect,,12:07,https://www.freelancermap.de/projekt/sap-transformation-sublead-overarching-technical-architect,2026-07-20T12:42:57.757905+00:00
14,Tester | Germany,freelancermap,SAP MDG-M Expert (m/w/d) - remote/ Münster,Freelancermap Client,Remote und Münster Deutschland,Remote,Freelance,,Expert,German,Expert,,12:06,https://www.freelancermap.de/projekt/sap-mdg-m-expert-m-w-d-remote-muenster,2026-07-20T12:42:57.758001+00:00
14,Testingenieur | Switzerland,freelancermap,Senior Business Analyst (m/w/d) – Prozessdesign & Custom Solutions,Freelancermap Client,München Deutschland,On-site,Freelance,,Senior,English,Senior,,12:46,https://www.freelancermap.de/projekt/senior-business-analyst-m-w-d-prozessdesign-und-custom-solutions,2026-07-20T12:46:52.174702+00:00
14,Python Test | Austria,freelancermap,Expert (m/w/d) Camunda,www.ratbacher.de,NRW Deutschland,Remote,Freelance,,"Expert, R, Openshift",German,Expert,,12:49,https://www.freelancermap.de/projekt/expert-m-w-d-camunda,2026-07-20T12:49:54.065264+00:00
0,Tester | Germany,freelancermap,AI Learning Content Creator (m/w/d),Freelancermap Client,Berlin Deutschland,On-site,Freelance,,,English,,,09.07.2026,https://www.freelancermap.de/projekt/ai-learning-content-creator-m-w-d-3021723,2026-07-20T12:42:57.756063+00:00
0,Tester | Germany,freelancermap,Reinforcement Learning Engineer (m/w/d),Freelancermap Client,München Deutschland,On-site,Freelance,,,English,,,15.07.2026,https://www.freelancermap.de/projekt/reinforcement-learning-engineer-m-w-d,2026-07-20T12:42:57.756304+00:00
0,Tester | Germany,freelancermap,Data Engineer mit Azure/Fabric/Terraform-Erfahrung (m/w/d) - 100% Remote - Start: 17.08.2026!,Freelancermap Client,Nürnberg Deutschland,Remote,Freelance,,"Terraform, Azure",German,,,12:41,https://www.freelancermap.de/projekt/data-engineer-mit-azure-fabric-terraform-erfahrung-m-w-d-100-prozent-remote-start-17-08-2026,2026-07-20T12:42:57.756428+00:00
0,Tester | Germany,freelancermap,Flutter/Dart Entwickler mit Schwerpunkt Barrierefreiheit (m/w/d),Freelancermap Client,Frankfurt am Main  Deutschland,On-site,Freelance,,Dart,German,,,12:40,https://www.freelancermap.de/projekt/flutter-dart-entwickler-mit-schwerpunkt-barrierefreiheit-m-w-d,2026-07-20T12:42:57.756632+00:00
