relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Senior AutomotiveTesting Engineer(m/f/d),GULP Client,"Location: International, Bucharest",On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/a3d4176876cb11f189e08e417b6a1e17,2026-07-20T12:54:38.055545+00:00
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-07-20T12:54:38.057413+00:00
14,QA Engineer | Germany,gulp,"Solution Architect (m/f/d) IPS / ILS - ANÜ, 50% remote",GULP Client,Location: Hamburg,Remote,Freelance,,"Architect, Solution Architect",English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01311864,2026-07-20T12:55:31.210591+00:00
14,QA Engineer | Germany,gulp,System Architect MBSE Model Based SystemEngineeringEnergy Systems for Residential Buildings (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,"Architect, System Architect",English,"Architect, System Architect",,Recent,https://www.gulp.de/gulp2/g/projekte/extern/81000508842c11f189e08e417b6a1e17,2026-07-20T12:55:31.211259+00:00
14,QA Engineer | Germany,gulp,Senior Mechanical DesignEngineer– Automotive Key Fobs (m/f/d),GULP Client,Location: D93,On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a5df52646fe7aa13cd73b90,2026-07-20T12:55:31.213144+00:00
14,QA Engineer | Germany,gulp,Senior Physical DesignEngineer(m/f/d),GULP Client,Location: D89,On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a5daed546fe7aa13cd6f21f,2026-07-20T12:55:31.215679+00:00
14,Test Automation | Germany,gulp,Senior Software Engineer Frontend,GULP Client,Location: München,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a5a22da8ef2dcfc79b303ba,2026-07-20T12:58:03.724408+00:00
14,Test Automation | Germany,gulp,Senior Software Engineer Frontend,GULP Client,Location: München,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a5a22d88ef2dcfc79b30397,2026-07-20T12:58:03.725002+00:00
14,Test Automation | Germany,gulp,Partner company DevOps (m/f/d) GitLab / Docker CI/CD expert - Remote and Frankfurt,GULP Client,Location: Frankfurt am Main,Remote,Freelance,Ci/Cd,"Devops, Docker, Expert, Gitlab",English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a58eab17de272303f00b14b,2026-07-20T12:58:03.725597+00:00
14,Test Automation | Germany,gulp,Senior Cloud Data Engineer (m/f/d) – Databricks & Marketing Tech (MarTech),GULP Client,Location: Cologne,Remote,Freelance,,"Senior, Databricks",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01310022,2026-07-20T12:58:03.727718+00:00
14,Test Automation | Germany,gulp,Azure Platform Engineering Consultant (m/f/d),GULP Client,"Location: Ludwigsburg, Württemberg",Remote,Freelance,,"Consultant, Azure",English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01307993,2026-07-20T12:58:03.728215+00:00
14,Python Developer | Germany,gulp,Senior Embedded LinuxDeveloperin the field of LLRP (ARM SoC) (m/f/d),GULP Client,Location: Remote,Remote,Freelance,Arm,"Senior, Soc",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/bac1e09e842311f189e08e417b6a1e17,2026-07-20T12:58:54.264970+00:00
14,Python Developer | Germany,gulp,"Senior Data Analyst / BIDeveloper(Power BI, dbt, SQL, AWS & mobility environment) (m/f/d)",GULP Client,Location: Frankfurt am Main,Remote,Freelance,,"Senior, Aws, Sql",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01309922,2026-07-20T12:58:54.269222+00:00
