relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,xing,Senior Test Manager (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,"Senior, Test Manager",,Recent,https://www.xing.com/jobs/hannover-senior-test-manager-155410504,2026-07-23T12:41:32.297154+00:00
14,Tester | Germany,xing,Eine Testmanagerin / Ein Testmanager (m/w/d) für komplexe Softwareentwicklung im Bereich der Öffentlichen Sicherheit,XING Employer,Germany/Remote,Remote,Full-time,,R,German,Test Manager,,Recent,https://www.xing.com/jobs/koeln-testmanagerin-testmanager-komplexe-softwareentwicklung-bereich-oeffentlichen-sicherheit-155681970,2026-07-23T12:41:32.297591+00:00
14,QA Engineer | Germany,xing,Senior QA Engineer - Testautomatisierung / API Testing / Mobile Apps / Mobile Devices (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Senior,English,Senior,,Recent,https://www.xing.com/jobs/wiesbaden-senior-qa-engineer-testautomatisierung-api-testing-mobile-apps-mobile-devices-156476792,2026-07-23T12:42:32.572813+00:00
14,QA Engineer | Germany,xing,Support Consultant (m/w/d) CS/QA,XING Employer,Germany/Remote,Remote,Full-time,,Consultant,English,Consultant,,Recent,https://www.xing.com/jobs/bautzen-support-consultant-cs-qa-156223384,2026-07-23T12:42:32.573190+00:00
14,Test Engineer | Germany,xing,Embedded Software Test Engineer und Test Manager m/w/d,XING Employer,Germany/Remote,Remote,Full-time,,,German,Test Manager,,Recent,https://www.xing.com/jobs/aschheim-embedded-software-test-engineer-test-manager-156306066,2026-07-23T12:43:31.944348+00:00
14,Test Engineer | Germany,xing,Senior Test Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/bern-senior-test-engineer-155882168,2026-07-23T12:43:31.944736+00:00
14,Firmware Engineer | Germany,xing,Senior Firmwareentwickler (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/klingenberg-main-senior-firmwareentwickler-155249032,2026-07-23T12:48:19.745159+00:00
0,Tester | Germany,xing,QA Engineer / Test-Engineer* Hard- & Software Zutrittskontrolltechnik,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/albstadt-qa-engineer-test-engineer-hard-software-zutrittskontrolltechnik-156335765,2026-07-23T12:41:32.297051+00:00
0,Tester | Germany,xing,Servicemonteur/in für Prüfanlagen der Luftfahrtindustrie im Großraum Hamburg (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,R,German,,,Recent,https://www.xing.com/jobs/neu-wulmstorf-servicemonteur-pruefanlagen-luftfahrtindustrie-grossraum-hamburg-154790442,2026-07-23T12:41:32.297230+00:00
0,Tester | Germany,xing,Messtechniker (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/mannheim-messtechniker-154793570,2026-07-23T12:41:32.297362+00:00
0,Tester | Germany,xing,Rechenkern Entwickler - Mathematik / Aktuar / Test (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/montabaur-rechenkern-entwickler-mathematik-aktuar-test-155643070,2026-07-23T12:41:32.297429+00:00
0,Tester | Germany,xing,IT Testprogramm-Manager:in (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/mannheim-it-testprogramm-manager-155397595,2026-07-23T12:41:32.297493+00:00
0,Tester | Germany,xing,Prüferin / Prüfer (m/w/d) im Testzentrum der Signaltechnik,XING Employer,Germany/Remote,Remote,Full-time,,,German,,,Recent,https://www.xing.com/jobs/moenchengladbach-prueferin-pruefer-testzentrum-signaltechnik-155368276,2026-07-23T12:41:32.297656+00:00
0,Tester | Germany,xing,Softwaretester Qualitätssicherung - Automotive / ERP (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/murnau-staffelsee-softwaretester-qualitaetssicherung-automotive-erp-156261211,2026-07-23T12:41:32.297723+00:00
0,QA Engineer | Germany,xing,QA Engineer (m/w/d) Web & Mobile,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/wiesbaden-qa-engineer-web-mobile-154261136,2026-07-23T12:42:32.572978+00:00
0,QA Engineer | Germany,xing,QA Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/berlin-qa-engineer-156389178,2026-07-23T12:42:32.573047+00:00
0,QA Engineer | Germany,xing,Quality Assurance Engineer (m/w/d) - remote DE,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/halle-saale-quality-assurance-engineer-remote-de-155999936,2026-07-23T12:42:32.573118+00:00
0,QA Engineer | Germany,xing,QA Engineer (Mobile & Web),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/wien-qa-engineer-mobile-web-156220104,2026-07-23T12:42:32.573321+00:00
0,QA Engineer | Germany,xing,QA Engineer (w/m/x) AI Infrastructure,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/muenchen-qa-engineer-ai-infrastructure-155717382,2026-07-23T12:42:32.573382+00:00
0,QA Engineer | Germany,xing,QA Engineer (Manual & Automated Testing) (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/berlin-qa-engineer-manual-automated-testing-156480721,2026-07-23T12:42:32.573442+00:00
0,Test Engineer | Germany,xing,SOFTWARE TEST ENGINEER (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/salzburg-software-test-engineer-155504508,2026-07-23T12:43:31.944797+00:00
0,Test Engineer | Germany,xing,Test Engineer (d/f/m),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/manching-test-engineer-155981523,2026-07-23T12:43:31.944856+00:00
0,Test Engineer | Germany,xing,Software Test Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/bern-software-test-engineer-156188232,2026-07-23T12:43:31.944977+00:00
0,Testingenieur | Germany,xing,Entwicklungs- und Testingenieur (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,German,,,Recent,https://www.xing.com/jobs/lueneburg-entwicklungs-testingenieur-156559243,2026-07-23T12:44:28.839366+00:00
0,Testingenieur | Germany,xing,Trainer/Testingenieur für Anwendersoftware Aufklärungssysteme (w/m/d),XING Employer,Germany/Remote,Remote,Full-time,,R,English,,,Recent,https://www.xing.com/jobs/ulm-trainer-testingenieur-anwendersoftware-aufklaerungssysteme-156410458,2026-07-23T12:44:28.839455+00:00
0,Testingenieur | Germany,xing,Prüfingenieur*in im Schutztechnik-Gerätelabor,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/berlin-pruefingenieur-schutztechnik-geraetelabor-156561816,2026-07-23T12:44:28.839550+00:00
0,Testingenieur | Germany,xing,Prüftechniker / Prüfingenieur (m/w/d) am Standort Neumünster,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/neumuenster-prueftechniker-pruefingenieur-standort-neumuenster-155238520,2026-07-23T12:44:28.839621+00:00
0,Testingenieur | Germany,xing,Prüftechniker / Prüfingenieur (m/w/d) am Standort Hamburg,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/hamburg-prueftechniker-pruefingenieur-standort-hamburg-155238524,2026-07-23T12:44:28.839811+00:00
0,Testingenieur | Germany,xing,Prüfmittelentwickler (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/radeburg-pruefmittelentwickler-155516252,2026-07-23T12:44:28.839932+00:00
0,Testingenieur | Germany,xing,Test Engineer (w/m) 100% - Hybrid,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/aarburg-test-engineer-100-hybrid-153687944,2026-07-23T12:44:28.839996+00:00
