relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Senior Softwaretester C# (m/w/d),FERCHAU,Linz Öster­reich,Hybrid,Full-time,"C, Ci/Cd","Expert, Senior, R, Nunit, C#",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/501784/senior-softwaretester-c,2026-07-23T13:10:15.342862+00:00
14,Tester | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Frei­burg im Breisgau Deut­sch­land,Vor Ort,Full-time,"C, Java, Python","Kanban, Expert, R, Scrum, C#, Git",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/133507/softwaretester-software-test-engineer,2026-07-23T13:10:15.345588+00:00
14,Tester | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,,"Scrum, R, Expert, Kanban",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/445270/softwaretester-software-test-engineer,2026-07-23T13:10:15.348415+00:00
14,Tester | Germany,ferchau,(Junior) Testingenieur / Software Tester (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,"C, C++, Python","Expert, R, Junior",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/447541/junior-testingenieur-software-tester,2026-07-23T13:10:15.348949+00:00
14,QA Engineer | Germany,ferchau,Quality Engineer (m/w/d),FERCHAU,Frank­furt Deut­sch­land,Hybrid,Full-time,Ci/Cd,"Kanban, Expert, R, Devops, Scrum, Agile, Safe",German,"Expert, Test Manager",,Recent,https://touch.ferchau.com/de/de/job/513796/quality-engineer,2026-07-23T13:10:24.217029+00:00
14,QA Engineer | Germany,ferchau,Project Quality Assurance Engineer (m/w/d) Aerospace,FERCHAU,Stade Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/491323/project-quality-assurance-engineer-aerospace,2026-07-23T13:10:24.217716+00:00
14,QA Engineer | Germany,ferchau,Software Test Engineer (m/w/d),FERCHAU,Bremen Deut­sch­land,Vor Ort,Full-time,"Embedded Systems, Python","R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/510838/software-test-engineer,2026-07-23T13:10:24.220167+00:00
14,Test Engineer | Germany,ferchau,Testingenieur Elektrotechnik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/242196/testingenieur-elektrotechnik,2026-07-23T13:10:34.361917+00:00
14,Test Engineer | Germany,ferchau,Software Integration & Test Engineer (m/w/d),FERCHAU,Bremen Deut­sch­land,Vor Ort,Full-time,Embedded Systems,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/509590/software-integration-test-engineer,2026-07-23T13:10:34.362655+00:00
14,Test Engineer | Germany,ferchau,Systemtest Engineer (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,System Testing,"Expert, R, Jira, Linux",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/511081/systemtest-engineer,2026-07-23T13:10:34.364318+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Elektronik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/349012/testingenieur-elektronik,2026-07-23T13:10:43.438142+00:00
14,Test Automation | Germany,ferchau,Senior Automation Engineer (m/w/d),FERCHAU,Burg­kir­chen an der Alz Deut­sch­land,Remote,Full-time,,Senior,German,Senior,,Recent,https://touch.ferchau.com/de/de/job/440530/senior-automation-engineer,2026-07-23T13:10:52.931955+00:00
14,Python Developer | Germany,ferchau,Fullstack Software Developer (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,"Jenkins, Python","Expert, R, Angular",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398737/fullstack-software-developer,2026-07-23T13:11:03.117844+00:00
14,Python Developer | Germany,ferchau,Fullstack Developer (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,"C, Java, Python","React, Expert, Vue.Js, Sql, R, Nosql, Angular, C#",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/445282/fullstack-developer,2026-07-23T13:11:03.119526+00:00
14,Python Test | Germany,ferchau,IoT Test and Evaluation Engineer (m/w/d),FERCHAU,Kaufe­ring Deut­sch­land,Remote,Full-time,"C, Pytest, Python","Expert, R, Jira",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/504307/iot-test-and-evaluation-engineer,2026-07-23T13:11:13.849090+00:00
14,Python Test | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Rostock Deut­sch­land,Remote,Full-time,"C, C++, Python","Expert, R",German,"Expert, Test Manager",,Recent,https://touch.ferchau.com/de/de/job/288574/softwaretester,2026-07-23T13:11:13.850384+00:00
