relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Testingenieur | USA,linkedin,Test Engineer,Google,"Mountain View, CA",Remote,Internship,"Firmware, Test Automation",Lead,English,Lead,,Recent,https://www.linkedin.com/jobs/view/test-engineer-at-google-4434148716,2026-07-27T12:58:20.696860+00:00
29,Tester | Slovakia,linkedin,Test Professional (m/f/d),Siemens Healthineers,"Košice, Kosice, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/test-professional-m-f-d-at-siemens-healthineers-4431961974,2026-07-27T12:57:06.782240+00:00
29,Tester | Slovakia,linkedin,Automation Tester (f/m/d),Siemens Healthineers,"Košice, Kosice, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/automation-tester-f-m-d-at-siemens-healthineers-4423663277,2026-07-27T12:57:06.782405+00:00
29,Tester | Poland,linkedin,Tester/Testerka,Audioteka,Poland,On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/tester-testerka-at-audioteka-4438180638,2026-07-27T12:57:11.621451+00:00
29,QA Engineer | Slovakia,linkedin,Automation Tester (f/m/d),Siemens Healthineers,"Žilina, Zilina, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/automation-tester-f-m-d-at-siemens-healthineers-4423655650,2026-07-27T12:57:29.020821+00:00
29,Test Engineer | USA,linkedin,"Test Engineer, Amazon Devices Reverse Logistics",Amazon Lab126,"Lexington, KY",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/test-engineer-amazon-devices-reverse-logistics-at-amazon-lab126-4443041070,2026-07-27T12:57:58.459654+00:00
29,Testingenieur | Switzerland,linkedin,System Test Engineer in Building Technologies 80-100%,Siemens,"Zug, Zug, Switzerland",Remote,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/system-test-engineer-in-building-technologies-80-100%25-at-siemens-4440239692,2026-07-27T12:58:08.330981+00:00
29,Testingenieur | Slovakia,linkedin,Tester s nemeckým jazykom (ž/m),Siemens,"Žilina, Zilina, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/tester-s-nemeck%C3%BDm-jazykom-%C5%BE-m-at-siemens-4423952200,2026-07-27T12:58:13.249261+00:00
29,Testingenieur | USA,linkedin,System Level Test Engineer,NVIDIA,"Santa Clara, CA",On-site,Contract,"Bash, Can, Firmware, Python, Shell","Linux, Soc",English,,,Recent,https://www.linkedin.com/jobs/view/system-level-test-engineer-at-nvidia-4437934172,2026-07-27T12:58:20.697197+00:00
29,Python Developer | Poland,linkedin,Python Developer,Intellias,Poland,On-site,Full-time,Python,,English,,,Recent,https://pl.linkedin.com/jobs/view/python-developer-at-intellias-4437171021,2026-07-27T12:59:02.836535+00:00
29,Python Test | USA,linkedin,"Manufacturing Test Engineer, Manufacturing Test Engineer",Amazon Web Services (AWS),"Florence, KY",On-site,Full-time,,"Amazon Web Services, Aws",English,,,Recent,https://www.linkedin.com/jobs/view/manufacturing-test-engineer-manufacturing-test-engineer-at-amazon-web-services-aws-4443023773,2026-07-27T12:59:27.416015+00:00
29,Firmware Engineer | Germany,linkedin,"Firmware Engineer, Amazon Robotics",Amazon,"Munich, Bavaria, Germany",On-site,Full-time,Firmware,,English,,,Recent,https://de.linkedin.com/jobs/view/firmware-engineer-amazon-robotics-at-amazon-4443058110,2026-07-27T12:59:32.358380+00:00
29,Firmware Engineer | Austria,linkedin,Embedded Crypto Software Developer (m/f/d),NXP Semiconductors,"Gratkorn, Styria, Austria",On-site,Full-time,,,English,,,Recent,https://at.linkedin.com/jobs/view/embedded-crypto-software-developer-m-f-d-at-nxp-semiconductors-4431883741,2026-07-27T12:59:34.819231+00:00
29,Firmware Engineer | Slovakia,linkedin,C++ Developer (ž/m),Siemens,"Žilina, Zilina, Slovakia",Remote,Full-time,"C, C++","R, Git",English,,,Recent,https://sk.linkedin.com/jobs/view/c%2B%2B-developer-%C5%BE-m-at-siemens-4404730366,2026-07-27T12:59:42.190651+00:00
29,Firmware Engineer | Poland,linkedin,"Embedded Software Engineer II, Ring, Ring",Amazon,Gdansk Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/embedded-software-engineer-ii-ring-ring-at-amazon-4443040904,2026-07-27T12:59:47.050108+00:00
29,Firmware Engineer | Poland,linkedin,"Embedded Software Dev Engineer, Ring Devices",Amazon,Gdansk Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/embedded-software-dev-engineer-ring-devices-at-amazon-4443038197,2026-07-27T12:59:47.050352+00:00
29,Firmware Engineer | United Kingdom,linkedin,"Embedded Software Engineer, Ring",Amazon,"Cambridge, England, United Kingdom",On-site,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/embedded-software-engineer-ring-at-amazon-4443037143,2026-07-27T12:59:51.982951+00:00
14,Tester | Germany,linkedin,Softwaretester (m/w/d),FERCHAU,"Lübeck, Schleswig-Holstein, Germany",Remote,Contract,Test Automation,"R, Expert",German,Expert,,Recent,https://de.linkedin.com/jobs/view/softwaretester-m-w-d-at-ferchau-4438589012,2026-07-27T12:56:56.927310+00:00
14,Tester | Austria,linkedin,Test Engineer,SCIENTIFIC GAMES,"Vienna, Austria",Remote,Contract,,"Jira, Agile, Kanban, Linux, Scrum, Expert, Cucumber",English,Expert,,Recent,https://at.linkedin.com/jobs/view/test-engineer-at-scientific-games-4439199848,2026-07-27T12:56:59.374347+00:00
14,Tester | Austria,linkedin,SOFTWARETESTER:IN (W/M/X),IT-Services der Sozialversicherung GmbH,"Vienna, Vienna, Austria",Remote,Full-time,"Java, Playwright, Selenium, Test Automation, Typescript","Jira, Confluence, Zephyr, Architect, Junit, Bdd, Restassured, Expert, Postman, R",German,"Architect, Expert",,Recent,https://at.linkedin.com/jobs/view/softwaretester-in-w-m-x-at-it-services-der-sozialversicherung-gmbh-4427933384,2026-07-27T12:56:59.374937+00:00
14,Tester | Czech Republic,linkedin,Quality Assurance Senior,Grupo Ramos,"Santo Domingo, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/quality-assurance-senior-at-grupo-ramos-4435802704,2026-07-27T12:57:09.136368+00:00
14,QA Engineer | Slovakia,linkedin,Senior Quality Assurance Engineer,UNIQA Group Services,"Nitra Region, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-uniqa-group-services-4431527332,2026-07-27T12:57:29.020309+00:00
