relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,PEGA Expert (m/f/d),Hays Client,Vienna,On-site,Contract,Unit Testing,Expert,English,Expert,,24.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-pega-expert-vienna-887332/1,2026-07-27T13:03:19.871470+00:00
14,Tester | Germany,hays,Testmanager mit EAM Erfahrung (m/w/d),Hays Client,Frankfurt,On-site,Contract,,,German,Test Manager,,13.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager-mit-eam-erfahrung-frankfurt-884856/1,2026-07-27T13:03:19.872670+00:00
14,Tester | Germany,hays,(Senior) Test Automation Engineer – Frontend & API Testing (m/w/d),Hays Client,Berlin,On-site,Contract,Test Automation,Senior,German,Senior,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer--frontend-api-testing-berlin-882447/1,2026-07-27T13:03:19.873734+00:00
14,Tester | Germany,hays,Energy Trading Senior Tester (Only Nearshore) (m/f/d),Hays Client,Remote,Remote,Contract,,Senior,English,Senior,,28.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-energy-trading-senior-tester-only-nearshore-remote-872036/1,2026-07-27T13:03:19.875325+00:00
14,Tester | Germany,hays,Experte SAP Testing (m/w/d),Hays Client,Hybrid,Hybrid,Contract,Go,"Expert, Jira",German,Expert,,16.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-sap-testing-hybrid-870000/1,2026-07-27T13:03:19.875583+00:00
14,QA Engineer | Germany,hays,S&C MSAT Process Engineer (m/f/d),Hays Client,Zug,On-site,Contract,C,Expert,English,Expert,,16.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-s-c-msat-process-engineer-zug-885904/1,2026-07-27T13:03:43.586111+00:00
14,QA Engineer | Germany,hays,(Senior) Software Engineer – Fullstack (m/w/d),Hays Client,Berlin,On-site,Contract,,Senior,German,Senior,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer--fullstack-berlin-882443/1,2026-07-27T13:03:43.586373+00:00
14,QA Engineer | Germany,hays,Senior QA Experte für Medientechnik (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,"Expert, Senior, R",German,"Expert, Senior",,19.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-qa-experte-fuer-medientechnik-frankfurt-am-main-881056/1,2026-07-27T13:03:43.586639+00:00
14,QA Engineer | Germany,hays,Project Engineer - CAPEX (m/f/d),Hays Client,Visp,On-site,Contract,,Lead,English,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-project-engineer-capex-visp-877914/1,2026-07-27T13:03:43.587444+00:00
14,QA Engineer | Germany,hays,C&Q Execution Engineer (m/w/d),Hays Client,Basel Land,On-site,Contract,C,"R, Lead, Associate",German,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-c-q-execution-engineer-basel-land-877864/1,2026-07-27T13:03:43.587694+00:00
14,QA Engineer | Germany,hays,Lead Quality Engineer / Test Automation  (m/w/d),Hays Client,München,On-site,Contract,Test Automation,"R, Lead",German,Lead,,19.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-quality-engineer-test-automation--muenchen-858642/1,2026-07-27T13:03:43.587948+00:00
