relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Senior Softwaretester C# (m/w/d),FERCHAU,Linz Öster­reich,Hybrid,Full-time,"C, Ci/Cd","C#, Nunit, Senior, R, Expert",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/501784/senior-softwaretester-c,2026-07-27T14:10:41.818896+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-07-27T14:10:41.820719+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-07-27T14:10:41.822628+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Hybrid,Full-time,,"Testng, Kanban, R, Expert, Scrum, Junit",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/307261/softwaretester,2026-07-27T14:10:41.823474+00:00
14,Tester | Germany,ferchau,Systemtester (m/w/d),FERCHAU,Kassel Deut­sch­land,Hybrid,Full-time,"C, Java, Python","C#, Jira, R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/472864/systemtester,2026-07-27T14:10:41.824229+00:00
14,Tester | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Frei­burg im Breisgau Deut­sch­land,Vor Ort,Full-time,"C, Java, Python","C#, Git, Kanban, R, Expert, Scrum",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/133507/softwaretester-software-test-engineer,2026-07-27T14:10:41.827669+00:00
14,Tester | Germany,ferchau,Systemtester (m/w/d),FERCHAU,Mann­heim Deut­sch­land,Vor Ort,Full-time,,"R, Sql, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443281/systemtester,2026-07-27T14:10:41.828460+00:00
14,QA Engineer | Germany,ferchau,Software Quality Engineer (m/w/d),FERCHAU,Frank­furt am Main Deut­sch­land,Hybrid,Full-time,"Ci/Cd, Java","Kanban, R, Expert, Cucumber, Scrum",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443530/software-quality-engineer,2026-07-27T14:10:52.805667+00:00
14,QA Engineer | Germany,ferchau,Quality Engineer (m/w/d),FERCHAU,Frank­furt Deut­sch­land,Hybrid,Full-time,Ci/Cd,"Agile, Kanban, R, Expert, Scrum, Safe, Devops",German,"Expert, Test Manager",,Recent,https://touch.ferchau.com/de/de/job/513796/quality-engineer,2026-07-27T14:10:52.821063+00:00
14,QA Engineer | Germany,ferchau,Ingenieur Qualitätssicherung (m/w/d) - Maschinen- & Anlagenbau,FERCHAU,Bassum Deut­sch­land,Vor Ort,Full-time,Embedded Systems,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/510850/ingenieur-qualitaetssicherung-maschinen-anlagenbau,2026-07-27T14:10:52.827428+00:00
14,Test Engineer | Germany,ferchau,Testingenieur Elektrotechnik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/242196/testingenieur-elektrotechnik,2026-07-27T14:11:02.989812+00:00
