relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,D365 Testmanager (m/w/d),Hays Client,Baden-Württemberg,On-site,Contract,Test Automation,R,German,Test Manager,,29.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-d365-testmanager-baden-wuerttemberg-887665/1,2026-07-30T12:00:42.999447+00:00
14,Tester | Germany,hays,Testmanager mit EAM Erfahrung (m/w/d),Hays Client,Frankfurt,On-site,Contract,,,German,Test Manager,,13.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager-mit-eam-erfahrung-frankfurt-884856/1,2026-07-30T12:00:43.001674+00:00
14,Tester | Germany,hays,(Senior) Test Automation Engineer – Frontend & API Testing (m/w/d),Hays Client,Berlin,On-site,Contract,Test Automation,Senior,German,Senior,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer--frontend-api-testing-berlin-882447/1,2026-07-30T12:00:43.002720+00:00
14,Tester | Germany,hays,Experte SAP Testing (m/w/d),Hays Client,Hybrid,Hybrid,Contract,Go,"Expert, Jira",German,Expert,,16.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-sap-testing-hybrid-870000/1,2026-07-30T12:00:43.004361+00:00
14,QA Engineer | Germany,hays,S&C MSAT Process Engineer (m/f/d),Hays Client,Zug,On-site,Contract,C,Expert,English,Expert,,16.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-s-c-msat-process-engineer-zug-885904/1,2026-07-30T12:02:12.880975+00:00
14,QA Engineer | Germany,hays,(Senior) Software Engineer – Fullstack (m/w/d),Hays Client,Berlin,On-site,Contract,,Senior,German,Senior,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer--fullstack-berlin-882443/1,2026-07-30T12:02:12.881272+00:00
14,QA Engineer | Germany,hays,Senior QA Experte für Medientechnik (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,"Senior, Expert, R",German,"Expert, Senior",,19.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-qa-experte-fuer-medientechnik-frankfurt-am-main-881056/1,2026-07-30T12:02:12.881548+00:00
14,QA Engineer | Germany,hays,Project Engineer - CAPEX (m/f/d),Hays Client,Visp,On-site,Contract,,Lead,English,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-project-engineer-capex-visp-877914/1,2026-07-30T12:02:12.882371+00:00
14,QA Engineer | Germany,hays,C&Q Execution Engineer (m/w/d),Hays Client,Basel Land,On-site,Contract,C,"R, Lead, Associate",German,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-c-q-execution-engineer-basel-land-877864/1,2026-07-30T12:02:12.882627+00:00
14,QA Engineer | Germany,hays,Lead Quality Engineer / Test Automation  (m/w/d),Hays Client,München,On-site,Contract,Test Automation,"Lead, R",German,Lead,,19.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-quality-engineer-test-automation--muenchen-858642/1,2026-07-30T12:02:12.882888+00:00
14,Test Engineer | Germany,hays,Senior Embedded Firmware Security Engineer (m/w/d),Hays Client,Fürstenfeldbruck,On-site,Contract,Firmware,Senior,German,Senior,,07.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-embedded-firmware-security-engineer-fuerstenfeldbruck-884719/1,2026-07-30T12:03:23.768055+00:00
