relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,Drupal Developer / Web Design Freelancer,Freelancermap Client,Koblenz Deutschland,On-site,Freelance,,Freelancer,English,Freelancer,,04.08.2026,https://www.freelancermap.de/projekt/drupal-developer-web-design-freelancer,2026-08-06T12:32:33.238128+00:00
14,Tester | Germany,freelancermap,Senior Entwickler für KI-gestützten Hausverwaltungs-Copilot gesucht,Freelancermap Client,Düsseldorf Deutschland,On-site,Freelance,,"R, Senior",English,Senior,,04.08.2026,https://www.freelancermap.de/projekt/senior-entwickler-fuer-ki-gestuetzten-hausverwaltungs-copilot-gesucht,2026-08-06T12:32:33.238299+00:00
14,Tester | Germany,freelancermap,Freelancer (m/w/d) Bauleitung Tiefbau,Freelancermap Client,Ulm Deutschland,On-site,Freelance,,Freelancer,English,Freelancer,,05.08.2026,https://www.freelancermap.de/projekt/freelancer-m-w-d-bauleitung-tiefbau,2026-08-06T12:32:33.238432+00:00
14,Tester | Germany,freelancermap,Senior Business Controller / Business Analyst (m/w/d) Energiewirtschaft ID27133-1,Freelancermap Client,Chemnitz Deutschland,On-site,Freelance,,Senior,English,Senior,,12:27,https://www.freelancermap.de/projekt/senior-business-controller-business-analyst-m-w-d-energiewirtschaft-id27133-1,2026-08-06T12:32:33.238743+00:00
14,Tester | Germany,freelancermap,"IT - Test Manager e.g. SAP, S/4 Hana, FI, CO, MM, SD, PP, Scrum, Hybrid, Test Automation.. (m/f/d)",Freelancermap Client,Memmingen Deutschland,Hybrid,Freelance,Test Automation,Scrum,English,Test Manager,,12:24,https://www.freelancermap.de/projekt/it-test-manager-e-g-sap-s-4-hana-fi-co-mm-sd-pp-scrum-hybrid-test-automation-m-f-d,2026-08-06T12:32:33.238916+00:00
14,Tester | Germany,freelancermap,SSU Lead (Veeva) - Remote work in European Union (EU Citizens / Residents of European Union only),Freelancermap Client,Frankfurt  Deutschland,Remote,Freelance,,Lead,English,Lead,,12:22,https://www.freelancermap.de/projekt/ssu-lead-veeva-remote-work-in-european-union-eu-citizens-residents-of-european-union-only,2026-08-06T12:32:33.239037+00:00
14,Tester | Germany,freelancermap,IT Infrastructure Architect (m/w/d),Freelancermap Client,Bonn Deutschland,On-site,Freelance,,Architect,English,Architect,,12:21,https://www.freelancermap.de/projekt/it-infrastructure-architect-m-w-d-3032634,2026-08-06T12:32:33.239220+00:00
14,Tester | Switzerland,freelancermap,80% Remote: VMware Infrastructure Consultant mit gültiger SÜ2 (m/w/d),Freelancermap Client,Frankfurt Deutschland,Remote,Freelance,,Consultant,German,Consultant,,12:32,https://www.freelancermap.de/projekt/80-prozent-remote-vmware-infrastructure-consultant-mit-gueltiger-sue2-m-w-d,2026-08-06T12:33:06.555781+00:00
14,QA Engineer | Germany,freelancermap,"SAP FI Senior-Berater (m/w/d) – Freelance, S/4HANA Template-Rollout",Freelancermap Client,Frankfurt am Main Deutschland,On-site,Freelance,,"Consultant, Senior",English,"Consultant, Senior",,12:33,https://www.freelancermap.de/projekt/sap-fi-senior-berater-m-w-d-freelance-s-4hana-template-rollout,2026-08-06T12:33:41.733042+00:00
14,Testingenieur | Switzerland,freelancermap,Berater Digitale Barrierefreiheit (m/w/d),Freelancermap Client,München Deutschland,On-site,Freelance,,Consultant,English,Consultant,,12:36,https://www.freelancermap.de/projekt/berater-digitale-barrierefreiheit-m-w-d,2026-08-06T12:36:30.602641+00:00
0,Tester | Germany,freelancermap,Kooperationsunternehmen mit festangestellten UFT-/QA-Spezialisten gesucht,Freelancermap Client,Düsseldorf Deutschland,On-site,Freelance,,,German,,,31.07.2026,https://www.freelancermap.de/projekt/kooperationsunternehmen-mit-festangestellten-uft-qa-spezialisten-gesucht,2026-08-06T12:32:33.238225+00:00
0,Tester | Germany,freelancermap,Kooperationsunternehmen mit Testmanagement sowie TestBench-/Expleo-Expertise gesucht,Freelancermap Client,Düsseldorf Deutschland,On-site,Freelance,,,German,,,01.08.2026,https://www.freelancermap.de/projekt/kooperationsunternehmen-mit-testmanagement-sowie-testbench-expleo-expertise-gesucht,2026-08-06T12:32:33.238368+00:00
0,Tester | Germany,freelancermap,Erfahrener Project Documentation Engineer für internationalen Maschinen- und Anlagenbau,Freelancermap Client,Düsseldorf Deutschland,On-site,Freelance,,R,German,,,23.07.2026,https://www.freelancermap.de/projekt/erfahrener-project-documentation-engineer-fuer-internationalen-maschinen-und-anlagenbau,2026-08-06T12:32:33.238492+00:00
0,Tester | Germany,freelancermap,Steuerfachkraft für Jahresabschlüsse und Steuererklärungen gesucht,Freelancermap Client,Germany,On-site,Freelance,,R,German,,,31.07.2026,https://www.freelancermap.de/projekt/steuerfachkraft-fuer-jahresabschluesse-und-steuererklaerungen-gesucht,2026-08-06T12:32:33.238563+00:00
0,Tester | Germany,freelancermap,Projektleiter / Koordinator Digitale Barrierefreiheit (m/w/d),Freelancermap Client,München Deutschland,On-site,Freelance,,Project Manager,English,,,12:31,https://www.freelancermap.de/projekt/projektleiter-koordinator-digitale-barrierefreiheit-m-w-d,2026-08-06T12:32:33.238626+00:00
0,Tester | Germany,freelancermap,Freiberuflich: Entwickler - OSPlus Kredit/Förder (m/w/d),Freelancermap Client,Frankfurt Deutschland,On-site,Freelance,,,English,,,12:31,https://www.freelancermap.de/projekt/freiberuflich-entwickler-osplus-kredit-foerder-m-w-d,2026-08-06T12:32:33.238684+00:00
0,Tester | Germany,freelancermap,IT-Operations Engineer (m/w/d) - Virtual Desktop Infrastructure (VDI),Freelancermap Client,Ottobrunn Deutschland,On-site,Freelance,,,English,,,12:26,https://www.freelancermap.de/projekt/it-operations-engineer-m-w-d-virtual-desktop-infrastructure-vdi,2026-08-06T12:32:33.238795+00:00
0,Tester | Germany,freelancermap,Freiberuflich: Business Analyst - OSPlus Kredit/Förder (m/w/d),Freelancermap Client,Frankfurt Deutschland,On-site,Freelance,,,English,,,12:26,https://www.freelancermap.de/projekt/freiberuflich-business-analyst-osplus-kredit-foerder-m-w-d,2026-08-06T12:32:33.238860+00:00
0,Tester | Germany,freelancermap,SAP Quality- & Test-Engineer (m/w/d) (m/w/d),Freelancermap Client,Frankfurt am Main Deutschland,On-site,Freelance,,,English,,,12:23,https://www.freelancermap.de/projekt/sap-quality-und-test-engineer-m-w-d-m-w-d,2026-08-06T12:32:33.238974+00:00
0,Tester | Germany,freelancermap,"Backend Developer (m/w/d) - Spring Boot und Containerisierung, Microservices, AWS",Freelancermap Client,Frankfurt am Main Deutschland,On-site,Freelance,,"Aws, Microservices, Spring Boot",German,,,12:21,https://www.freelancermap.de/projekt/backend-developer-m-w-d-spring-boot-und-containerisierung-microservices-aws,2026-08-06T12:32:33.239096+00:00
0,Tester | Germany,freelancermap,Security Operations Centers Engineering (SOC),Freelancermap Client,Düsseldorf Deutschland,On-site,Freelance,,Soc,English,,,12:21,https://www.freelancermap.de/projekt/security-operations-centers-engineering-soc,2026-08-06T12:32:33.239149+00:00
0,Tester | Germany,freelancermap,IT-Administration Linux & VDI,Freelancermap Client,Nürnberg Deutschland,On-site,Freelance,,Linux,English,,,12:21,https://www.freelancermap.de/projekt/it-administration-linux-und-vdi,2026-08-06T12:32:33.239281+00:00
0,Tester | Germany,freelancermap,IT-Administration Applikationen,Freelancermap Client,Frankfurt Deutschland,On-site,Freelance,,,English,,,12:21,https://www.freelancermap.de/projekt/it-administration-applikationen,2026-08-06T12:32:33.239341+00:00
