relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Senior Softwaretester C# (m/w/d),FERCHAU,Linz Öster­reich,Hybrid,Full-time,C,"C#, Senior",English,Senior,,Recent,https://touch.ferchau.com/de/de/job/501784/senior-softwaretester-c,2026-08-06T12:51:58.135207+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Biele­feld Deut­sch­land,Remote,Full-time,"C, C++, Embedded Linux, Python","Linux, R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/186741/softwaretester,2026-08-06T12:51:58.137828+00:00
14,Tester | Germany,ferchau,(Senior) Softwaretester (m/w/d) Testautomatisierung für die Siemens AG,FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,"C, Java, Test Automation","C#, Senior, R, Expert",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/445087/senior-softwaretester-testautomatisierung-fuer-die-siemens-ag,2026-08-06T12:51:58.138548+00:00
14,QA Engineer | Germany,ferchau,Test Automation Engineer (m/w/d),FERCHAU,Kramsach Öster­reich,Vor Ort,Full-time,"Ci/Cd, Python, Test Automation","Tdd, Bdd, R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/513997/test-automation-engineer,2026-08-06T12:52:07.377426+00:00
14,QA Engineer | Germany,ferchau,Software Quality Engineer (m/w/d),FERCHAU,Frank­furt am Main Deut­sch­land,Hybrid,Full-time,"Ci/Cd, Java","Kanban, Scrum, Cucumber, R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443530/software-quality-engineer,2026-08-06T12:52:07.378091+00:00
14,QA Engineer | Germany,ferchau,Quality Engineer (m/w/d),FERCHAU,Frank­furt Deut­sch­land,Hybrid,Full-time,Ci/Cd,"Safe, Kanban, Agile, Scrum, Devops, R, Expert",German,"Expert, Test Manager",,Recent,https://touch.ferchau.com/de/de/job/513796/quality-engineer,2026-08-06T12:52:07.380576+00:00
14,Test Engineer | Germany,ferchau,Systemtest Engineer (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,System Testing,"Jira, Linux, R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/511081/systemtest-engineer,2026-08-06T12:52:17.101861+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Systemintegration & Verifikation Luftfahrt (m/w/d),FERCHAU,Wedel Deut­sch­land,Remote,Full-time,,"Matlab, Canoe, R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/515752/testingenieur-systemintegration-verifikation-luftfahrt,2026-08-06T12:52:27.251368+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Medizintechnik (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/445054/testingenieur-medizintechnik,2026-08-06T12:52:27.255848+00:00
14,Test Automation | Germany,ferchau,Senior Automation Engineer (m/w/d),FERCHAU,Burg­kir­chen an der Alz Deut­sch­land,Remote,Full-time,,Senior,German,Senior,,Recent,https://touch.ferchau.com/de/de/job/440530/senior-automation-engineer,2026-08-06T12:52:36.451564+00:00
14,Test Automation | Germany,ferchau,Senior Test Automation Engineer (m/w/d),FERCHAU,Wuppertal Deut­sch­land,Vor Ort,Full-time,Test Automation,Senior,English,Senior,,Recent,https://touch.ferchau.com/de/de/job/512713/senior-test-automation-engineer,2026-08-06T12:52:36.453676+00:00
14,Python Developer | Germany,ferchau,Fullstack Software Developer (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,"Jenkins, Python","Angular, R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398737/fullstack-software-developer,2026-08-06T12:52:46.203501+00:00
14,Python Developer | Germany,ferchau,(Junior) Software Developer Python (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,Python,"Sql, Nosql, Junior, Linux, R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446410/junior-software-developer-python,2026-08-06T12:52:46.204244+00:00
14,Python Developer | Germany,ferchau,Softwareentwickler / Anwendungsentwickler (m/w/d),FERCHAU,Leipzig Deut­sch­land,Remote,Full-time,"C, Ci/Cd, Java, Jenkins, Python","Gitlab Ci, Aws, Sql, Gitlab, Oracle, C#, Azure, Mysql, Mongodb, Scrum",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/484657/softwareentwickler-anwendungsentwickler,2026-08-06T12:52:46.208320+00:00
14,Python Test | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Neubran­den­burg Deut­sch­land,Hybrid,Full-time,"C, C++, Python",R,German,Test Manager,,Recent,https://touch.ferchau.com/de/de/job/294622/softwaretester,2026-08-06T12:52:56.698641+00:00
14,Firmware Engineer | Germany,ferchau,Systemarchitekt Leistungselektronik (m/w/d),FERCHAU,Detmold Deut­sch­land,Hybrid,Full-time,,"R, System Architect, Aspice, Expert",German,"Expert, System Architect",,Recent,https://touch.ferchau.com/de/de/job/513073/systemarchitekt-leistungselektronik,2026-08-06T12:53:06.586651+00:00
14,Firmware Engineer | Germany,ferchau,Softwareentwickler (m/w/d) C / C++,FERCHAU,Bremen Deut­sch­land,Hybrid,Full-time,"C, C++","R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/400018/softwareentwickler-c-c,2026-08-06T12:53:06.591366+00:00
14,Firmware Engineer | Germany,ferchau,Senior Softwareingenieur FPGA / VHDL (m/w/d),FERCHAU,Ulm Deut­sch­land,Remote,Full-time,Embedded Systems,"Vhdl, Senior, Fpga, R, Expert",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/488167/senior-softwareingenieur-fpga-vhdl,2026-08-06T12:53:06.592229+00:00
0,Tester | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Leipzig Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/515773/softwaretester-software-test-engineer,2026-08-06T12:51:58.131101+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Osna­brück Deut­sch­land,Remote,Full-time,"C, Java, Python","Sql, Kanban, C#, Jira, Azure, Scrum, R, Devops",German,,,Recent,https://touch.ferchau.com/de/de/job/442993/softwaretester,2026-08-06T12:51:58.131898+00:00
0,Tester | Germany,ferchau,Software-Tester IT (m/w/d),FERCHAU,Erlangen Deut­sch­land,Vor Ort,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/515077/software-tester-it,2026-08-06T12:51:58.134346+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-08-06T12:51:58.135811+00:00
0,Tester | Germany,ferchau,Softwaretester / Software Testingenieur (m/w/d),FERCHAU,München Deut­sch­land,Remote,Full-time,Jenkins,"Junit, Testng, Agile, Scrum, R",German,,,Recent,https://touch.ferchau.com/de/de/job/497092/softwaretester-software-testingenieur,2026-08-06T12:51:58.136523+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-08-06T12:51:58.137303+00:00
0,Tester | Germany,ferchau,Elektriker (m/w/d),FERCHAU,Marburg Deut­sch­land,Vor Ort,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/477022/elektriker,2026-08-06T12:51:58.139166+00:00
0,QA Engineer | Germany,ferchau,Software Test Engineer (m/w/d),FERCHAU,Bremen Deut­sch­land,Vor Ort,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/510838/software-test-engineer,2026-08-06T12:52:07.378836+00:00
0,QA Engineer | Germany,ferchau,Hull Structural Designer - Shipbuilding (m/f/d),FERCHAU,Gdynia Poland,Hybrid,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/482239/hull-structural-designer-shipbuilding,2026-08-06T12:52:07.379806+00:00
0,QA Engineer | Germany,ferchau,DevOps Engineer (m/w/d) Cloud & Mobile Platforms,FERCHAU,Nürn­berg Deut­sch­land,Remote,Full-time,"Bash, Ci/Cd, Github Actions, Jenkins, Python","Gitlab Ci, Docker, Azure, Github, Gitlab, Argocd, Agile, R, Devops",German,,,Recent,https://touch.ferchau.com/de/de/job/488962/devops-engineer-cloud-mobile-platforms,2026-08-06T12:52:07.381533+00:00
0,QA Engineer | Germany,ferchau,Hull Structural Designer (m/f/d),FERCHAU,Gdynia Poland,Hybrid,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/461695/hull-structural-designer,2026-08-06T12:52:07.382415+00:00
0,QA Engineer | Germany,ferchau,EMSR-Techniker Pharma (m/w/d),FERCHAU,Ingel­heim am Rhein Deut­sch­land,Vor Ort,Full-time,,R,German,,,Recent,https://touch.ferchau.com/de/de/job/510256/emsr-techniker-pharma,2026-08-06T12:52:07.383750+00:00
0,Test Engineer | Germany,ferchau,System Test Engineer (m/w/d),FERCHAU,Nürn­berg Deut­sch­land,Vor Ort,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/495223/system-test-engineer,2026-08-06T12:52:17.094202+00:00
0,Test Engineer | Germany,ferchau,Testingenieur elektrische Systeme (m/w/d),FERCHAU,Soest Deut­sch­land,Vor Ort,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/500671/testingenieur-elektrische-systeme,2026-08-06T12:52:17.096847+00:00
