relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Senior Quality /Test Engineer(Robot Framework / Mobile & Web etc.) (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,Robot Framework,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01319340,2026-08-10T11:29:41.167428+00:00
14,Tester | Germany,gulp,Senior ITTester(m/f/d),GULP Client,Location: Mainz am Rhein,On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01316590,2026-08-10T11:29:41.171248+00:00
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-08-10T11:29:41.172993+00:00
14,QA Engineer | Germany,gulp,Senior Requirements Manager (m/f/d) - predominantly remote,GULP Client,Location: Remote und Berlin,Remote,Freelance,,Senior,German,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a79b2b7ea8bd086fe015755,2026-08-10T11:30:32.237476+00:00
14,QA Engineer | Germany,gulp,Senior Data Expert (m/f/d) BigQuery and Snowflake,GULP Client,Germany,Remote,Freelance,Ci/Cd,"Oracle, Snowflake, Sql, Expert, Consultant, Senior, Google Cloud, Devops",English,"Consultant, Expert, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01320857,2026-08-10T11:30:32.239155+00:00
14,QA Engineer | Germany,gulp,"Senior DevOpsEngineerGolang/React, DevOps",GULP Client,Location: Zürich,Remote,Freelance,,"React, Senior, Devops",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a798c3ee14658e1d76d7f51,2026-08-10T11:30:32.241995+00:00
14,Test Automation | Germany,gulp,Senior Full Stack Developer (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01320172,2026-08-10T11:33:05.899521+00:00
14,Test Automation | Germany,gulp,Senior Android Developer (SAP BTP Android SDK) (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01320109,2026-08-10T11:33:05.899936+00:00
14,Test Automation | Germany,gulp,Test Manager (m/f/d),GULP Client,Location: Darmstadt,Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01320097,2026-08-10T11:33:05.901079+00:00
14,Test Automation | Germany,gulp,"IT - Test Manager eg SAP, S/4 Hana, FI, CO, MM, SD, PP, Scrum, Hybrid,Test Automation.. (m/f/d)",GULP Client,Location: Memmingen,Hybrid,Freelance,Test Automation,Scrum,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01319728,2026-08-10T11:33:05.901407+00:00
14,Test Automation | Germany,gulp,Senior Embedded Test & Automation Engineer (m/f/d) – VoIP / Telecommunication & HIL,GULP Client,Location: Düsseldorf,Remote,Freelance,Hil,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01319367,2026-08-10T11:33:05.902226+00:00
14,Python Developer | Germany,gulp,Network Architect (m/f/d),GULP Client,Location: Halle,Remote,Freelance,,Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01320694,2026-08-10T11:33:57.349699+00:00
14,Python Developer | Germany,gulp,Senior IT Project Manager – ISA-88 & Process Harmonization (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,"Senior, Project Manager",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01320821,2026-08-10T11:33:57.350118+00:00
14,Python Developer | Germany,gulp,Senior IT Architect – AI & Software Architecture (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,"Architect, Senior",English,"Architect, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01319932,2026-08-10T11:33:57.354553+00:00
14,Python Test | Germany,gulp,Senior SAP FI/CO Consultant (m/f/d),GULP Client,"Location: Remote, D3",Remote,Freelance,,"Consultant, Senior",English,"Consultant, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/extern/da20dd36949611f194a5c6f993278132,2026-08-10T11:34:47.249425+00:00
14,Python Test | Germany,gulp,Java Lead Developer (m/f/d),GULP Client,Location: NRW,Remote,Freelance,Java,Lead,English,Lead,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a75cce5c8f5c55084ae8540,2026-08-10T11:34:47.254489+00:00
0,Tester | Germany,gulp,SystemTesterfor Battery Systems (m/f/d),GULP Client,"Location: D6, Darmstadt",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/048cd124927611f194a5c6f993278132,2026-08-10T11:29:41.167906+00:00
0,Tester | Germany,gulp,Test Engineerwith Project Manager Responsibilities (m/f/d),GULP Client,"Location: D7, Südschwarzwald",On-site,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/0c5b214891b411f194a5c6f993278132,2026-08-10T11:29:41.168416+00:00
0,Tester | Germany,gulp,Test engineer/ Metrology engineer with DIAdem knowledge (m/f/d),GULP Client,"Location: D8, GR Ravensburg",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/137b44ae91a911f194a5c6f993278132,2026-08-10T11:29:41.168853+00:00
0,Tester | Germany,gulp,Test engineerin the field of electrical drive technology (m/f/d),GULP Client,"Location: D8, München, evtl. Remote",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/fbff195491a811f194a5c6f993278132,2026-08-10T11:29:41.169349+00:00
0,Tester | Germany,gulp,SAP Quality &Test Engineer(m/f/d) (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01319312,2026-08-10T11:29:41.169772+00:00
0,Tester | Germany,gulp,Test Engineer(m/f/x) - NI LabVIEW,GULP Client,Location: Freiburg im Breisgau,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01318868,2026-08-10T11:29:41.170178+00:00
0,Tester | Germany,gulp,ITTest Engineer(m/f/d) - Software Testing/E2E Testing,GULP Client,Location: Frankfurt am Main,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01317334,2026-08-10T11:29:41.170506+00:00
