relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Senior ITTester(m/f/d),GULP Client,Location: Mainz am Rhein,On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01316590,2026-08-13T11:46:56.353484+00:00
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-08-13T11:46:56.354777+00:00
14,QA Engineer | Germany,gulp,"Senior Database Migration Developer (SQL Anywhere on PostgreSQL) (f,m,d)",GULP Client,Location: Frankfurt am Main,Remote,Freelance,,"Postgresql, Senior, Sql",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01322651,2026-08-13T11:47:47.959268+00:00
14,QA Engineer | Germany,gulp,Senior CivilEngineer/StructuralEngineerfor Building Construction (m/f/d),GULP Client,"Location: CH, Brugg/ Baden",On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/6ce4e28c966011f194a5c6f993278132,2026-08-13T11:47:47.961543+00:00
14,QA Engineer | Germany,gulp,SeniorEngineering& CAPEX Expert (m/f/d),GULP Client,"Location: International, 50% Remote",Remote,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/ee459d84963e11f194a5c6f993278132,2026-08-13T11:47:47.962523+00:00
14,Test Automation | Germany,gulp,Senior Backend / Fullstack Developer (m/f/d) – Order-to-Cash Area,GULP Client,Location: Frankfurt am Main,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01322756,2026-08-13T11:50:19.729288+00:00
14,Test Automation | Germany,gulp,Senior / Intermediate Frontend Developer (m/f/d) – Angular & UX,GULP Client,"Location: Eschborn, Taunus",Remote,Freelance,,"Senior, Angular",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01322545,2026-08-13T11:50:19.729630+00:00
14,Test Automation | Germany,gulp,Senior Full Stack Developer (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01320172,2026-08-13T11:50:19.730970+00:00
14,Test Automation | Germany,gulp,Senior Android Developer (SAP BTP Android SDK) (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01320109,2026-08-13T11:50:19.731280+00:00
14,Test Automation | Germany,gulp,Test Manager (m/f/d),GULP Client,Location: Darmstadt,Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01320097,2026-08-13T11:50:19.731580+00:00
14,Test Automation | Germany,gulp,Senior Embedded Test & Automation Engineer (m/f/d) – VoIP / Telecommunication & HIL,GULP Client,Location: Düsseldorf,Remote,Freelance,Hil,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01319367,2026-08-13T11:50:19.731894+00:00
14,Test Automation | Germany,gulp,Mid/Senior Android QA &Test AutomationEngineer - fraenk App - 90% remote,GULP Client,Location: Cologne,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01316645,2026-08-13T11:50:19.733668+00:00
14,Python Developer | Germany,gulp,Senior Specialist DOKA NG / Trade Finance (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01322625,2026-08-13T11:51:10.717784+00:00
14,Python Test | Germany,gulp,System consultant Scheme ST4 (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4d4fb314967111f194a5c6f993278132,2026-08-13T11:52:01.682017+00:00
14,Firmware Engineer | Germany,gulp,"IT - Cloud Architect eg Kubernetes, OpenStack, Security, IaC, BSI, EUCS, ISO27001, etc. (m/f/d)",GULP Client,Location: Bonn,Remote,Freelance,,"Kubernetes, Architect",English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01322189,2026-08-13T11:52:52.119741+00:00
0,Tester | Germany,gulp,SoftwareTester(m/f/d),GULP Client,Location: siehe Beschreibung,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4a872a0e967111f194a5c6f993278132,2026-08-13T11:46:56.350984+00:00
0,Tester | Germany,gulp,"Junior ITtester(E2E tests, xRay, etc.) (m/f/d)",GULP Client,Location: Frankfurt am Main,Remote,Freelance,,Junior,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01320919,2026-08-13T11:46:56.351338+00:00
0,Tester | Germany,gulp,SystemTesterfor Battery Systems (m/f/d),GULP Client,"Location: D6, Darmstadt",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/048cd124927611f194a5c6f993278132,2026-08-13T11:46:56.351666+00:00
0,Tester | Germany,gulp,Test engineer/ Metrology engineer with DIAdem knowledge (m/f/d),GULP Client,"Location: D8, GR Ravensburg",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/137b44ae91a911f194a5c6f993278132,2026-08-13T11:46:56.351997+00:00
0,Tester | Germany,gulp,Test engineerin the field of electrical drive technology (m/f/d),GULP Client,"Location: D8, München, evtl. Remote",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/fbff195491a811f194a5c6f993278132,2026-08-13T11:46:56.352371+00:00
0,Tester | Germany,gulp,Test Engineer(m/f/x) - NI LabVIEW,GULP Client,Location: Freiburg im Breisgau,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01318868,2026-08-13T11:46:56.352680+00:00
0,Tester | Germany,gulp,ITTest Engineer(m/f/d) - Software Testing/E2E Testing,GULP Client,Location: Frankfurt am Main,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01317334,2026-08-13T11:46:56.352942+00:00
0,Tester | Germany,gulp,Electrical Engineer (m/f/d),GULP Client,Germany,On-site,Freelance,Can,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/9b83f0e48c3b11f194a5c6f993278132,2026-08-13T11:46:56.353245+00:00
0,Tester | Germany,gulp,SeniorTest EngineerSMC network management (m/f/d),GULP Client,Location: D6/remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/887a989e8c0011f194a5c6f993278132,2026-08-13T11:46:56.353862+00:00
0,Tester | Germany,gulp,Verification and Qualification Engineer in Signal Electronics in the Aviation Sector (m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/370635de84f511f189e08e417b6a1e17,2026-08-13T11:46:56.354162+00:00
0,Tester | Germany,gulp,Testerfor an application in the banking sector (m/f/d),GULP Client,"Location: D7, Karlsruhe / Remote",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/8607de3e813111f189e08e417b6a1e17,2026-08-13T11:46:56.354522+00:00
0,Tester | Germany,gulp,Tester/ Test automation engineer (m/f/d),GULP Client,Location: Wien/remote,Remote,Freelance,Test Automation,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/056c7d267b3d11efb0e1762ed2f8ca94,2026-08-13T11:46:56.355077+00:00
0,QA Engineer | Germany,gulp,"IT - Infrastructure Engineer including Windows, Linux, Backup, Recovery, Bash, Shell, Python... (f/m/d)",GULP Client,Germany,On-site,Freelance,"Bash, Python, Shell","Powershell, Linux, Confluence, Docker, Junior, Jira",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01322746,2026-08-13T11:47:47.958916+00:00
0,QA Engineer | Germany,gulp,"Database Migration Developer (SQL Anywhere to PostgreSQL) (f,m,d)",GULP Client,Location: Frankfurt am Main,Remote,Freelance,,"Postgresql, Sql",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01322649,2026-08-13T11:47:47.959576+00:00
0,QA Engineer | Germany,gulp,Java Developer (m/f/d) with Spring Boot,GULP Client,Location: D76,On-site,Freelance,Java,Spring Boot,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a7d8b15c72c703a51968830,2026-08-13T11:47:47.959890+00:00
0,QA Engineer | Germany,gulp,4432 Java Fullstack Developer (m/f/d),GULP Client,Location: Luxemburg und Remote,Remote,Freelance,Java,,German,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a7cc640ea8bd086fe061f47,2026-08-13T11:47:47.960256+00:00
0,QA Engineer | Germany,gulp,Construction Manager / Construction Supervisor Process Engineering - Wastewater (m/f/d),GULP Client,Germany,On-site,Freelance,,Assembly,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/df481fd0966811f194a5c6f993278132,2026-08-13T11:47:47.960562+00:00
0,QA Engineer | Germany,gulp,MaintenanceEngineerServices (m/f/d),GULP Client,"Location: Remote, D9",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/dfc34a16966811f194a5c6f993278132,2026-08-13T11:47:47.960934+00:00
0,QA Engineer | Germany,gulp,Electronics Technician / Mechatronics Technician (m/f/d),GULP Client,"Location: D8, -",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e3fe59c2966811f194a5c6f993278132,2026-08-13T11:47:47.961232+00:00
0,QA Engineer | Germany,gulp,Java Developer Angular / TypeScript / NgRx / Kafka / Docker / Kubernetes (m/f/d),GULP Client,Location: Luxemburg,Remote,Freelance,"Java, Typescript","Kubernetes, Angular, Docker",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01322598,2026-08-13T11:47:47.961854+00:00
0,QA Engineer | Germany,gulp,SoftwareEngineerfor Medical Device Software Development for MRI Device,GULP Client,Location: Berlin,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/6a7c3f00ea8bd086fe04cf70,2026-08-13T11:47:47.962158+00:00
0,QA Engineer | Germany,gulp,UX Researcher & Usability Designer (m/f/d) – Intermediate,GULP Client,Location: Frankfurt am Main,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01322406,2026-08-13T11:47:47.962849+00:00
0,QA Engineer | Germany,gulp,"IT developer including Java, Spring Boot, Kubernetes, REST API, Kotlin Compose, FCM, Appium... (f/m/d)",GULP Client,Location: Frankfurt am Main,Remote,Freelance,Java,"Kubernetes, Rest Api, Kotlin, Appium, Spring Boot",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01322430,2026-08-13T11:47:47.963156+00:00
0,QA Engineer | Germany,gulp,Security Specialist/DevSecOps for WordPress server environment (m/f/d),GULP Client,Location: Munich,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01322370,2026-08-13T11:47:47.963387+00:00
0,Test Automation | Germany,gulp,"IT Developer (m/f/d) with experience in Kubernetes, AWS, EKS, Kafka, SQS, Terraform, GitOps, ITIL, etc.",GULP Client,Location: Frankfurt am Main,Remote,Freelance,,"Kubernetes, Aws, Terraform",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01321181,2026-08-13T11:50:19.730272+00:00
0,Test Automation | Germany,gulp,Test AutomationEngineer (m/f/d),GULP Client,Location: Bayern,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a797784e14658e1d76d70ea,2026-08-13T11:50:19.730656+00:00
0,Test Automation | Germany,gulp,Test/Quality Engineer (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01316821,2026-08-13T11:50:19.733000+00:00
