relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Senior Softwaretester C# (m/w/d),FERCHAU,Linz Öster­reich,Hybrid,Full-time,"C, Ci/Cd","Expert, R, Senior, Nunit, C#",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/501784/senior-softwaretester-c,2026-08-13T12:12:14.929946+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-08-13T12:12:14.931276+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-08-13T12:12:14.932009+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Fried­richs­hafen Deut­sch­land,Remote,Full-time,,"Expert, R, Matlab",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/485380/softwaretester,2026-08-13T12:12:14.933378+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Biele­feld Deut­sch­land,Remote,Full-time,"C, C++, Embedded Linux, Python","Expert, R, Linux",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/186741/softwaretester,2026-08-13T12:12:14.933925+00:00
14,QA Engineer | Germany,ferchau,Test Automation Engineer (m/w/d),FERCHAU,Kramsach Öster­reich,Vor Ort,Full-time,"Ci/Cd, Python, Test Automation","Expert, R, Tdd, Bdd",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/513997/test-automation-engineer,2026-08-13T12:12:25.267332+00:00
14,QA Engineer | Germany,ferchau,Software Test Engineer (m/w/d),FERCHAU,Bremen Deut­sch­land,Vor Ort,Full-time,"Embedded Systems, Python","Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/510838/software-test-engineer,2026-08-13T12:12:25.270504+00:00
14,Test Engineer | Germany,ferchau,Software Integration & Test Engineer (m/w/d),FERCHAU,Bremen Deut­sch­land,Vor Ort,Full-time,Embedded Systems,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/509590/software-integration-test-engineer,2026-08-13T12:12:34.974121+00:00
14,Test Engineer | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Frei­burg im Breisgau Deut­sch­land,Vor Ort,Full-time,"C, Java, Python","Expert, R, Scrum, Kanban, Git, C#",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/133507/softwaretester-software-test-engineer,2026-08-13T12:12:34.978017+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Systemintegration & Verifikation Luftfahrt (m/w/d),FERCHAU,Wedel Deut­sch­land,Remote,Full-time,,"Canoe, Expert, R, Matlab",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/515752/testingenieur-systemintegration-verifikation-luftfahrt,2026-08-13T12:12:45.115721+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Elektronik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/349012/testingenieur-elektronik,2026-08-13T12:12:45.118444+00:00
